"u","v","w","p","s","d","r","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.363e-23,-1.6867e-12,-1.2553e-12,1.8851e-11,-2.6613e-22,-1.584e-25,-1.7751e-26,1,0,13.5,0,0
1.6239e-16,-1.6792e-12,-1.2375e-12,1.9059e-11,-2.6454e-22,-1.5785e-25,-1.7687e-26,1,0.002,13.5,0.002,0
3.2478e-16,-1.6718e-12,-1.2198e-12,1.9267e-11,-2.6296e-22,-1.5731e-25,-1.7623e-26,1,0.004,13.5,0.004,0
4.8717e-16,-1.6643e-12,-1.202e-12,1.9475e-11,-2.6137e-22,-1.5676e-25,-1.7559e-26,1,0.006,13.5,0.006,0
6.4956e-16,-1.6569e-12,-1.1842e-12,1.9683e-11,-2.5979e-22,-1.5622e-25,-1.7495e-26,1,0.008,13.5,0.008,0
8.1195e-16,-1.6494e-12,-1.1664e-12,1.9891e-11,-2.5821e-22,-1.5567e-25,-1.7431e-26,1,0.01,13.5,0.01,0
9.7434e-16,-1.642e-12,-1.1487e-12,2.0099e-11,-2.5662e-22,-1.5513e-25,-1.7368e-26,1,0.012,13.5,0.012,0
-2.1873e-29,-1.6372e-12,-1.1357e-12,2.0286e-11,-2.5495e-22,-1.5417e-25,-1.7277e-26,1,0.014,13.5,0.014,0
-4.3965e-29,-1.6301e-12,-1.1186e-12,2.0491e-11,-2.5336e-22,-1.5357e-25,-1.7209e-26,1,0.016,13.5,0.016,0
-5.9604e-29,-1.6231e-12,-1.1015e-12,2.0696e-11,-2.5176e-22,-1.5296e-25,-1.7142e-26,1,0.018,13.5,0.018,0
-2.4826e-29,-1.616e-12,-1.0844e-12,2.0901e-11,-2.5016e-22,-1.5236e-25,-1.7074e-26,1,0.02,13.5,0.02,0
-4.9433e-29,-1.6089e-12,-1.0673e-12,2.1106e-11,-2.4857e-22,-1.5175e-25,-1.7006e-26,1,0.022,13.5,0.022,0
-6.89e-29,-1.6018e-12,-1.0502e-12,2.1311e-11,-2.4697e-22,-1.5115e-25,-1.6939e-26,1,0.024,13.5,0.024,0
-6.1244e-30,-1.5948e-12,-1.0331e-12,2.1516e-11,-2.4538e-22,-1.5055e-25,-1.6871e-26,1,0.026,13.5,0.026,0
-2.5482e-29,-1.5877e-12,-1.0161e-12,2.1721e-11,-2.4378e-22,-1.4994e-25,-1.6803e-26,1,0.028,13.5,0.028,0
-4.6371e-29,-1.5806e-12,-9.9897e-13,2.1926e-11,-2.4218e-22,-1.4934e-25,-1.6736e-26,1,0.03,13.5,0.03,0
-1.717e-29,-1.5736e-12,-9.8188e-13,2.2131e-11,-2.4059e-22,-1.4874e-25,-1.6668e-26,1,0.032,13.5,0.032,0
-3.6528e-29,-1.5665e-12,-9.6479e-13,2.2336e-11,-2.3899e-22,-1.4813e-25,-1.66e-26,1,0.034,13.5,0.034,0
-2.0342e-29,-1.5594e-12,-9.477e-13,2.2541e-11,-2.3739e-22,-1.4753e-25,-1.6533e-26,1,0.036,13.5,0.036,0
-4.1558e-29,-1.5524e-12,-9.3061e-13,2.2746e-11,-2.358e-22,-1.4692e-25,-1.6465e-26,1,0.038,13.5,0.038,0
-6.6275e-29,-1.5453e-12,-9.1352e-13,2.2951e-11,-2.342e-22,-1.4632e-25,-1.6397e-26,1,0.04,13.5,0.04,0
-3.4997e-30,-1.5382e-12,-8.9643e-13,2.3156e-11,-2.3261e-22,-1.4572e-25,-1.633e-26,1,0.042,13.5,0.042,0
-5.2714e-29,-1.5312e-12,-8.7934e-13,2.3361e-11,-2.3101e-22,-1.4511e-25,-1.6262e-26,1,0.044,13.5,0.044,0
-4.5933e-29,-1.5241e-12,-8.6225e-13,2.3566e-11,-2.2941e-22,-1.4451e-25,-1.6194e-26,1,0.046,13.5,0.046,0
-1.0936e-29,-1.517e-12,-8.4516e-13,2.3771e-11,-2.2782e-22,-1.4391e-25,-1.6127e-26,1,0.048,13.5,0.048,0
-3.5653e-29,-1.5099e-12,-8.2807e-13,2.3976e-11,-2.2622e-22,-1.433e-25,-1.6059e-26,1,0.05,13.5,0.05,0
2.6247e-30,-1.5029e-12,-8.1099e-13,2.4181e-11,-2.2463e-22,-1.427e-25,-1.5991e-26,1,0.052,13.5,0.052,0
-2.2092e-29,-1.4958e-12,-7.939e-13,2.4386e-11,-2.2303e-22,-1.4209e-25,-1.5924e-26,1,0.054,13.5,0.054,0
