u,v,w,p,s,d,vtkvalidpointmask,arc_length,points0,points1,points2
0,0,0,1.2952,1,0.0004,1,0,0,1,0
0,0,0,1.2834,1,0.0004,1,0.18,0.18,1,0
0,0,0,1.2581,1,0.0004,1,0.36,0.36,1,0
-1.1326e-18,8.314e-20,5.3344e-19,1.2112,1,0.0004,1,0.54,0.54,1,0
0,0,0,1.1486,1.0001,0.00040001,1,0.72,0.72,1,0
0,0,0,1.0375,0.99963,0.00039989,1,0.9,0.9,1,0
0,0,0,0.88619,0.60451,0.00024181,1,1.08,1.08,1,0
0,0,0,0.70856,0.0010943,3.2688e-07,1,1.26,1.26,1,0
0,0,0,0.56443,-0.00037518,-1.0794e-07,1,1.44,1.44,1,0
0,0,0,0.45799,8.9785e-05,2.6366e-08,1,1.62,1.62,1,0
0,0,0,0.38651,-1.7711e-05,-5.1588e-09,1,1.8,1.8,1,0
-2.2161e-18,1.3619e-19,-5.2778e-19,0.32486,-1.4481e-07,-1.3054e-10,1,1.98,1.98,1,0
0,0,0,0.27639,2.7221e-06,7.7879e-10,1,2.16,2.16,1,0
0,0,0,0.23824,1.1044e-06,3.2228e-10,1,2.34,2.34,1,0
0,0,0,0.20513,4.6254e-07,1.3142e-10,1,2.52,2.52,1,0
0,0,0,0.17686,-2.997e-08,-8.7415e-12,1,2.7,2.7,1,0
0,0,0,0.1514,-1.9692e-08,-5.7016e-12,1,2.88,2.88,1,0
0,0,0,0.12909,7.58e-09,2.2693e-12,1,3.06,3.06,1,0
0,0,0,0.1105,2.5245e-09,7.4238e-13,1,3.24,3.24,1,0
0,0,0,0.095072,2.1427e-09,6.3424e-13,1,3.42,3.42,1,0
0,0,0,0.082076,4.9071e-10,1.4792e-13,1,3.6,3.6,1,0
0,0,0,0.070361,5.4533e-10,1.6004e-13,1,3.78,3.78,1,0
0,0,0,0.060725,-4.7619e-11,-1.2492e-14,1,3.96,3.96,1,0
0,0,0,0.052473,1.6519e-11,4.264e-15,1,4.14,4.14,1,0
0,0,0,0.045293,-2.0881e-11,-6.2082e-15,1,4.32,4.32,1,0
0,0,0,0.039054,3.5252e-12,1.0535e-15,1,4.5,4.5,1,0
0,0,0,0.033738,8.1083e-12,2.4002e-15,1,4.68,4.68,1,0
0,0,0,0.029157,3.121e-12,9.292e-16,1,4.86,4.86,1,0
0,0,0,0.025132,2.9442e-13,8.7959e-17,1,5.04,5.04,1,0
0,0,0,0.021631,3.7768e-13,1.1216e-16,1,5.22,5.22,1,0
0,0,0,0.01861,2.7258e-13,8.1255e-17,1,5.4,5.4,1,0
0,0,0,0.016013,2.6352e-13,7.8408e-17,1,5.58,5.58,1,0
3.6371e-20,-1.8031e-22,5.3217e-21,0.013815,-9.4086e-14,-2.8039e-17,1,5.76,5.76,1,0
0,0,0,0.012028,-6.3501e-14,-1.8902e-17,1,5.94,5.94,1,0
0,0,0,0.010349,-3.1702e-15,-9.3621e-19,1,6.12,6.12,1,0
0,0,0,0.0088825,-2.6794e-15,-7.9588e-19,1,6.3,6.3,1,0
0,0,0,0.0076425,-1.7744e-15,-5.2776e-19,1,6.48,6.48,1,0
0,0,0,0.0065743,1.2102e-15,3.6006e-19,1,6.66,6.66,1,0
0,0,0,0.005671,2.2018e-16,6.5404e-20,1,6.84,6.84,1,0
0,0,0,0.0048641,-8.8613e-17,-2.6362e-20,1,7.02,7.02,1,0
0,0,0,0.0042072,-3.2789e-17,-9.7588e-21,1,7.2,7.2,1,0
0,0,0,0.0036208,-6.3955e-18,-1.8976e-21,1,7.38,7.38,1,0
0,0,0,0.0031068,3.7079e-18,1.1009e-21,1,7.56,7.56,1,0
7.1166e-21,1.9374e-22,7.4717e-22,0.0026807,-1.7296e-18,-5.1664e-22,1,7.74,7.74,1,0
-1.3641e-21,3.058e-23,-2.1457e-22,0.0023184,-6.5356e-19,-1.9521e-22,1,7.92,7.92,1,0
-6.236e-21,1.398e-22,-9.809e-22,0.0019805,3.9575e-20,1.165e-23,1,8.1,8.1,1,0
6.236e-21,-1.398e-22,9.809e-22,0.0017098,1.5724e-19,4.674e-23,1,8.28,8.28,1,0
0,0,0,0.0014758,3.1197e-19,9.2946e-23,1,8.46,8.46,1,0
8.5377e-21,9.2495e-23,9.7218e-22,0.0012712,1.2273e-19,3.6553e-23,1,8.64,8.64,1,0
0,0,0,0.0010879,-4.1852e-20,-1.2511e-23,1,8.82,8.82,1,0
0,0,0,0.0009284,2.8758e-20,8.5655e-24,1,9,9,1,0
0,0,0,0.00079798,-5.5211e-21,-1.6435e-24,1,9.18,9.18,1,0
0,0,0,0.0006857,-4.0309e-22,-1.205e-25,1,9.36,9.36,1,0
0,0,0,0.0005909,7.7931e-25,2.1148e-28,1,9.54,9.54,1,0
-3.2694e-21,6.4897e-24,-4.417e-22,0.00050564,2.2931e-22,6.8325e-26,1,9.72,9.72,1,0
-6.8316e-22,-1.2894e-23,-7.513e-23,0.00043321,3.4151e-23,1.0171e-26,1,9.9,9.9,1,0
0,0,0,0.00037121,-9.3653e-23,-2.7894e-26,1,10.08,10.08,1,0
0,0,0,0.00031759,-2.9405e-23,-8.7537e-27,1,10.26,10.26,1,0
0,0,0,0.0002719,9.96e-25,2.996e-28,1,10.44,10.44,1,0
0,0,0,0.00023359,1.2603e-24,3.7572e-28,1,10.62,10.62,1,0
0,0,0,0.00020085,-2.5987e-25,-7.7407e-29,1,10.8,10.8,1,0
0,0,0,0.00017247,-2.3065e-25,-6.8648e-29,1,10.98,10.98,1,0
0,0,0,0.00014816,6.5319e-27,1.9558e-30,1,11.16,11.16,1,0
7.5751e-22,-2.5741e-24,1.0702e-22,0.00012685,4.3824e-26,1.3076e-29,1,11.34,11.34,1,0
0,0,0,0.00010882,1.3647e-25,4.0647e-29,1,11.52,11.52,1,0
0,0,0,9.325e-05,-6.4298e-27,-1.9245e-30,1,11.7,11.7,1,0
0,0,0,8.0149e-05,-6.4328e-28,-1.8767e-31,1,11.88,11.88,1,0
2.0177e-22,-4.9936e-24,2.8132e-23,6.8952e-05,3.812e-27,1.1347e-30,1,12.06,12.06,1,0
-4.9267e-22,-7.3574e-24,-7.1166e-23,5.9383e-05,8.4859e-27,2.5285e-30,1,12.24,12.24,1,0
0,0,0,4.9916e-05,2.9412e-27,8.7698e-31,1,12.42,12.42,1,0
0,0,0,4.2144e-05,-4.3418e-28,-1.2907e-31,1,12.6,12.6,1,0
0,0,0,3.6098e-05,9.8607e-29,2.9488e-32,1,12.78,12.78,1,0
0,0,0,3.0854e-05,-9.7965e-29,-2.9257e-32,1,12.96,12.96,1,0
0,0,0,2.6358e-05,1.2521e-29,3.7492e-33,1,13.14,13.14,1,0
0,0,0,2.2558e-05,2.1884e-30,6.4997e-34,1,13.32,13.32,1,0
0,0,0,1.9221e-05,9.8218e-32,2.9353e-35,1,13.5,13.5,1,0
-1.4759e-22,3.3199e-25,-1.9777e-23,1.6336e-05,-4.0138e-32,-1.1953e-35,1,13.68,13.68,1,0
1.2914e-22,-2.9049e-25,1.7305e-23,1.3909e-05,-4.8633e-32,-1.456e-35,1,13.86,13.86,1,0
0,0,0,1.1828e-05,-4.2222e-32,-1.251e-35,1,14.04,14.04,1,0
0,0,0,1.004e-05,6.0263e-32,1.7968e-35,1,14.22,14.22,1,0
-2.0083e-23,4.7072e-25,-2.5002e-24,8.6106e-06,1.3908e-32,4.1403e-36,1,14.4,14.4,1,0
