2.000000e-02 4.605846e+00 4.262456e-04 4.606272e+00 inf     
1.000000e-01 2.868058e+00 2.693363e-04 2.868328e+00 inf     
1.000000e-01 2.868058e+00 2.693363e-04 2.868328e+00 inf     
2.000000e-02 4.605846e+00 4.262456e-04 4.606272e+00 inf     
2.000000e-02 4.605846e+00 4.262456e-04 4.606272e+00 inf     
2.000000e-02 4.605846e+00 4.262456e-04 4.606272e+00 inf     
2.000000e-02 4.605846e+00 4.262456e-04 4.606272e+00 inf     
2.000000e-02 4.605846e+00 4.262456e-04 4.606272e+00 inf     
2.000000e-02 4.605846e+00 4.262456e-04 4.606272e+00 inf     
3.000000e-02 4.605846e+00 4.262463e-04 4.606273e+00 inf     
3.000000e-02 4.863997e+00 4.646071e-04 4.864461e+00 inf     
3.000000e-02 4.863997e+00 4.646071e-04 4.864461e+00 inf     
3.000000e-02 4.863997e+00 4.646071e-04 4.864461e+00 inf     
