u,v,w,p,s,d,vtkvalidpointmask,arc_length,points0,points1,points2
0,0,0,1.2264,1,0.0002,1,0,0,1,0
0,0,0,1.2158,1,0.0002,1,0.18,0.18,1,0
0,0,0,1.1928,1,0.0002,1,0.36,0.36,1,0
-5.7113e-19,4.4744e-20,3.3756e-19,1.1444,1,0.0002,1,0.54,0.54,1,0
0,0,0,1.0809,1,0.0002,1,0.72,0.72,1,0
0,0,0,0.97312,0.99983,0.00019997,1,0.9,0.9,1,0
0,0,0,0.83915,0.60452,0.0001209,1,1.08,1.08,1,0
0,0,0,0.68993,0.00054013,1.0803e-07,1,1.26,1.26,1,0
0,0,0,0.57349,-0.00016453,-3.2906e-08,1,1.44,1.44,1,0
0,0,0,0.47627,4.2046e-05,8.4092e-09,1,1.62,1.62,1,0
0,0,0,0.40645,-8.0832e-06,-1.6166e-09,1,1.8,1.8,1,0
-1.1194e-18,4.6914e-20,-2.9981e-19,0.34448,-5.0788e-07,-1.0158e-10,1,1.98,1.98,1,0
0,0,0,0.29541,1.1719e-06,2.3437e-10,1,2.16,2.16,1,0
0,0,0,0.25803,5.0694e-07,1.0139e-10,1,2.34,2.34,1,0
0,0,0,0.22483,1.9458e-07,3.8915e-11,1,2.52,2.52,1,0
0,0,0,0.19691,-1.3738e-08,-2.7476e-12,1,2.7,2.7,1,0
0,0,0,0.17102,-8.8158e-09,-1.7632e-12,1,2.88,2.88,1,0
0,0,0,0.14719,3.7665e-09,7.5331e-13,1,3.06,3.06,1,0
0,0,0,0.12737,1.1874e-09,2.3748e-13,1,3.24,3.24,1,0
0,0,0,0.11122,1.0285e-09,2.057e-13,1,3.42,3.42,1,0
0,0,0,0.096795,2.489e-10,4.9779e-14,1,3.6,3.6,1,0
0,0,0,0.083544,2.5488e-10,5.0975e-14,1,3.78,3.78,1,0
0,0,0,0.072748,-1.4843e-11,-2.9685e-15,1,3.96,3.96,1,0
0,0,0,0.0633,4.8013e-12,9.6027e-16,1,4.14,4.14,1,0
0,0,0,0.055152,-1.016e-11,-2.0319e-15,1,4.32,4.32,1,0
0,0,0,0.047988,1.7425e-12,3.4851e-16,1,4.5,4.5,1,0
0,0,0,0.04177,3.8928e-12,7.7856e-16,1,4.68,4.68,1,0
0,0,0,0.036402,1.525e-12,3.05e-16,1,4.86,4.86,1,0
0,0,0,0.03171,1.4538e-13,2.9076e-17,1,5.04,5.04,1,0
0,0,0,0.027616,1.831e-13,3.662e-17,1,5.22,5.22,1,0
0,0,0,0.024032,1.3369e-13,2.6739e-17,1,5.4,5.4,1,0
0,0,0,0.020927,1.2852e-13,2.5703e-17,1,5.58,5.58,1,0
2.0066e-20,7.8491e-23,3.6686e-21,0.018206,-4.6111e-14,-9.2221e-18,1,5.76,5.76,1,0
0,0,0,0.016004,-3.1007e-14,-6.2014e-18,1,5.94,5.94,1,0
0,0,0,0.013946,-1.5109e-15,-3.0217e-19,1,6.12,6.12,1,0
0,0,0,0.012133,-1.2999e-15,-2.5999e-19,1,6.3,6.3,1,0
0,0,0,0.010577,-8.6442e-16,-1.7288e-19,1,6.48,6.48,1,0
0,0,0,0.0091921,5.9008e-16,1.1802e-19,1,6.66,6.66,1,0
0,0,0,0.0079876,1.0684e-16,2.1368e-20,1,6.84,6.84,1,0
0,0,0,0.0069568,-4.3196e-17,-8.6392e-21,1,7.02,7.02,1,0
0,0,0,0.0060823,-1.6006e-17,-3.2011e-21,1,7.2,7.2,1,0
0,0,0,0.0053126,-3.0925e-18,-6.1851e-22,1,7.38,7.38,1,0
0,0,0,0.0046336,1.7964e-18,3.5928e-22,1,7.56,7.56,1,0
4.1951e-21,1.5227e-22,6.4609e-22,0.0040531,-8.536e-19,-1.7072e-22,1,7.74,7.74,1,0
-8.0689e-22,2.312e-23,-1.581e-22,0.0035406,-3.2252e-19,-6.4503e-23,1,7.92,7.92,1,0
-3.6886e-21,1.0569e-22,-7.2274e-22,0.0030483,1.8673e-20,3.7347e-24,1,8.1,8.1,1,0
3.6886e-21,-1.0569e-22,7.2274e-22,0.0026582,7.6457e-20,1.5291e-23,1,8.28,8.28,1,0
0,0,0,0.0023318,1.5276e-19,3.0551e-23,1,8.46,8.46,1,0
5.0637e-21,1.0253e-22,7.7028e-22,0.0020403,6.0032e-20,1.2006e-23,1,8.64,8.64,1,0
0,0,0,0.0017725,-2.0703e-20,-4.1407e-24,1,8.82,8.82,1,0
0,0,0,0.001536,1.4069e-20,2.8138e-24,1,9,9,1,0
0,0,0,0.0013408,-2.6962e-21,-5.3924e-25,1,9.18,9.18,1,0
0,0,0,0.0011716,-1.9942e-22,-3.9884e-26,1,9.36,9.36,1,0
0,0,0,0.0010257,2.7811e-25,5.5622e-29,1,9.54,9.54,1,0
-1.9692e-21,-4.1539e-24,-3.4261e-22,0.00089322,1.1231e-22,2.2463e-26,1,9.72,9.72,1,0
-4.1868e-22,-1.4856e-23,-6.5131e-23,0.00077941,1.6706e-23,3.3413e-27,1,9.9,9.9,1,0
0,0,0,0.00068025,-4.5816e-23,-9.1632e-27,1,10.08,10.08,1,0
0,0,0,0.00059118,-1.4363e-23,-2.8727e-27,1,10.26,10.26,1,0
0,0,0,0.0005158,5.0198e-25,1.004e-28,1,10.44,10.44,1,0
0,0,0,0.00045046,6.1835e-25,1.2367e-28,1,10.62,10.62,1,0
0,0,0,0.00039299,-1.2716e-25,-2.5432e-29,1,10.8,10.8,1,0
0,0,0,0.00034184,-1.1259e-25,-2.2517e-29,1,10.98,10.98,1,0
0,0,0,0.00029756,3.2469e-27,6.4938e-31,1,11.16,11.16,1,0
4.8916e-22,-1.6674e-24,9.202e-23,0.00025856,2.1555e-26,4.3111e-30,1,11.34,11.34,1,0
0,0,0,0.00022495,6.6764e-26,1.3353e-29,1,11.52,11.52,1,0
0,0,0,0.0001953,-3.1927e-27,-6.3855e-31,1,11.7,11.7,1,0
0,0,0,0.00016997,-2.9509e-28,-5.9017e-32,1,11.88,11.88,1,0
1.3072e-22,-3.9819e-24,2.36e-23,0.00014955,1.8614e-27,3.7227e-31,1,12.06,12.06,1,0
-3.1235e-22,-3.6816e-24,-6.2766e-23,0.00013264,4.1565e-27,8.313e-31,1,12.24,12.24,1,0
0,0,0,0.00011481,1.4437e-27,2.8873e-31,1,12.42,12.42,1,0
0,0,0,9.9213e-05,-2.1115e-28,-4.2231e-32,1,12.6,12.6,1,0
0,0,0,8.6296e-05,4.8835e-29,9.767e-33,1,12.78,12.78,1,0
