"u","v","w","p","s","d","r","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.7535e-15,3.837e-15,-7.1196e-15,-0.1793,0.99999,0,0,1,0,0,1,0
1.6878e-19,1.1942e-05,-0.00036192,-0.18307,0.99999,0,0,1,0.018,0.018,1,0
3.5162e-20,2.3883e-05,-0.00072384,-0.18683,0.99999,0,0,1,0.036,0.036,1,0
-1.6175e-19,3.5825e-05,-0.0010858,-0.1906,0.99999,0,0,1,0.054,0.054,1,0
8.439e-20,4.7767e-05,-0.0014477,-0.19437,0.99999,0,0,1,0.072,0.072,1,0
1.2658e-19,5.9708e-05,-0.0018096,-0.19813,0.99999,0,0,1,0.09,0.09,1,0
-5.626e-20,7.165e-05,-0.0021715,-0.2019,0.99999,0,0,1,0.108,0.108,1,0
1.5471e-19,8.3591e-05,-0.0025334,-0.20567,0.99999,0,0,1,0.126,0.126,1,0
-5.626e-20,9.5533e-05,-0.0028954,-0.20943,0.99999,0,0,1,0.144,0.144,1,0
2.813e-20,0.00010747,-0.0032573,-0.2132,0.99999,0,0,1,0.162,0.162,1,0
5.626e-20,0.00011942,-0.0036192,-0.21697,1,0,0,1,0.18,0.18,1,0
-2.813e-20,0.00013136,-0.0039811,-0.22073,1,0,0,1,0.198,0.198,1,0
0,0.0001433,-0.0043431,-0.2245,1,0,0,1,0.216,0.216,1,0
1.9691e-19,0.00015524,-0.004705,-0.22827,1,0,0,1,0.234,0.234,1,0
8.439e-20,0.00016718,-0.0050669,-0.23203,1,0,0,1,0.252,0.252,1,0
0,0.00017912,-0.0054288,-0.2358,1,0,0,1,0.27,0.27,1,0
1.6878e-19,0.00019107,-0.0057907,-0.23956,1,0,0,1,0.288,0.288,1,0
0,0.00020301,-0.0061527,-0.24333,1,0,0,1,0.306,0.306,1,0
1.1252e-19,0.00021495,-0.0065146,-0.2471,1,0,0,1,0.324,0.324,1,0
5.626e-20,0.00022689,-0.0068765,-0.25086,1,0,0,1,0.342,0.342,1,0
1.6878e-19,0.00023883,-0.0072384,-0.25463,1,0,0,1,0.36,0.36,1,0
5.626e-20,0.00025077,-0.0076003,-0.2584,1,0,0,1,0.378,0.378,1,0
1.1252e-19,0.00026272,-0.0079623,-0.26216,1,0,0,1,0.396,0.396,1,0
1.1252e-19,0.00027466,-0.0083242,-0.26593,1,0,0,1,0.414,0.414,1,0
1.6878e-19,0.0002866,-0.0086861,-0.2697,1,0,0,1,0.432,0.432,1,0
1.6878e-19,0.00029854,-0.009048,-0.27346,1,0,0,1,0.45,0.45,1,0
1.6878e-19,0.00031048,-0.0094099,-0.27723,1,0,0,1,0.468,0.468,1,0
1.1252e-19,0.00032242,-0.0097719,-0.281,1,0,0,1,0.486,0.486,1,0
0,0.00033154,-0.010084,-0.28404,1,0,0,1,0.504,0.504,1,0
0,0.000316,-0.0099613,-0.28083,1,0,0,1,0.522,0.522,1,0
0,0.00030046,-0.0098387,-0.27761,1,0,0,1,0.54,0.54,1,0
0,0.00028492,-0.009716,-0.27439,1,0,0,1,0.558,0.558,1,0
0,0.00026938,-0.0095934,-0.27117,1,0,0,1,0.576,0.576,1,0
0,0.00025384,-0.0094707,-0.26795,0.99999,0,0,1,0.594,0.594,1,0
0,0.00023829,-0.0093481,-0.26473,0.99999,0,0,1,0.612,0.612,1,0
