u,v,w,p,s,d,vtkvalidpointmask,arc_length,points0,points1,points2
0,0,0,0.03911,1.0822e-11,3.1996e-15,1,0,4.5,0,0
0,0,0,0.039137,1.138e-11,3.3678e-15,1,0.02,4.5,0.02,0
0,0,0,0.039164,1.1939e-11,3.5361e-15,1,0.04,4.5,0.04,0
0,0,0,0.039191,1.2497e-11,3.7043e-15,1,0.06,4.5,0.06,0
0,0,0,0.039218,1.3055e-11,3.8726e-15,1,0.08,4.5,0.08,0
0,0,0,0.039245,1.3613e-11,4.0408e-15,1,0.1,4.5,0.1,0
0,0,0,0.039272,1.4172e-11,4.2091e-15,1,0.12,4.5,0.12,0
0,0,0,0.039299,1.473e-11,4.3773e-15,1,0.14,4.5,0.14,0
0,0,0,0.039326,1.5288e-11,4.5455e-15,1,0.16,4.5,0.16,0
0,0,0,0.039353,1.5847e-11,4.7138e-15,1,0.18,4.5,0.18,0
0,0,0,0.03938,1.6405e-11,4.882e-15,1,0.2,4.5,0.2,0
0,0,0,0.039387,1.458e-11,4.3417e-15,1,0.22,4.5,0.22,0
0,0,0,0.039389,1.2262e-11,3.6547e-15,1,0.24,4.5,0.24,0
0,0,0,0.039391,9.9439e-12,2.9678e-15,1,0.26,4.5,0.26,0
0,0,0,0.039393,7.626e-12,2.2808e-15,1,0.28,4.5,0.28,0
0,0,0,0.039395,5.308e-12,1.5939e-15,1,0.3,4.5,0.3,0
0,0,0,0.0394,4.7849e-12,1.4373e-15,1,0.32,4.5,0.32,0
0,0,0,0.039405,4.6167e-12,1.3855e-15,1,0.34,4.5,0.34,0
0,0,0,0.03941,4.4485e-12,1.3338e-15,1,0.36,4.5,0.36,0
0,0,0,0.039415,4.2802e-12,1.2821e-15,1,0.38,4.5,0.38,0
0,0,0,0.03942,4.112e-12,1.2303e-15,1,0.4,4.5,0.4,0
0,0,0,0.039425,3.9438e-12,1.1786e-15,1,0.42,4.5,0.42,0
0,0,0,0.03943,3.7755e-12,1.1268e-15,1,0.44,4.5,0.44,0
0,0,0,0.039435,3.6073e-12,1.0751e-15,1,0.46,4.5,0.46,0
0,0,0,0.03944,3.4391e-12,1.0233e-15,1,0.48,4.5,0.48,0
0,0,0,0.039464,4.5123e-12,1.3421e-15,1,0.5,4.5,0.5,0
-9.8952e-20,1.9104e-21,-1.5289e-20,0.039482,5.9343e-12,1.765e-15,1,0.52,4.5,0.52,0
