u,v,w,p,s,d,r,vtkValidPointMask,arc_length,Points0,Points1,Points2
-1.4243e-18,-8.1477e-09,-1.3263e-09,5.0021e-08,9.6777e-16,8.8438e-19,6.455e-20,1,0,9,0,0
1.1862e-11,-8.0717e-09,-1.3453e-09,5.0377e-08,9.8967e-16,8.8017e-19,6.4224e-20,1,0.002,9,0.002,0
2.3724e-11,-7.9956e-09,-1.3644e-09,5.0733e-08,1.0116e-15,8.7597e-19,6.3897e-20,1,0.004,9,0.004,0
0,-7.9589e-09,-1.3377e-09,5.1349e-08,1.0078e-15,8.4743e-19,6.1854e-20,1,0.006,9,0.006,0
0,-7.896e-09,-1.3415e-09,5.1792e-08,1.0211e-15,8.3512e-19,6.0956e-20,1,0.008,9,0.008,0
0,-7.833e-09,-1.3453e-09,5.2235e-08,1.0344e-15,8.228e-19,6.0057e-20,1,0.01,9,0.01,0
0,-7.7701e-09,-1.3491e-09,5.2678e-08,1.0477e-15,8.1049e-19,5.9158e-20,1,0.012,9,0.012,0
0,-7.7072e-09,-1.3529e-09,5.312e-08,1.0611e-15,7.9817e-19,5.8259e-20,1,0.014,9,0.014,0
0,-7.6442e-09,-1.3567e-09,5.3563e-08,1.0744e-15,7.8586e-19,5.7361e-20,1,0.016,9,0.016,0
0,-7.5813e-09,-1.3605e-09,5.4006e-08,1.0877e-15,7.7354e-19,5.6462e-20,1,0.018,9,0.018,0
0,-7.5184e-09,-1.3643e-09,5.4448e-08,1.101e-15,7.6123e-19,5.5563e-20,1,0.02,9,0.02,0
0,-7.4555e-09,-1.3681e-09,5.4891e-08,1.1144e-15,7.4891e-19,5.4665e-20,1,0.022,9,0.022,0
0,-7.3925e-09,-1.3719e-09,5.5334e-08,1.1277e-15,7.366e-19,5.3766e-20,1,0.024,9,0.024,0
0,-7.3296e-09,-1.3757e-09,5.5776e-08,1.141e-15,7.2428e-19,5.2867e-20,1,0.026,9,0.026,0
0,-7.2667e-09,-1.3795e-09,5.6219e-08,1.1543e-15,7.1197e-19,5.1968e-20,1,0.028,9,0.028,0
0,-7.2037e-09,-1.3833e-09,5.6662e-08,1.1677e-15,6.9965e-19,5.107e-20,1,0.03,9,0.03,0
0,-7.1408e-09,-1.3871e-09,5.7104e-08,1.181e-15,6.8734e-19,5.0171e-20,1,0.032,9,0.032,0
0,-7.0779e-09,-1.3909e-09,5.7547e-08,1.1943e-15,6.7502e-19,4.9272e-20,1,0.034,9,0.034,0
0,-7.015e-09,-1.3947e-09,5.799e-08,1.2076e-15,6.6271e-19,4.8374e-20,1,0.036,9,0.036,0
0,-6.952e-09,-1.3985e-09,5.8432e-08,1.221e-15,6.504e-19,4.7475e-20,1,0.038,9,0.038,0
0,-6.8891e-09,-1.4023e-09,5.8875e-08,1.2343e-15,6.3808e-19,4.6576e-20,1,0.04,9,0.04,0
0,-6.8262e-09,-1.4061e-09,5.9318e-08,1.2476e-15,6.2577e-19,4.5677e-20,1,0.042,9,0.042,0
0,-6.7632e-09,-1.4099e-09,5.976e-08,1.261e-15,6.1345e-19,4.4779e-20,1,0.044,9,0.044,0
0,-6.7003e-09,-1.4137e-09,6.0203e-08,1.2743e-15,6.0114e-19,4.388e-20,1,0.046,9,0.046,0
0,-6.6374e-09,-1.4176e-09,6.0646e-08,1.2876e-15,5.8882e-19,4.2981e-20,1,0.048,9,0.048,0
0,-6.5745e-09,-1.4214e-09,6.1088e-08,1.3009e-15,5.7651e-19,4.2083e-20,1,0.05,9,0.05,0
0,-6.5115e-09,-1.4252e-09,6.1531e-08,1.3143e-15,5.6419e-19,4.1184e-20,1,0.052,9,0.052,0
0,-6.4486e-09,-1.429e-09,6.1974e-08,1.3276e-15,5.5188e-19,4.0285e-20,1,0.054,9,0.054,0
0,-6.3857e-09,-1.4328e-09,6.2416e-08,1.3409e-15,5.3956e-19,3.9386e-20,1,0.056,9,0.056,0
0,-6.3228e-09,-1.4366e-09,6.2859e-08,1.3542e-15,5.2725e-19,3.8488e-20,1,0.058,9,0.058,0
0,-6.2598e-09,-1.4404e-09,6.3302e-08,1.3676e-15,5.1493e-19,3.7589e-20,1,0.06,9,0.06,0
0,-6.1969e-09,-1.4442e-09,6.3745e-08,1.3809e-15,5.0262e-19,3.669e-20,1,0.062,9,0.062,0
0,-6.134e-09,-1.448e-09,6.4187e-08,1.3942e-15,4.903e-19,3.5792e-20,1,0.064,9,0.064,0
0,-6.071e-09,-1.4518e-09,6.463e-08,1.4075e-15,4.7799e-19,3.4893e-20,1,0.066,9,0.066,0
0,-6.0081e-09,-1.4556e-09,6.5073e-08,1.4209e-15,4.6567e-19,3.3994e-20,1,0.068,9,0.068,0
0,-5.9452e-09,-1.4594e-09,6.5515e-08,1.4342e-15,4.5336e-19,3.3095e-20,1,0.07,9,0.07,0
0,-5.8823e-09,-1.4632e-09,6.5958e-08,1.4475e-15,4.4104e-19,3.2197e-20,1,0.072,9,0.072,0
0,-5.8193e-09,-1.467e-09,6.6401e-08,1.4608e-15,4.2873e-19,3.1298e-20,1,0.074,9,0.074,0
0,-5.7564e-09,-1.4708e-09,6.6843e-08,1.4742e-15,4.1641e-19,3.0399e-20,1,0.076,9,0.076,0
0,-5.6935e-09,-1.4746e-09,6.7286e-08,1.4875e-15,4.041e-19,2.9501e-20,1,0.078,9,0.078,0
0,-5.6305e-09,-1.4784e-09,6.7729e-08,1.5008e-15,3.9178e-19,2.8602e-20,1,0.08,9,0.08,0
0,-5.5676e-09,-1.4822e-09,6.8171e-08,1.5142e-15,3.7947e-19,2.7703e-20,1,0.082,9,0.082,0
0,-5.5047e-09,-1.486e-09,6.8614e-08,1.5275e-15,3.6715e-19,2.6804e-20,1,0.084,9,0.084,0
0,-5.4418e-09,-1.4898e-09,6.9057e-08,1.5408e-15,3.5484e-19,2.5906e-20,1,0.086,9,0.086,0
0,-5.3788e-09,-1.4936e-09,6.9499e-08,1.5541e-15,3.4252e-19,2.5007e-20,1,0.088,9,0.088,0
0,-5.3159e-09,-1.4974e-09,6.9942e-08,1.5675e-15,3.3021e-19,2.4108e-20,1,0.09,9,0.09,0
0,-5.253e-09,-1.5012e-09,7.0385e-08,1.5808e-15,3.1789e-19,2.321e-20,1,0.092,9,0.092,0
