u,v,w,p,s,d,r,vtkValidPointMask,arc_length,Points0,Points1,Points2
-9.2153e-16,1.0826e-15,-6.8314e-15,-0.15321,0.99996,0,0,1,0,0,1,0
1.7357e-19,3.234e-05,-0.001178,-0.15707,0.99997,0,0,1,0.018,0.018,1,0
3.6161e-20,6.468e-05,-0.002356,-0.16092,0.99997,0,0,1,0.036,0.036,1,0
-1.6634e-19,9.7019e-05,-0.0035341,-0.16478,0.99997,0,0,1,0.054,0.054,1,0
8.6787e-20,0.00012936,-0.0047121,-0.16864,0.99997,0,0,1,0.072,0.072,1,0
1.3018e-19,0.0001617,-0.0058901,-0.1725,0.99997,0,0,1,0.09,0.09,1,0
-5.7858e-20,0.00019404,-0.0070681,-0.17635,0.99998,0,0,1,0.108,0.108,1,0
1.5911e-19,0.00022638,-0.0082462,-0.18021,0.99998,0,0,1,0.126,0.126,1,0
-5.7858e-20,0.00025872,-0.0094242,-0.18407,0.99998,0,0,1,0.144,0.144,1,0
2.8929e-20,0.00029106,-0.010602,-0.18793,0.99998,0,0,1,0.162,0.162,1,0
5.7858e-20,0.0003234,-0.01178,-0.19178,0.99999,0,0,1,0.18,0.18,1,0
-2.8929e-20,0.00035574,-0.012958,-0.19564,0.99999,0,0,1,0.198,0.198,1,0
0,0.00038808,-0.014136,-0.1995,0.99999,0,0,1,0.216,0.216,1,0
2.025e-19,0.00042042,-0.015314,-0.20336,0.99999,0,0,1,0.234,0.234,1,0
8.6787e-20,0.00045276,-0.016492,-0.20721,1,0,0,1,0.252,0.252,1,0
0,0.0004851,-0.01767,-0.21107,1,0,0,1,0.27,0.27,1,0
1.7357e-19,0.00051744,-0.018848,-0.21493,1,0,0,1,0.288,0.288,1,0
0,0.00054978,-0.020026,-0.21879,1,0,0,1,0.306,0.306,1,0
1.1572e-19,0.00058212,-0.021204,-0.22264,1,0,0,1,0.324,0.324,1,0
5.7858e-20,0.00061446,-0.022382,-0.2265,1,0,0,1,0.342,0.342,1,0
1.7357e-19,0.0006468,-0.02356,-0.23036,1,0,0,1,0.36,0.36,1,0
5.7858e-20,0.00067914,-0.024738,-0.23422,1,0,0,1,0.378,0.378,1,0
1.1572e-19,0.00071148,-0.025916,-0.23807,1,0,0,1,0.396,0.396,1,0
1.1572e-19,0.00074382,-0.027094,-0.24193,1,0,0,1,0.414,0.414,1,0
1.7357e-19,0.00077616,-0.028273,-0.24579,1,0,0,1,0.432,0.432,1,0
1.7357e-19,0.0008085,-0.029451,-0.24965,1,0,0,1,0.45,0.45,1,0
1.7357e-19,0.00084084,-0.030629,-0.2535,1,0,0,1,0.468,0.468,1,0
1.1572e-19,0.00087318,-0.031807,-0.25736,1,0,0,1,0.486,0.486,1,0
0,0.00089793,-0.032847,-0.2606,1,0,0,1,0.504,0.504,1,0
0,0.00085651,-0.032686,-0.25844,1,0,0,1,0.522,0.522,1,0
0,0.00081508,-0.032524,-0.25628,1,0,0,1,0.54,0.54,1,0
0,0.00077366,-0.032363,-0.25412,1,0,0,1,0.558,0.558,1,0
0,0.00073223,-0.032202,-0.25195,0.99999,0,0,1,0.576,0.576,1,0
0,0.0006908,-0.032041,-0.24979,0.99998,0,0,1,0.594,0.594,1,0
0,0.00064938,-0.031879,-0.24763,0.99997,0,0,1,0.612,0.612,1,0
0,0.00060795,-0.031718,-0.24547,0.99996,0,0,1,0.63,0.63,1,0
0,0.00056653,-0.031557,-0.24331,0.99995,0,0,1,0.648,0.648,1,0
0,0.0005251,-0.031396,-0.24115,0.99994,0,0,1,0.666,0.666,1,0
0,0.00048368,-0.031234,-0.23899,0.99993,0,0,1,0.684,0.684,1,0
0,0.00044225,-0.031073,-0.23682,0.99992,0,0,1,0.702,0.702,1,0
0,0.00040083,-0.030912,-0.23466,0.99991,0,0,1,0.72,0.72,1,0
0,0.0003594,-0.030751,-0.2325,0.9999,0,0,1,0.738,0.738,1,0
0,0.00031798,-0.030589,-0.23034,0.99989,0,0,1,0.756,0.756,1,0
0,0.00027655,-0.030428,-0.22818,0.99988,0,0,1,0.774,0.774,1,0
0,0.00023513,-0.030267,-0.22602,0.99987,0,0,1,0.792,0.792,1,0
0,0.0001937,-0.030106,-0.22385,0.99986,0,0,1,0.81,0.81,1,0
0,0.00015227,-0.029944,-0.22169,0.99985,0,0,1,0.828,0.828,1,0
0,0.00011085,-0.029783,-0.21953,0.99984,0,0,1,0.846,0.846,1,0
0,6.9424e-05,-0.029622,-0.21737,0.99983,0,0,1,0.864,0.864,1,0
0,2.7999e-05,-0.029461,-0.21521,0.99982,0,0,1,0.882,0.882,1,0
0,-1.3426e-05,-0.029299,-0.21305,0.99981,0,0,1,0.9,0.9,1,0
0,-5.4852e-05,-0.029138,-0.21088,0.9998,0,0,1,0.918,0.918,1,0
0,-9.6277e-05,-0.028977,-0.20872,0.99979,0,0,1,0.936,0.936,1,0
0,-0.0001377,-0.028815,-0.20656,0.99978,0,0,1,0.954,0.954,1,0
0,-0.00017913,-0.028654,-0.2044,0.99977,0,0,1,0.972,0.972,1,0
0,-0.00022055,-0.028493,-0.20224,0.99976,0,0,1,0.99,0.99,1,0
0,-0.00025669,-0.027823,-0.19796,0.97893,0,0,1,1.008,1.008,1,0
0,-0.0002862,-0.026518,-0.19102,0.93207,0,0,1,1.026,1.026,1,0
0,-0.00031572,-0.025213,-0.18409,0.88521,0,0,1,1.044,1.044,1,0
0,-0.00034523,-0.023907,-0.17715,0.83836,0,0,1,1.062,1.062,1,0
0,-0.00037475,-0.022602,-0.17022,0.7915,0,0,1,1.08,1.08,1,0
0,-0.00040426,-0.021297,-0.16329,0.74464,0,0,1,1.098,1.098,1,0
0,-0.00043378,-0.019992,-0.15635,0.69778,0,0,1,1.116,1.116,1,0
0,-0.00046329,-0.018686,-0.14942,0.65092,0,0,1,1.134,1.134,1,0
0,-0.00049281,-0.017381,-0.14248,0.60406,0,0,1,1.152,1.152,1,0
0,-0.00052232,-0.016076,-0.13555,0.5572,0,0,1,1.17,1.17,1,0
0,-0.00055184,-0.01477,-0.12862,0.51034,0,0,1,1.188,1.188,1,0
0,-0.00052184,-0.013442,-0.12025,0.46353,0,0,1,1.206,1.206,1,0
0,-0.00047403,-0.012108,-0.11147,0.41673,0,0,1,1.224,1.224,1,0
0,-0.00042622,-0.010773,-0.1027,0.36993,0,0,1,1.242,1.242,1,0
0,-0.00037841,-0.0094387,-0.093916,0.32312,0,0,1,1.26,1.26,1,0
0,-0.00033059,-0.0081041,-0.085137,0.27632,0,0,1,1.278,1.278,1,0
0,-0.00028278,-0.0067695,-0.076358,0.22952,0,0,1,1.296,1.296,1,0
0,-0.00023497,-0.0054349,-0.067579,0.18272,0,0,1,1.314,1.314,1,0
0,-0.00018716,-0.0041003,-0.0588,0.13592,0,0,1,1.332,1.332,1,0
0,-0.00013935,-0.0027658,-0.050021,0.08912,0,0,1,1.35,1.35,1,0
0,-9.1539e-05,-0.0014312,-0.041242,0.042319,0,0,1,1.368,1.368,1,0
0,-4.8771e-05,-0.00022836,-0.033277,0.00019176,0,0,1,1.386,1.386,1,0
-6.9897e-20,-5.1239e-05,-0.0002108,-0.032299,0.00018473,0,0,1,1.404,1.404,1,0
0,-5.3708e-05,-0.00019325,-0.031321,0.00017769,0,0,1,1.422,1.422,1,0
-6.9897e-20,-5.6176e-05,-0.00017569,-0.030343,0.00017065,0,0,1,1.44,1.44,1,0
0,-5.8645e-05,-0.00015813,-0.029365,0.00016361,0,0,1,1.458,1.458,1,0
-6.9897e-20,-6.1113e-05,-0.00014057,-0.028387,0.00015658,0,0,1,1.476,1.476,1,0
-6.9897e-20,-6.3582e-05,-0.00012301,-0.027409,0.00014954,0,0,1,1.494,1.494,1,0
0,-6.6051e-05,-0.00010545,-0.026431,0.0001425,0,0,1,1.512,1.512,1,0
0,-6.8519e-05,-8.7896e-05,-0.025453,0.00013547,0,0,1,1.53,1.53,1,0
-6.9897e-20,-7.0988e-05,-7.0338e-05,-0.024475,0.00012843,0,0,1,1.548,1.548,1,0
-6.9897e-20,-7.3456e-05,-5.278e-05,-0.023497,0.00012139,0,0,1,1.566,1.566,1,0
0,-7.5925e-05,-3.5221e-05,-0.022519,0.00011435,0,0,1,1.584,1.584,1,0
0,-7.8393e-05,-1.7663e-05,-0.021541,0.00010732,0,0,1,1.602,1.602,1,0
0,-8.0862e-05,-1.0492e-07,-0.020563,0.00010028,0,0,1,1.62,1.62,1,0
0,-8.333e-05,1.7453e-05,-0.019585,9.3242e-05,0,0,1,1.638,1.638,1,0
-3.4949e-20,-8.5799e-05,3.5012e-05,-0.018607,8.6205e-05,0,0,1,1.656,1.656,1,0
-3.4949e-20,-8.8268e-05,5.257e-05,-0.017629,7.9168e-05,0,0,1,1.674,1.674,1,0
0,-9.0736e-05,7.0128e-05,-0.016651,7.2131e-05,0,0,1,1.692,1.692,1,0
3.4949e-20,-9.3205e-05,8.7686e-05,-0.015673,6.5094e-05,0,0,1,1.71,1.71,1,0
-3.4949e-20,-9.5673e-05,0.00010524,-0.014695,5.8057e-05,0,0,1,1.728,1.728,1,0
0,-9.8142e-05,0.0001228,-0.013717,5.102e-05,0,0,1,1.746,1.746,1,0
-6.9897e-20,-0.00010061,0.00014036,-0.012739,4.3982e-05,0,0,1,1.764,1.764,1,0
-1.2232e-19,-0.00010308,0.00015792,-0.011761,3.6945e-05,0,0,1,1.782,1.782,1,0
-5.2423e-20,-0.00010555,0.00017548,-0.010783,2.9908e-05,0,0,1,1.8,1.8,1,0
3.4949e-20,-0.00010802,0.00019304,-0.0098049,2.2871e-05,0,0,1,1.818,1.818,1,0
-1.7474e-20,-0.00011048,0.00021059,-0.0088269,1.5834e-05,0,0,1,1.836,1.836,1,0
8.7371e-21,-0.00011295,0.00022815,-0.0078489,8.7966e-06,0,0,1,1.854,1.854,1,0
5.6791e-20,-0.00011542,0.00024571,-0.0068709,1.7595e-06,0,0,1,1.872,1.872,1,0
5.0239e-20,-0.00011789,0.00026327,-0.0058928,-5.2777e-06,0,0,1,1.89,1.89,1,0
-1.3767e-20,-0.00011968,0.00026853,-0.0051975,-7.9975e-06,0,0,1,1.908,1.908,1,0
-1.9875e-21,-0.0001145,0.00025657,-0.0050825,-7.3259e-06,0,0,1,1.926,1.926,1,0
-1.2119e-20,-0.00010932,0.00024461,-0.0049676,-6.6543e-06,0,0,1,1.944,1.944,1,0
-2.5692e-21,-0.00010413,0.00023265,-0.0048527,-5.9828e-06,0,0,1,1.962,1.962,1,0
-9.7434e-21,-9.8952e-05,0.00022069,-0.0047377,-5.3112e-06,0,0,1,1.98,1.98,1,0
1.6481e-21,-9.377e-05,0.00020873,-0.0046228,-4.6396e-06,0,0,1,1.998,1.998,1,0
-7.15e-21,-8.8588e-05,0.00019677,-0.0045079,-3.9681e-06,0,0,1,2.016,2.016,1,0
8.9678e-22,-8.3406e-05,0.00018481,-0.0043929,-3.2965e-06,0,0,1,2.034,2.034,1,0
-8.3134e-21,-7.8224e-05,0.00017285,-0.004278,-2.6249e-06,0,0,1,2.052,2.052,1,0
-8.7739e-21,-7.3042e-05,0.00016089,-0.0041631,-1.9534e-06,0,0,1,2.07,2.07,1,0
-6.2048e-21,-6.786e-05,0.00014893,-0.0040481,-1.2818e-06,0,0,1,2.088,2.088,1,0
-1.0555e-20,-6.2678e-05,0.00013697,-0.0039332,-6.1022e-07,0,0,1,2.106,2.106,1,0
-2.0844e-21,-5.7496e-05,0.000125,-0.0038183,6.1352e-08,0,0,1,2.124,2.124,1,0
-2.4237e-22,-5.2314e-05,0.00011304,-0.0037033,7.3292e-07,0,0,1,2.142,2.142,1,0
-4.181e-21,-4.7132e-05,0.00010108,-0.0035884,1.4045e-06,0,0,1,2.16,2.16,1,0
-3.6477e-21,-4.195e-05,8.9125e-05,-0.0034735,2.0761e-06,0,0,1,2.178,2.178,1,0
-1.383e-21,-3.6767e-05,7.7164e-05,-0.0033585,2.7476e-06,0,0,1,2.196,2.196,1,0
4.4203e-21,-3.1585e-05,6.5204e-05,-0.0032436,3.4192e-06,0,0,1,2.214,2.214,1,0
-5.7261e-21,-2.6403e-05,5.3244e-05,-0.0031287,4.0908e-06,0,0,1,2.232,2.232,1,0
5.6366e-07,-2.0779e-05,4.0827e-05,-0.0030108,4.7902e-06,0,0,1,2.25,2.25,1,0
7.6064e-07,-1.5443e-05,2.8707e-05,-0.0028949,5.4716e-06,0,0,1,2.268,2.268,1,0
0,-1.0519e-05,1.5815e-05,-0.0027826,6.1442e-06,0,0,1,2.286,2.286,1,0
0,-5.2678e-06,3.536e-06,-0.0026674,6.8237e-06,0,0,1,2.304,2.304,1,0
0,-1.6221e-08,-8.7428e-06,-0.0025522,7.5032e-06,0,0,1,2.322,2.322,1,0
0,5.2353e-06,-2.1021e-05,-0.002437,8.1827e-06,0,0,1,2.34,2.34,1,0
0,1.0487e-05,-3.33e-05,-0.0023218,8.8623e-06,0,0,1,2.358,2.358,1,0
0,1.1652e-05,-3.5768e-05,-0.0022201,8.8784e-06,0,0,1,2.376,2.376,1,0
0,9.5988e-06,-3.4918e-05,-0.0021325,8.2683e-06,0,0,1,2.394,2.394,1,0
0,7.5455e-06,-3.4068e-05,-0.002045,7.6583e-06,0,0,1,2.412,2.412,1,0
0,5.4922e-06,-3.3218e-05,-0.0019574,7.0482e-06,0,0,1,2.43,2.43,1,0
0,3.4389e-06,-3.2368e-05,-0.0018699,6.4381e-06,0,0,1,2.448,2.448,1,0
0,1.3855e-06,-3.1518e-05,-0.0017823,5.8281e-06,0,0,1,2.466,2.466,1,0
0,-6.6776e-07,-3.0668e-05,-0.0016948,5.218e-06,0,0,1,2.484,2.484,1,0
0,-2.7211e-06,-2.9817e-05,-0.0016073,4.608e-06,0,0,1,2.502,2.502,1,0
0,-4.7744e-06,-2.8967e-05,-0.0015197,3.9979e-06,0,0,1,2.52,2.52,1,0
0,-6.8277e-06,-2.8117e-05,-0.0014322,3.3879e-06,0,0,1,2.538,2.538,1,0
0,-8.881e-06,-2.7267e-05,-0.0013446,2.7778e-06,0,0,1,2.556,2.556,1,0
0,-1.0934e-05,-2.6417e-05,-0.0012571,2.1678e-06,0,0,1,2.574,2.574,1,0
0,-1.2988e-05,-2.5567e-05,-0.0011695,1.5577e-06,0,0,1,2.592,2.592,1,0
0,-1.5041e-05,-2.4717e-05,-0.001082,9.4765e-07,0,0,1,2.61,2.61,1,0
0,-1.7094e-05,-2.3866e-05,-0.00099446,3.3759e-07,0,0,1,2.628,2.628,1,0
0,-1.9148e-05,-2.3016e-05,-0.00090692,-2.7246e-07,0,0,1,2.646,2.646,1,0
0,-2.1201e-05,-2.2166e-05,-0.00081937,-8.8252e-07,0,0,1,2.664,2.664,1,0
0,-2.3254e-05,-2.1316e-05,-0.00073183,-1.4926e-06,0,0,1,2.682,2.682,1,0
0,-2.5308e-05,-2.0466e-05,-0.00064429,-2.1026e-06,0,0,1,2.7,2.7,1,0
0,-2.7361e-05,-1.9616e-05,-0.00055675,-2.7127e-06,0,0,1,2.718,2.718,1,0
0,-2.7269e-05,-1.8243e-05,-0.00051582,-2.7757e-06,0,0,1,2.736,2.736,1,0
0,-2.6595e-05,-1.6729e-05,-0.00048753,-2.6904e-06,0,0,1,2.754,2.754,1,0
