u,v,w,p,s,d,r,vtkValidPointMask,arc_length,Points0,Points1,Points2
-6.3534e-19,-3.028e-09,-1.3316e-09,7.362e-09,6.2686e-16,4.1418e-19,4.1812e-20,1,0,9,0,0
5.2912e-12,-2.9983e-09,-1.335e-09,7.6094e-09,6.4108e-16,4.1223e-19,4.1602e-20,1,0.002,9,0.002,0
1.0582e-11,-2.9686e-09,-1.3383e-09,7.8567e-09,6.5529e-16,4.1027e-19,4.1392e-20,1,0.004,9,0.004,0
0,-2.9552e-09,-1.3216e-09,8.2718e-09,6.5275e-16,3.9688e-19,4.0063e-20,1,0.006,9,0.006,0
0,-2.9309e-09,-1.3182e-09,8.5751e-09,6.6137e-16,3.9112e-19,3.9481e-20,1,0.008,9,0.008,0
0,-2.9066e-09,-1.3149e-09,8.8783e-09,6.7e-16,3.8535e-19,3.8898e-20,1,0.01,9,0.01,0
0,-2.8824e-09,-1.3115e-09,9.1816e-09,6.7863e-16,3.7959e-19,3.8315e-20,1,0.012,9,0.012,0
0,-2.8581e-09,-1.3081e-09,9.4848e-09,6.8726e-16,3.7382e-19,3.7732e-20,1,0.014,9,0.014,0
0,-2.8338e-09,-1.3048e-09,9.7881e-09,6.9589e-16,3.6805e-19,3.7149e-20,1,0.016,9,0.016,0
0,-2.8095e-09,-1.3014e-09,1.0091e-08,7.0452e-16,3.6229e-19,3.6567e-20,1,0.018,9,0.018,0
0,-2.7853e-09,-1.2981e-09,1.0395e-08,7.1314e-16,3.5652e-19,3.5984e-20,1,0.02,9,0.02,0
0,-2.761e-09,-1.2947e-09,1.0698e-08,7.2177e-16,3.5076e-19,3.5401e-20,1,0.022,9,0.022,0
0,-2.7367e-09,-1.2914e-09,1.1001e-08,7.304e-16,3.4499e-19,3.4818e-20,1,0.024,9,0.024,0
0,-2.7124e-09,-1.288e-09,1.1304e-08,7.3903e-16,3.3922e-19,3.4235e-20,1,0.026,9,0.026,0
0,-2.6882e-09,-1.2847e-09,1.1608e-08,7.4766e-16,3.3346e-19,3.3653e-20,1,0.028,9,0.028,0
0,-2.6639e-09,-1.2813e-09,1.1911e-08,7.5629e-16,3.2769e-19,3.307e-20,1,0.03,9,0.03,0
0,-2.6396e-09,-1.278e-09,1.2214e-08,7.6491e-16,3.2193e-19,3.2487e-20,1,0.032,9,0.032,0
0,-2.6153e-09,-1.2746e-09,1.2517e-08,7.7354e-16,3.1616e-19,3.1904e-20,1,0.034,9,0.034,0
0,-2.5911e-09,-1.2712e-09,1.2821e-08,7.8217e-16,3.1039e-19,3.1321e-20,1,0.036,9,0.036,0
0,-2.5668e-09,-1.2679e-09,1.3124e-08,7.908e-16,3.0463e-19,3.0739e-20,1,0.038,9,0.038,0
0,-2.5425e-09,-1.2645e-09,1.3427e-08,7.9943e-16,2.9886e-19,3.0156e-20,1,0.04,9,0.04,0
0,-2.5182e-09,-1.2612e-09,1.373e-08,8.0806e-16,2.9309e-19,2.9573e-20,1,0.042,9,0.042,0
0,-2.494e-09,-1.2578e-09,1.4034e-08,8.1668e-16,2.8733e-19,2.899e-20,1,0.044,9,0.044,0
0,-2.4697e-09,-1.2545e-09,1.4337e-08,8.2531e-16,2.8156e-19,2.8408e-20,1,0.046,9,0.046,0
0,-2.4454e-09,-1.2511e-09,1.464e-08,8.3394e-16,2.758e-19,2.7825e-20,1,0.048,9,0.048,0
0,-2.4211e-09,-1.2478e-09,1.4943e-08,8.4257e-16,2.7003e-19,2.7242e-20,1,0.05,9,0.05,0
0,-2.3969e-09,-1.2444e-09,1.5247e-08,8.512e-16,2.6426e-19,2.6659e-20,1,0.052,9,0.052,0
0,-2.3726e-09,-1.241e-09,1.555e-08,8.5983e-16,2.585e-19,2.6076e-20,1,0.054,9,0.054,0
0,-2.3483e-09,-1.2377e-09,1.5853e-08,8.6845e-16,2.5273e-19,2.5494e-20,1,0.056,9,0.056,0
0,-2.324e-09,-1.2343e-09,1.6156e-08,8.7708e-16,2.4697e-19,2.4911e-20,1,0.058,9,0.058,0
0,-2.2998e-09,-1.231e-09,1.646e-08,8.8571e-16,2.412e-19,2.4328e-20,1,0.06,9,0.06,0
