u,v,w,p,s,d,vtkvalidpointmask,arc_length,points0,points1,points2
-3.2449e-18,1.7071e-18,-1.0228e-18,2.5457e-05,-4.5829e-30,-1.8082e-33,1,0,13.5,0,0
0,0,0,2.5446e-05,-3.5828e-30,-1.4141e-33,1,0.02,13.5,0.02,0
0,0,0,2.5435e-05,-2.5828e-30,-1.02e-33,1,0.04,13.5,0.04,0
0,0,0,2.5423e-05,-1.5828e-30,-6.2583e-34,1,0.06,13.5,0.06,0
0,0,0,2.5412e-05,-5.8272e-31,-2.317e-34,1,0.08,13.5,0.08,0
0,0,0,2.54e-05,4.1731e-31,1.6243e-34,1,0.1,13.5,0.1,0
0,0,0,2.5389e-05,1.4173e-30,5.5656e-34,1,0.12,13.5,0.12,0
0,0,0,2.5377e-05,2.4174e-30,9.507e-34,1,0.14,13.5,0.14,0
0,0,0,2.5366e-05,3.4174e-30,1.3448e-33,1,0.16,13.5,0.16,0
0,0,0,2.5355e-05,4.4175e-30,1.739e-33,1,0.18,13.5,0.18,0
0,0,0,2.5343e-05,5.4175e-30,2.1331e-33,1,0.2,13.5,0.2,0
0,0,0,2.5355e-05,5.7313e-30,2.257e-33,1,0.22,13.5,0.22,0
0,0,0,2.5378e-05,5.7055e-30,2.247e-33,1,0.24,13.5,0.24,0
0,0,0,2.5402e-05,5.6797e-30,2.2371e-33,1,0.26,13.5,0.26,0
0,0,0,2.5425e-05,5.6538e-30,2.2272e-33,1,0.28,13.5,0.28,0
0,0,0,2.5456e-05,4.0198e-30,1.5819e-33,1,0.3,13.5,0.3,0
0,0,0,2.5488e-05,2.2525e-30,8.839e-34,1,0.32,13.5,0.32,0
0,0,0,2.552e-05,4.8521e-31,1.859e-34,1,0.34,13.5,0.34,0
0,0,0,2.5552e-05,-1.2821e-30,-5.1209e-34,1,0.36,13.5,0.36,0
0,0,0,2.5584e-05,-3.0494e-30,-1.2101e-33,1,0.38,13.5,0.38,0
0,0,0,2.5616e-05,-4.8167e-30,-1.9081e-33,1,0.4,13.5,0.4,0
0,0,0,2.5648e-05,-6.584e-30,-2.6061e-33,1,0.42,13.5,0.42,0
0,0,0,2.568e-05,-8.3513e-30,-3.3041e-33,1,0.44,13.5,0.44,0
0,0,0,2.5712e-05,-1.0119e-29,-4.0021e-33,1,0.46,13.5,0.46,0
0,0,0,2.5749e-05,-1.1155e-29,-4.4112e-33,1,0.48,13.5,0.48,0
0,0,0,2.5774e-05,-8.9287e-30,-3.5311e-33,1,0.5,13.5,0.5,0
0,0,0,2.5798e-05,-6.7021e-30,-2.651e-33,1,0.52,13.5,0.52,0
0,0,0,2.5823e-05,-4.4755e-30,-1.7709e-33,1,0.54,13.5,0.54,0
0,0,0,2.5847e-05,-2.2489e-30,-8.9074e-34,1,0.56,13.5,0.56,0
0,0,0,2.5872e-05,-2.2352e-32,-1.0618e-35,1,0.58,13.5,0.58,0
0,0,0,2.5896e-05,2.2042e-30,8.6951e-34,1,0.6,13.5,0.6,0
0,0,0,2.5921e-05,4.4308e-30,1.7496e-33,1,0.62,13.5,0.62,0
0,0,0,2.591e-05,4.545e-30,1.7944e-33,1,0.64,13.5,0.64,0
0,0,0,2.5868e-05,2.7627e-30,1.0892e-33,1,0.66,13.5,0.66,0
0,0,0,2.5825e-05,9.8044e-31,3.8392e-34,1,0.68,13.5,0.68,0
0,0,0,2.5783e-05,-8.2361e-31,-3.2993e-34,1,0.7,13.5,0.7,0
0,0,0,2.5764e-05,-7.7403e-31,-3.1005e-34,1,0.72,13.5,0.72,0
0,0,0,2.5745e-05,-7.2445e-31,-2.9017e-34,1,0.74,13.5,0.74,0
0,0,0,2.5726e-05,-6.7487e-31,-2.703e-34,1,0.76,13.5,0.76,0
0,0,0,2.5707e-05,-6.2529e-31,-2.5042e-34,1,0.78,13.5,0.78,0
0,0,0,2.5688e-05,-5.7571e-31,-2.3055e-34,1,0.8,13.5,0.8,0
0,0,0,2.5669e-05,-5.2613e-31,-2.1067e-34,1,0.82,13.5,0.82,0
0,0,0,2.565e-05,-4.7656e-31,-1.9079e-34,1,0.84,13.5,0.84,0
0,0,0,2.5632e-05,-4.2698e-31,-1.7092e-34,1,0.86,13.5,0.86,0
0,0,0,2.5613e-05,-3.774e-31,-1.5104e-34,1,0.88,13.5,0.88,0
0,0,0,2.5594e-05,-3.2782e-31,-1.3116e-34,1,0.9,13.5,0.9,0
0,0,0,2.5575e-05,-2.7824e-31,-1.1129e-34,1,0.92,13.5,0.92,0
0,0,0,2.5556e-05,-2.2866e-31,-9.1411e-35,1,0.94,13.5,0.94,0
0,0,0,2.5543e-05,2.4787e-32,8.9452e-36,1,0.96,13.5,0.96,0
0,0,0,2.553e-05,2.9955e-31,1.1772e-34,1,0.98,13.5,0.98,0
0,0,0,2.5518e-05,1.4909e-31,5.917e-35,1,1,13.5,1,0
