u,v,w,p,s,d,r,vtkValidPointMask,arc_length,Points0,Points1,Points2
0,0,0,0,0,0,0,1,0,4.5,0,0
0,0,0,0,0,0,0,1,0.002,4.5,0.002,0
0,0,0,0,0,0,0,1,0.004,4.5,0.004,0
0,0,0,0,0,0,0,1,0.006,4.5,0.006,0
0,0,0,0,0,0,0,1,0.008,4.5,0.008,0
0,0,0,0,0,0,0,1,0.01,4.5,0.01,0
0,0,0,0,0,0,0,1,0.012,4.5,0.012,0
0,0,0,0,0,0,0,1,0.014,4.5,0.014,0
0,0,0,0,0,0,0,1,0.016,4.5,0.016,0
0,0,0,0,0,0,0,1,0.018,4.5,0.018,0
0,0,0,0,0,0,0,1,0.02,4.5,0.02,0
0,0,0,0,0,0,0,1,0.022,4.5,0.022,0
0,0,0,0,0,0,0,1,0.024,4.5,0.024,0
0,0,0,0,0,0,0,1,0.026,4.5,0.026,0
0,0,0,0,0,0,0,1,0.028,4.5,0.028,0
0,0,0,0,0,0,0,1,0.03,4.5,0.03,0
0,0,0,0,0,0,0,1,0.032,4.5,0.032,0
0,0,0,0,0,0,0,1,0.034,4.5,0.034,0
0,0,0,0,0,0,0,1,0.036,4.5,0.036,0
0,0,0,0,0,0,0,1,0.038,4.5,0.038,0
0,0,0,0,0,0,0,1,0.04,4.5,0.04,0
0,0,0,0,0,0,0,1,0.042,4.5,0.042,0
0,0,0,0,0,0,0,1,0.044,4.5,0.044,0
0,0,0,0,0,0,0,1,0.046,4.5,0.046,0
0,0,0,0,0,0,0,1,0.048,4.5,0.048,0
0,0,0,0,0,0,0,1,0.05,4.5,0.05,0
0,0,0,0,0,0,0,1,0.052,4.5,0.052,0
0,0,0,0,0,0,0,1,0.054,4.5,0.054,0
0,0,0,0,0,0,0,1,0.056,4.5,0.056,0
0,0,0,0,0,0,0,1,0.058,4.5,0.058,0
0,0,0,0,0,0,0,1,0.06,4.5,0.06,0
0,0,0,0,0,0,0,1,0.062,4.5,0.062,0
0,0,0,0,0,0,0,1,0.064,4.5,0.064,0
0,0,0,0,0,0,0,1,0.066,4.5,0.066,0
0,0,0,0,0,0,0,1,0.068,4.5,0.068,0
0,0,0,0,0,0,0,1,0.07,4.5,0.07,0
0,0,0,0,0,0,0,1,0.072,4.5,0.072,0
0,0,0,0,0,0,0,1,0.074,4.5,0.074,0
0,0,0,0,0,0,0,1,0.076,4.5,0.076,0
0,0,0,0,0,0,0,1,0.078,4.5,0.078,0
0,0,0,0,0,0,0,1,0.08,4.5,0.08,0
0,0,0,0,0,0,0,1,0.082,4.5,0.082,0
0,0,0,0,0,0,0,1,0.084,4.5,0.084,0
0,0,0,0,0,0,0,1,0.086,4.5,0.086,0
0,0,0,0,0,0,0,1,0.088,4.5,0.088,0
0,0,0,0,0,0,0,1,0.09,4.5,0.09,0
0,0,0,0,0,0,0,1,0.092,4.5,0.092,0
0,0,0,0,0,0,0,1,0.094,4.5,0.094,0
0,0,0,0,0,0,0,1,0.096,4.5,0.096,0
0,0,0,0,0,0,0,1,0.098,4.5,0.098,0
0,0,0,0,0,0,0,1,0.1,4.5,0.1,0
0,0,0,0,0,0,0,1,0.102,4.5,0.102,0
0,0,0,0,0,0,0,1,0.104,4.5,0.104,0
0,0,0,0,0,0,0,1,0.106,4.5,0.106,0
0,0,0,0,0,0,0,1,0.108,4.5,0.108,0
0,0,0,0,0,0,0,1,0.11,4.5,0.11,0
0,0,0,0,0,0,0,1,0.112,4.5,0.112,0
0,0,0,0,0,0,0,1,0.114,4.5,0.114,0
0,0,0,0,0,0,0,1,0.116,4.5,0.116,0
0,0,0,0,0,0,0,1,0.118,4.5,0.118,0
0,0,0,0,0,0,0,1,0.12,4.5,0.12,0
0,0,0,0,0,0,0,1,0.122,4.5,0.122,0
0,0,0,0,0,0,0,1,0.124,4.5,0.124,0
0,0,0,0,0,0,0,1,0.126,4.5,0.126,0
0,0,0,0,0,0,0,1,0.128,4.5,0.128,0
0,0,0,0,0,0,0,1,0.13,4.5,0.13,0
0,0,0,0,0,0,0,1,0.132,4.5,0.132,0
0,0,0,0,0,0,0,1,0.134,4.5,0.134,0
0,0,0,0,0,0,0,1,0.136,4.5,0.136,0
0,0,0,0,0,0,0,1,0.138,4.5,0.138,0
0,0,0,0,0,0,0,1,0.14,4.5,0.14,0
0,0,0,0,0,0,0,1,0.142,4.5,0.142,0
0,0,0,0,0,0,0,1,0.144,4.5,0.144,0
0,0,0,0,0,0,0,1,0.146,4.5,0.146,0
0,0,0,0,0,0,0,1,0.148,4.5,0.148,0
0,0,0,0,0,0,0,1,0.15,4.5,0.15,0
0,0,0,0,0,0,0,1,0.152,4.5,0.152,0
0,0,0,0,0,0,0,1,0.154,4.5,0.154,0
0,0,0,0,0,0,0,1,0.156,4.5,0.156,0
0,0,0,0,0,0,0,1,0.158,4.5,0.158,0
0,0,0,0,0,0,0,1,0.16,4.5,0.16,0
0,0,0,0,0,0,0,1,0.162,4.5,0.162,0
0,0,0,0,0,0,0,1,0.164,4.5,0.164,0
0,0,0,0,0,0,0,1,0.166,4.5,0.166,0
0,0,0,0,0,0,0,1,0.168,4.5,0.168,0
0,0,0,0,0,0,0,1,0.17,4.5,0.17,0
0,0,0,0,0,0,0,1,0.172,4.5,0.172,0
0,0,0,0,0,0,0,1,0.174,4.5,0.174,0
0,0,0,0,0,0,0,1,0.176,4.5,0.176,0
