"u","v","w","p","s","d","r","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.4259e-19,-5.8244e-10,-4.1556e-10,-3.7399e-09,3.0682e-16,1.23e-19,2.0465e-20,1,0,9,0,0
1.1875e-12,-5.7645e-10,-4.1549e-10,-3.6426e-09,3.1375e-16,1.2242e-19,2.0363e-20,1,0.002,9,0.002,0
2.375e-12,-5.7047e-10,-4.1541e-10,-3.5454e-09,3.2067e-16,1.2184e-19,2.0261e-20,1,0.004,9,0.004,0
0,-5.6799e-10,-4.1097e-10,-3.3908e-09,3.1938e-16,1.1788e-19,1.9611e-20,1,0.006,9,0.006,0
0,-5.6317e-10,-4.0944e-10,-3.2745e-09,3.2357e-16,1.1617e-19,1.9326e-20,1,0.008,9,0.008,0
0,-5.5835e-10,-4.0791e-10,-3.1581e-09,3.2775e-16,1.1446e-19,1.9041e-20,1,0.01,9,0.01,0
0,-5.5353e-10,-4.0638e-10,-3.0418e-09,3.3194e-16,1.1275e-19,1.8756e-20,1,0.012,9,0.012,0
0,-5.4871e-10,-4.0485e-10,-2.9254e-09,3.3613e-16,1.1104e-19,1.8471e-20,1,0.014,9,0.014,0
0,-5.4389e-10,-4.0332e-10,-2.809e-09,3.4031e-16,1.0933e-19,1.8186e-20,1,0.016,9,0.016,0
0,-5.3907e-10,-4.0178e-10,-2.6927e-09,3.445e-16,1.0763e-19,1.7902e-20,1,0.018,9,0.018,0
0,-5.3425e-10,-4.0025e-10,-2.5763e-09,3.4869e-16,1.0592e-19,1.7617e-20,1,0.02,9,0.02,0
0,-5.2943e-10,-3.9872e-10,-2.46e-09,3.5287e-16,1.0421e-19,1.7332e-20,1,0.022,9,0.022,0
0,-5.2462e-10,-3.9719e-10,-2.3436e-09,3.5706e-16,1.025e-19,1.7047e-20,1,0.024,9,0.024,0
0,-5.198e-10,-3.9566e-10,-2.2273e-09,3.6124e-16,1.0079e-19,1.6762e-20,1,0.026,9,0.026,0
0,-5.1498e-10,-3.9413e-10,-2.1109e-09,3.6543e-16,9.9084e-20,1.6477e-20,1,0.028,9,0.028,0
0,-5.1016e-10,-3.926e-10,-1.9945e-09,3.6962e-16,9.7376e-20,1.6193e-20,1,0.03,9,0.03,0
0,-5.0534e-10,-3.9107e-10,-1.8782e-09,3.738e-16,9.5668e-20,1.5908e-20,1,0.032,9,0.032,0
0,-5.0052e-10,-3.8954e-10,-1.7618e-09,3.7799e-16,9.3959e-20,1.5623e-20,1,0.034,9,0.034,0
0,-4.957e-10,-3.8801e-10,-1.6455e-09,3.8218e-16,9.2251e-20,1.5338e-20,1,0.036,9,0.036,0
0,-4.9088e-10,-3.8648e-10,-1.5291e-09,3.8636e-16,9.0543e-20,1.5053e-20,1,0.038,9,0.038,0
0,-4.8607e-10,-3.8494e-10,-1.4128e-09,3.9055e-16,8.8834e-20,1.4768e-20,1,0.04,9,0.04,0
0,-4.8125e-10,-3.8341e-10,-1.2964e-09,3.9473e-16,8.7126e-20,1.4483e-20,1,0.042,9,0.042,0
0,-4.7643e-10,-3.8188e-10,-1.1801e-09,3.9892e-16,8.5418e-20,1.4199e-20,1,0.044,9,0.044,0
0,-4.7161e-10,-3.8035e-10,-1.0637e-09,4.0311e-16,8.3709e-20,1.3914e-20,1,0.046,9,0.046,0
0,-4.6679e-10,-3.7882e-10,-9.4734e-10,4.0729e-16,8.2001e-20,1.3629e-20,1,0.048,9,0.048,0
0,-4.6197e-10,-3.7729e-10,-8.3098e-10,4.1148e-16,8.0293e-20,1.3344e-20,1,0.05,9,0.05,0
0,-4.5715e-10,-3.7576e-10,-7.1463e-10,4.1567e-16,7.8585e-20,1.3059e-20,1,0.052,9,0.052,0
0,-4.5233e-10,-3.7423e-10,-5.9827e-10,4.1985e-16,7.6876e-20,1.2774e-20,1,0.054,9,0.054,0
0,-4.4752e-10,-3.727e-10,-4.8191e-10,4.2404e-16,7.5168e-20,1.249e-20,1,0.056,9,0.056,0
0,-4.427e-10,-3.7117e-10,-3.6556e-10,4.2822e-16,7.346e-20,1.2205e-20,1,0.058,9,0.058,0
0,-4.3788e-10,-3.6964e-10,-2.492e-10,4.3241e-16,7.1751e-20,1.192e-20,1,0.06,9,0.06,0
0,-4.3306e-10,-3.681e-10,-1.3285e-10,4.366e-16,7.0043e-20,1.1635e-20,1,0.062,9,0.062,0
0,-4.2824e-10,-3.6657e-10,-1.6488e-11,4.4078e-16,6.8335e-20,1.135e-20,1,0.064,9,0.064,0
0,-4.2342e-10,-3.6504e-10,9.9868e-11,4.4497e-16,6.6626e-20,1.1065e-20,1,0.066,9,0.066,0
0,-4.186e-10,-3.6351e-10,2.1622e-10,4.4916e-16,6.4918e-20,1.0781e-20,1,0.068,9,0.068,0
0,-4.1378e-10,-3.6198e-10,3.3258e-10,4.5334e-16,6.321e-20,1.0496e-20,1,0.07,9,0.07,0
0,-4.0896e-10,-3.6045e-10,4.4894e-10,4.5753e-16,6.1501e-20,1.0211e-20,1,0.072,9,0.072,0
0,-4.0415e-10,-3.5892e-10,5.6529e-10,4.6171e-16,5.9793e-20,9.926e-21,1,0.074,9,0.074,0
0,-3.9933e-10,-3.5739e-10,6.8165e-10,4.659e-16,5.8085e-20,9.6412e-21,1,0.076,9,0.076,0
0,-3.9451e-10,-3.5586e-10,7.9801e-10,4.7009e-16,5.6376e-20,9.3563e-21,1,0.078,9,0.078,0
0,-3.8969e-10,-3.5433e-10,9.1436e-10,4.7427e-16,5.4668e-20,9.0715e-21,1,0.08,9,0.08,0
0,-3.8487e-10,-3.528e-10,1.0307e-09,4.7846e-16,5.296e-20,8.7867e-21,1,0.082,9,0.082,0
0,-3.8005e-10,-3.5126e-10,1.1471e-09,4.8265e-16,5.1251e-20,8.5018e-21,1,0.084,9,0.084,0
0,-3.7523e-10,-3.4973e-10,1.2634e-09,4.8683e-16,4.9543e-20,8.217e-21,1,0.086,9,0.086,0
0,-3.7041e-10,-3.482e-10,1.3798e-09,4.9102e-16,4.7835e-20,7.9321e-21,1,0.088,9,0.088,0
0,-3.656e-10,-3.4667e-10,1.4961e-09,4.952e-16,4.6127e-20,7.6473e-21,1,0.09,9,0.09,0
0,-3.6078e-10,-3.4514e-10,1.6125e-09,4.9939e-16,4.4418e-20,7.3625e-21,1,0.092,9,0.092,0
0,-3.5596e-10,-3.4361e-10,1.7289e-09,5.0358e-16,4.271e-20,7.0776e-21,1,0.094,9,0.094,0
0,-3.5114e-10,-3.4208e-10,1.8452e-09,5.0776e-16,4.1002e-20,6.7928e-21,1,0.096,9,0.096,0
0,-3.4632e-10,-3.4055e-10,1.9616e-09,5.1195e-16,3.9293e-20,6.5079e-21,1,0.098,9,0.098,0
0,-3.415e-10,-3.3902e-10,2.0779e-09,5.1614e-16,3.7585e-20,6.2231e-21,1,0.1,9,0.1,0
0,-3.3668e-10,-3.3749e-10,2.1943e-09,5.2032e-16,3.5877e-20,5.9383e-21,1,0.102,9,0.102,0
0,-3.3186e-10,-3.3596e-10,2.3106e-09,5.2451e-16,3.4168e-20,5.6534e-21,1,0.104,9,0.104,0
0,-3.2705e-10,-3.3442e-10,2.427e-09,5.2869e-16,3.246e-20,5.3686e-21,1,0.106,9,0.106,0
0,-3.2223e-10,-3.3289e-10,2.5434e-09,5.3288e-16,3.0752e-20,5.0837e-21,1,0.108,9,0.108,0
0,-3.1741e-10,-3.3136e-10,2.6597e-09,5.3707e-16,2.9043e-20,4.7989e-21,1,0.11,9,0.11,0
0,-3.1259e-10,-3.2983e-10,2.7761e-09,5.4125e-16,2.7335e-20,4.5141e-21,1,0.112,9,0.112,0
0,-3.0777e-10,-3.283e-10,2.8924e-09,5.4544e-16,2.5627e-20,4.2292e-21,1,0.114,9,0.114,0
0,-3.0295e-10,-3.2677e-10,3.0088e-09,5.4963e-16,2.3918e-20,3.9444e-21,1,0.116,9,0.116,0
0,-2.9813e-10,-3.2524e-10,3.1251e-09,5.5381e-16,2.221e-20,3.6595e-21,1,0.118,9,0.118,0
0,-2.9331e-10,-3.2371e-10,3.2415e-09,5.58e-16,2.0502e-20,3.3747e-21,1,0.12,9,0.12,0
0,-2.8849e-10,-3.2218e-10,3.3578e-09,5.6218e-16,1.8794e-20,3.0899e-21,1,0.122,9,0.122,0
0,-2.8368e-10,-3.2065e-10,3.4742e-09,5.6637e-16,1.7085e-20,2.805e-21,1,0.124,9,0.124,0
0,-2.7886e-10,-3.1911e-10,3.5906e-09,5.7056e-16,1.5377e-20,2.5202e-21,1,0.126,9,0.126,0
0,-2.7404e-10,-3.1758e-10,3.7069e-09,5.7474e-16,1.3669e-20,2.2353e-21,1,0.128,9,0.128,0
0,-2.6922e-10,-3.1605e-10,3.8233e-09,5.7893e-16,1.196e-20,1.9505e-21,1,0.13,9,0.13,0
0,-2.644e-10,-3.1452e-10,3.9396e-09,5.8312e-16,1.0252e-20,1.6657e-21,1,0.132,9,0.132,0
0,-2.5958e-10,-3.1299e-10,4.056e-09,5.873e-16,8.5437e-21,1.3808e-21,1,0.134,9,0.134,0
0,-2.5476e-10,-3.1146e-10,4.1723e-09,5.9149e-16,6.8353e-21,1.096e-21,1,0.136,9,0.136,0
0,-2.4994e-10,-3.0993e-10,4.2887e-09,5.9567e-16,5.127e-21,8.1114e-22,1,0.138,9,0.138,0
0,-2.4513e-10,-3.084e-10,4.4051e-09,5.9986e-16,3.4187e-21,5.263e-22,1,0.14,9,0.14,0
0,-2.4031e-10,-3.0687e-10,4.5214e-09,6.0405e-16,1.7104e-21,2.4146e-22,1,0.142,9,0.142,0
0,-2.3549e-10,-3.0534e-10,4.6378e-09,6.0823e-16,2.1014e-24,-4.338e-23,1,0.144,9,0.144,0
0,-2.3067e-10,-3.0381e-10,4.7541e-09,6.1242e-16,-1.7062e-21,-3.2822e-22,1,0.146,9,0.146,0
0,-2.2585e-10,-3.0227e-10,4.8705e-09,6.1661e-16,-3.4145e-21,-6.1306e-22,1,0.148,9,0.148,0
0,-2.2103e-10,-3.0074e-10,4.9868e-09,6.2079e-16,-5.1228e-21,-8.979e-22,1,0.15,9,0.15,0
0,-2.1621e-10,-2.9921e-10,5.1032e-09,6.2498e-16,-6.8312e-21,-1.1827e-21,1,0.152,9,0.152,0
