u,v,w,p,s,d,vtkvalidpointmask,arc_length,points0,points1,points2
0,0,0,0.048032,5.1759e-12,1.0352e-15,1,0,4.5,0,0
0,0,0,0.048063,5.4589e-12,1.0918e-15,1,0.02,4.5,0.02,0
0,0,0,0.048095,5.7418e-12,1.1484e-15,1,0.04,4.5,0.04,0
0,0,0,0.048127,6.0247e-12,1.2049e-15,1,0.06,4.5,0.06,0
0,0,0,0.048159,6.3077e-12,1.2615e-15,1,0.08,4.5,0.08,0
0,0,0,0.048191,6.5906e-12,1.3181e-15,1,0.1,4.5,0.1,0
0,0,0,0.048223,6.8735e-12,1.3747e-15,1,0.12,4.5,0.12,0
0,0,0,0.048255,7.1565e-12,1.4313e-15,1,0.14,4.5,0.14,0
0,0,0,0.048287,7.4394e-12,1.4879e-15,1,0.16,4.5,0.16,0
0,0,0,0.048319,7.7224e-12,1.5445e-15,1,0.18,4.5,0.18,0
0,0,0,0.048351,8.0053e-12,1.6011e-15,1,0.2,4.5,0.2,0
0,0,0,0.048345,7.1284e-12,1.4257e-15,1,0.22,4.5,0.22,0
0,0,0,0.04833,6.0117e-12,1.2023e-15,1,0.24,4.5,0.24,0
0,0,0,0.048315,4.8949e-12,9.7898e-16,1,0.26,4.5,0.26,0
0,0,0,0.0483,3.7781e-12,7.5563e-16,1,0.28,4.5,0.28,0
0,0,0,0.048286,2.6614e-12,5.3227e-16,1,0.3,4.5,0.3,0
0,0,0,0.048303,2.4015e-12,4.803e-16,1,0.32,4.5,0.32,0
0,0,0,0.048326,2.311e-12,4.622e-16,1,0.34,4.5,0.34,0
0,0,0,0.048349,2.2205e-12,4.441e-16,1,0.36,4.5,0.36,0
0,0,0,0.048373,2.13e-12,4.2601e-16,1,0.38,4.5,0.38,0
0,0,0,0.048396,2.0395e-12,4.0791e-16,1,0.4,4.5,0.4,0
0,0,0,0.048419,1.9491e-12,3.8981e-16,1,0.42,4.5,0.42,0
0,0,0,0.048442,1.8586e-12,3.7172e-16,1,0.44,4.5,0.44,0
0,0,0,0.048466,1.7681e-12,3.5362e-16,1,0.46,4.5,0.46,0
0,0,0,0.048489,1.6776e-12,3.3552e-16,1,0.48,4.5,0.48,0
0,0,0,0.048523,2.1981e-12,4.3962e-16,1,0.5,4.5,0.5,0
-5.2819e-20,1.0659e-21,-1.0481e-20,0.048546,2.8908e-12,5.7815e-16,1,0.52,4.5,0.52,0
9.2433e-20,-1.8653e-21,1.8342e-20,0.048521,2.7227e-12,5.4454e-16,1,0.54,4.5,0.54,0
5.2819e-20,-1.0659e-21,1.0481e-20,0.04848,2.0504e-12,4.1009e-16,1,0.56,4.5,0.56,0
7.9228e-20,-1.5989e-21,1.5721e-20,0.048439,1.3782e-12,2.7563e-16,1,0.58,4.5,0.58,0
7.9228e-20,-1.5989e-21,1.5721e-20,0.048398,7.0587e-13,1.4117e-16,1,0.6,4.5,0.6,0
0,0,0,0.048357,3.3595e-14,6.7191e-18,1,0.62,4.5,0.62,0
-5.2819e-20,1.0659e-21,-1.0481e-20,0.048315,-6.3868e-13,-1.2774e-16,1,0.64,4.5,0.64,0
5.2819e-20,-1.0659e-21,1.0481e-20,0.048274,-1.311e-12,-2.6219e-16,1,0.66,4.5,0.66,0
0,0,0,0.048233,-1.9832e-12,-3.9665e-16,1,0.68,4.5,0.68,0
-1.0564e-19,2.1318e-21,-2.0962e-20,0.048192,-2.6555e-12,-5.311e-16,1,0.7,4.5,0.7,0
-6.214e-20,4.1186e-22,-9.9547e-21,0.048153,-2.8631e-12,-5.7263e-16,1,0.72,4.5,0.72,0
-5.5236e-20,3.661e-22,-8.8486e-21,0.048119,-1.2549e-12,-2.5098e-16,1,0.74,4.5,0.74,0
0,0,0,0.048098,-1.8647e-13,-3.7293e-17,1,0.76,4.5,0.76,0
0,0,0,0.048098,-8.5081e-14,-1.7016e-17,1,0.78,4.5,0.78,0
0,0,0,0.048098,1.6305e-14,3.2611e-18,1,0.8,4.5,0.8,0
0,0,0,0.048098,1.1769e-13,2.3538e-17,1,0.82,4.5,0.82,0
0,0,0,0.048098,2.1908e-13,4.3815e-17,1,0.84,4.5,0.84,0
0,0,0,0.048099,3.2046e-13,6.4093e-17,1,0.86,4.5,0.86,0
0,0,0,0.048081,4.6014e-13,9.2029e-17,1,0.88,4.5,0.88,0
0,0,0,0.048061,6.0586e-13,1.2117e-16,1,0.9,4.5,0.9,0
0,0,0,0.04804,7.5157e-13,1.5031e-16,1,0.92,4.5,0.92,0
0,0,0,0.04802,8.9728e-13,1.7946e-16,1,0.94,4.5,0.94,0
0,0,0,0.047999,1.043e-12,2.086e-16,1,0.96,4.5,0.96,0
0,0,0,0.047979,1.1887e-12,2.3774e-16,1,0.98,4.5,0.98,0
0,0,0,0.047988,1.7425e-12,3.4851e-16,1,1,4.5,1,0
0,0,0,0.048,2.3293e-12,4.6586e-16,1,1.02,4.5,1.02,0
-3.399e-20,2.3521e-22,-5.153e-21,0.047996,2.3094e-12,4.6189e-16,1,1.04,4.5,1.04,0
-1.0575e-19,7.3177e-22,-1.6032e-20,0.047982,1.8702e-12,3.7405e-16,1,1.06,4.5,1.06,0
-3.0213e-20,2.0908e-22,-4.5805e-21,0.047968,1.431e-12,2.8621e-16,1,1.08,4.5,1.08,0
-6.0427e-20,4.1815e-22,-9.1609e-21,0.047954,9.9182e-13,1.9836e-16,1,1.1,4.5,1.1,0
-9.064e-20,6.2723e-22,-1.3741e-20,0.047941,5.5261e-13,1.1052e-16,1,1.12,4.5,1.12,0
-6.0427e-20,4.1815e-22,-9.1609e-21,0.047927,1.1341e-13,2.2682e-17,1,1.14,4.5,1.14,0
-6.0427e-20,4.1815e-22,-9.1609e-21,0.047913,-3.258e-13,-6.5159e-17,1,1.16,4.5,1.16,0
-6.0427e-20,4.1815e-22,-9.1609e-21,0.047899,-7.65e-13,-1.53e-16,1,1.18,4.5,1.18,0
0,0,0,0.047886,-9.9762e-13,-1.9952e-16,1,1.2,4.5,1.2,0
0,0,0,0.047878,8.5011e-14,1.7002e-17,1,1.22,4.5,1.22,0
-5.4382e-20,1.7802e-22,-9.4964e-21,0.047873,7.9945e-13,1.5989e-16,1,1.24,4.5,1.24,0
0,0,0,0.047874,9.6978e-13,1.9396e-16,1,1.26,4.5,1.26,0
0,0,0,0.047874,1.1401e-12,2.2802e-16,1,1.28,4.5,1.28,0
5.4382e-20,-1.7802e-22,9.4964e-21,0.047875,1.3104e-12,2.6209e-16,1,1.3,4.5,1.3,0
2.7191e-20,-8.9012e-23,4.7482e-21,0.047875,1.4808e-12,2.9615e-16,1,1.32,4.5,1.32,0
-5.4382e-20,1.7802e-22,-9.4964e-21,0.047876,1.6511e-12,3.3022e-16,1,1.34,4.5,1.34,0
-2.7191e-20,8.9012e-23,-4.7482e-21,0.047876,1.8214e-12,3.6428e-16,1,1.36,4.5,1.36,0
1.3596e-20,-4.4506e-23,2.3741e-21,0.047877,1.9917e-12,3.9835e-16,1,1.38,4.5,1.38,0
-6.7978e-20,2.2253e-22,-1.187e-20,0.047877,2.1621e-12,4.3241e-16,1,1.4,4.5,1.4,0
