u,v,w,p,s,d,vtkvalidpointmask,arc_length,points0,points1,points2
0,0,0,0.038647,1.6918e-11,6.5832e-15,1,0,4.5,0,0
0,0,0,0.038678,1.7748e-11,6.9174e-15,1,0.02,4.5,0.02,0
0,0,0,0.038709,1.8578e-11,7.2517e-15,1,0.04,4.5,0.04,0
0,0,0,0.03874,1.9408e-11,7.5859e-15,1,0.06,4.5,0.06,0
0,0,0,0.038771,2.0238e-11,7.9201e-15,1,0.08,4.5,0.08,0
0,0,0,0.038803,2.1068e-11,8.2544e-15,1,0.1,4.5,0.1,0
0,0,0,0.038834,2.1898e-11,8.5886e-15,1,0.12,4.5,0.12,0
0,0,0,0.038865,2.2728e-11,8.9228e-15,1,0.14,4.5,0.14,0
0,0,0,0.038896,2.3558e-11,9.2571e-15,1,0.16,4.5,0.16,0
0,0,0,0.038927,2.4388e-11,9.5913e-15,1,0.18,4.5,0.18,0
0,0,0,0.038958,2.5218e-11,9.9255e-15,1,0.2,4.5,0.2,0
0,0,0,0.038968,2.2375e-11,8.8166e-15,1,0.22,4.5,0.22,0
0,0,0,0.038975,1.8773e-11,7.4092e-15,1,0.24,4.5,0.24,0
0,0,0,0.038981,1.517e-11,6.0018e-15,1,0.26,4.5,0.26,0
0,0,0,0.038987,1.1568e-11,4.5944e-15,1,0.28,4.5,0.28,0
0,0,0,0.038994,7.9658e-12,3.187e-15,1,0.3,4.5,0.3,0
0,0,0,0.038988,7.1751e-12,2.8723e-15,1,0.32,4.5,0.32,0
0,0,0,0.03898,6.9402e-12,2.7736e-15,1,0.34,4.5,0.34,0
0,0,0,0.038971,6.7054e-12,2.6749e-15,1,0.36,4.5,0.36,0
0,0,0,0.038963,6.4706e-12,2.5762e-15,1,0.38,4.5,0.38,0
0,0,0,0.038955,6.2357e-12,2.4775e-15,1,0.4,4.5,0.4,0
0,0,0,0.038947,6.0009e-12,2.3787e-15,1,0.42,4.5,0.42,0
0,0,0,0.038939,5.766e-12,2.28e-15,1,0.44,4.5,0.44,0
0,0,0,0.03893,5.5312e-12,2.1813e-15,1,0.46,4.5,0.46,0
0,0,0,0.038922,5.2963e-12,2.0826e-15,1,0.48,4.5,0.48,0
0,0,0,0.038941,6.9549e-12,2.7331e-15,1,0.5,4.5,0.5,0
-1.4407e-19,2.5824e-21,-1.8986e-20,0.038959,9.1445e-12,3.5939e-15,1,0.52,4.5,0.52,0
2.5213e-19,-4.5192e-21,3.3225e-20,0.03894,8.5837e-12,3.3772e-15,1,0.54,4.5,0.54,0
1.4407e-19,-2.5824e-21,1.8986e-20,0.038917,6.3799e-12,2.5206e-15,1,0.56,4.5,0.56,0
2.1611e-19,-3.8736e-21,2.8479e-20,0.038895,4.1762e-12,1.6641e-15,1,0.58,4.5,0.58,0
2.1611e-19,-3.8736e-21,2.8479e-20,0.038873,1.9725e-12,8.0757e-16,1,0.6,4.5,0.6,0
0,0,0,0.038851,-2.3125e-13,-4.8961e-17,1,0.62,4.5,0.62,0
-1.4407e-19,2.5824e-21,-1.8986e-20,0.038828,-2.435e-12,-9.0549e-16,1,0.64,4.5,0.64,0
1.4407e-19,-2.5824e-21,1.8986e-20,0.038806,-4.6387e-12,-1.762e-15,1,0.66,4.5,0.66,0
0,0,0,0.038784,-6.8424e-12,-2.6186e-15,1,0.68,4.5,0.68,0
-2.8815e-19,5.1648e-21,-3.7972e-20,0.038762,-9.0462e-12,-3.4751e-15,1,0.7,4.5,0.7,0
-1.6809e-19,3.0544e-21,-1.738e-20,0.038738,-9.7381e-12,-3.7426e-15,1,0.72,4.5,0.72,0
-1.4941e-19,2.715e-21,-1.5449e-20,0.038708,-4.522e-12,-1.7082e-15,1,0.74,4.5,0.74,0
0,0,0,0.038691,-1.1288e-12,-3.7599e-16,1,0.76,4.5,0.76,0
0,0,0,0.038699,-1.0011e-12,-3.0152e-16,1,0.78,4.5,0.78,0
0,0,0,0.038706,-8.7342e-13,-2.2705e-16,1,0.8,4.5,0.8,0
0,0,0,0.038714,-7.4571e-13,-1.5258e-16,1,0.82,4.5,0.82,0
0,0,0,0.038722,-6.1799e-13,-7.8111e-17,1,0.84,4.5,0.84,0
0,0,0,0.038729,-4.9028e-13,-3.6406e-18,1,0.86,4.5,0.86,0
0,0,0,0.038713,9.4469e-14,2.0829e-16,1,0.88,4.5,0.88,0
0,0,0,0.038694,7.512e-13,4.4187e-16,1,0.9,4.5,0.9,0
0,0,0,0.038674,1.4079e-12,6.7545e-16,1,0.92,4.5,0.92,0
0,0,0,0.038654,2.0647e-12,9.0903e-16,1,0.94,4.5,0.94,0
0,0,0,0.038635,2.7214e-12,1.1426e-15,1,0.96,4.5,0.96,0
0,0,0,0.038615,3.3781e-12,1.3762e-15,1,0.98,4.5,0.98,0
0,0,0,0.038616,5.3472e-12,2.123e-15,1,1,4.5,1,0
0,0,0,0.03862,7.4222e-12,2.9112e-15,1,1.02,4.5,1.02,0
-9.2281e-20,1.0534e-21,-9.4314e-21,0.03862,7.4237e-12,2.9037e-15,1,1.04,4.5,1.04,0
-2.871e-19,3.2774e-21,-2.9342e-20,0.03862,5.9917e-12,2.3461e-15,1,1.06,4.5,1.06,0
-8.2027e-20,9.3639e-22,-8.3834e-21,0.038619,4.5597e-12,1.7884e-15,1,1.08,4.5,1.08,0
-1.6405e-19,1.8728e-21,-1.6767e-20,0.038618,3.1277e-12,1.2308e-15,1,1.1,4.5,1.1,0
-2.4608e-19,2.8092e-21,-2.515e-20,0.038617,1.6958e-12,6.7322e-16,1,1.12,4.5,1.12,0
-1.6405e-19,1.8728e-21,-1.6767e-20,0.038616,2.6378e-13,1.1561e-16,1,1.14,4.5,1.14,0
-1.6405e-19,1.8728e-21,-1.6767e-20,0.038615,-1.1682e-12,-4.4201e-16,1,1.16,4.5,1.16,0
-1.6405e-19,1.8728e-21,-1.6767e-20,0.038615,-2.6002e-12,-9.9962e-16,1,1.18,4.5,1.18,0
0,0,0,0.038614,-3.3543e-12,-1.2938e-15,1,1.2,4.5,1.2,0
0,0,0,0.03861,2.0717e-13,8.9192e-17,1,1.22,4.5,1.22,0
-1.4889e-19,6.5663e-23,-1.6943e-20,0.038603,2.5939e-12,1.0116e-15,1,1.24,4.5,1.24,0
0,0,0,0.038589,3.2445e-12,1.2532e-15,1,1.26,4.5,1.26,0
0,0,0,0.038575,3.8952e-12,1.4949e-15,1,1.28,4.5,1.28,0
1.4889e-19,-6.5663e-23,1.6943e-20,0.038561,4.5458e-12,1.7366e-15,1,1.3,4.5,1.3,0
7.4445e-20,-3.2832e-23,8.4713e-21,0.038547,5.1965e-12,1.9783e-15,1,1.32,4.5,1.32,0
-1.4889e-19,6.5663e-23,-1.6943e-20,0.038533,5.8471e-12,2.22e-15,1,1.34,4.5,1.34,0
-7.4445e-20,3.2832e-23,-8.4713e-21,0.03852,6.4977e-12,2.4616e-15,1,1.36,4.5,1.36,0
3.7223e-20,-1.6416e-23,4.2356e-21,0.038506,7.1484e-12,2.7033e-15,1,1.38,4.5,1.38,0
-1.8611e-19,8.2079e-23,-2.1178e-20,0.038492,7.799e-12,2.945e-15,1,1.4,4.5,1.4,0
9.3057e-20,-4.1039e-23,1.0589e-20,0.038478,8.4497e-12,3.1867e-15,1,1.42,4.5,1.42,0
0,0,0,0.038475,8.4981e-12,3.2019e-15,1,1.44,4.5,1.44,0
0,0,0,0.038479,7.627e-12,2.8763e-15,1,1.46,4.5,1.46,0
0,0,0,0.038488,6.7155e-12,2.5357e-15,1,1.48,4.5,1.48,0
0,0,0,0.0385,5.7868e-12,2.1888e-15,1,1.5,4.5,1.5,0
0,0,0,0.038512,4.8581e-12,1.8418e-15,1,1.52,4.5,1.52,0
0,0,0,0.038524,3.9294e-12,1.4948e-15,1,1.54,4.5,1.54,0
0,0,0,0.038537,3.0007e-12,1.1479e-15,1,1.56,4.5,1.56,0
0,0,0,0.038549,2.0719e-12,8.0091e-16,1,1.58,4.5,1.58,0
0,0,0,0.038561,1.1432e-12,4.5394e-16,1,1.6,4.5,1.6,0
-9.6239e-08,3.5436e-09,-9.3309e-10,0.038573,2.1217e-13,1.0434e-16,1,1.62,4.5,1.62,0
0,0,0,0.038584,3.7822e-13,1.7079e-16,1,1.64,4.5,1.64,0
0,0,0,0.03862,1.4074e-13,7.0641e-17,1,1.66,4.5,1.66,0
0,0,0,0.038658,-1.0548e-13,-3.3069e-17,1,1.68,4.5,1.68,0
0,0,0,0.038695,-3.517e-13,-1.3678e-16,1,1.7,4.5,1.7,0
0,0,0,0.038732,-5.9791e-13,-2.4049e-16,1,1.72,4.5,1.72,0
0,0,0,0.038769,-8.4413e-13,-3.442e-16,1,1.74,4.5,1.74,0
0,0,0,0.038806,-1.0903e-12,-4.4791e-16,1,1.76,4.5,1.76,0
0,0,0,0.038843,-1.3366e-12,-5.5162e-16,1,1.78,4.5,1.78,0
2.2641e-20,0,1.4408e-21,0.03883,-1.2551e-12,-5.1635e-16,1,1.8,4.5,1.8,0
0,0,0,0.038794,-1.0288e-12,-4.1966e-16,1,1.82,4.5,1.82,0
-9.0564e-20,0,-5.7634e-21,0.038758,-8.025e-13,-3.2297e-16,1,1.84,4.5,1.84,0
0,0,0,0.038722,-5.7622e-13,-2.2628e-16,1,1.86,4.5,1.86,0
-1.8113e-19,0,-1.1527e-20,0.038686,-3.4993e-13,-1.296e-16,1,1.88,4.5,1.88,0
-1.8113e-19,0,-1.1527e-20,0.03865,-1.2365e-13,-3.2908e-17,1,1.9,4.5,1.9,0
0,0,0,0.038615,1.0264e-13,6.3779e-17,1,1.92,4.5,1.92,0
1.8113e-19,0,1.1527e-20,0.038579,3.2893e-13,1.6047e-16,1,1.94,4.5,1.94,0
1.8113e-19,0,1.1527e-20,0.038543,5.5521e-13,2.5715e-16,1,1.96,4.5,1.96,0
0,0,0,0.038507,7.815e-13,3.5384e-16,1,1.98,4.5,1.98,0
0,0,0,0.038471,1.0078e-12,4.5053e-16,1,2,4.5,2,0
