u,v,w,p,s,d,r,vtkValidPointMask,arc_length,Points0,Points1,Points2
0,0,0,0,0,0,0,1,0,13.5,0,0
0,0,0,0,0,0,0,1,0.002,13.5,0.002,0
0,0,0,0,0,0,0,1,0.004,13.5,0.004,0
0,0,0,0,0,0,0,1,0.006,13.5,0.006,0
0,0,0,0,0,0,0,1,0.008,13.5,0.008,0
0,0,0,0,0,0,0,1,0.01,13.5,0.01,0
0,0,0,0,0,0,0,1,0.012,13.5,0.012,0
0,0,0,0,0,0,0,1,0.014,13.5,0.014,0
0,0,0,0,0,0,0,1,0.016,13.5,0.016,0
0,0,0,0,0,0,0,1,0.018,13.5,0.018,0
0,0,0,0,0,0,0,1,0.02,13.5,0.02,0
0,0,0,0,0,0,0,1,0.022,13.5,0.022,0
0,0,0,0,0,0,0,1,0.024,13.5,0.024,0
0,0,0,0,0,0,0,1,0.026,13.5,0.026,0
0,0,0,0,0,0,0,1,0.028,13.5,0.028,0
0,0,0,0,0,0,0,1,0.03,13.5,0.03,0
0,0,0,0,0,0,0,1,0.032,13.5,0.032,0
0,0,0,0,0,0,0,1,0.034,13.5,0.034,0
0,0,0,0,0,0,0,1,0.036,13.5,0.036,0
0,0,0,0,0,0,0,1,0.038,13.5,0.038,0
0,0,0,0,0,0,0,1,0.04,13.5,0.04,0
0,0,0,0,0,0,0,1,0.042,13.5,0.042,0
0,0,0,0,0,0,0,1,0.044,13.5,0.044,0
0,0,0,0,0,0,0,1,0.046,13.5,0.046,0
0,0,0,0,0,0,0,1,0.048,13.5,0.048,0
0,0,0,0,0,0,0,1,0.05,13.5,0.05,0
0,0,0,0,0,0,0,1,0.052,13.5,0.052,0
0,0,0,0,0,0,0,1,0.054,13.5,0.054,0
0,0,0,0,0,0,0,1,0.056,13.5,0.056,0
0,0,0,0,0,0,0,1,0.058,13.5,0.058,0
0,0,0,0,0,0,0,1,0.06,13.5,0.06,0
0,0,0,0,0,0,0,1,0.062,13.5,0.062,0
0,0,0,0,0,0,0,1,0.064,13.5,0.064,0
0,0,0,0,0,0,0,1,0.066,13.5,0.066,0
0,0,0,0,0,0,0,1,0.068,13.5,0.068,0
0,0,0,0,0,0,0,1,0.07,13.5,0.07,0
0,0,0,0,0,0,0,1,0.072,13.5,0.072,0
0,0,0,0,0,0,0,1,0.074,13.5,0.074,0
0,0,0,0,0,0,0,1,0.076,13.5,0.076,0
0,0,0,0,0,0,0,1,0.078,13.5,0.078,0
0,0,0,0,0,0,0,1,0.08,13.5,0.08,0
0,0,0,0,0,0,0,1,0.082,13.5,0.082,0
0,0,0,0,0,0,0,1,0.084,13.5,0.084,0
0,0,0,0,0,0,0,1,0.086,13.5,0.086,0
0,0,0,0,0,0,0,1,0.088,13.5,0.088,0
0,0,0,0,0,0,0,1,0.09,13.5,0.09,0
0,0,0,0,0,0,0,1,0.092,13.5,0.092,0
0,0,0,0,0,0,0,1,0.094,13.5,0.094,0
0,0,0,0,0,0,0,1,0.096,13.5,0.096,0
0,0,0,0,0,0,0,1,0.098,13.5,0.098,0
0,0,0,0,0,0,0,1,0.1,13.5,0.1,0
0,0,0,0,0,0,0,1,0.102,13.5,0.102,0
0,0,0,0,0,0,0,1,0.104,13.5,0.104,0
0,0,0,0,0,0,0,1,0.106,13.5,0.106,0
0,0,0,0,0,0,0,1,0.108,13.5,0.108,0
0,0,0,0,0,0,0,1,0.11,13.5,0.11,0
0,0,0,0,0,0,0,1,0.112,13.5,0.112,0
0,0,0,0,0,0,0,1,0.114,13.5,0.114,0
0,0,0,0,0,0,0,1,0.116,13.5,0.116,0
0,0,0,0,0,0,0,1,0.118,13.5,0.118,0
0,0,0,0,0,0,0,1,0.12,13.5,0.12,0
0,0,0,0,0,0,0,1,0.122,13.5,0.122,0
0,0,0,0,0,0,0,1,0.124,13.5,0.124,0
0,0,0,0,0,0,0,1,0.126,13.5,0.126,0
0,0,0,0,0,0,0,1,0.128,13.5,0.128,0
0,0,0,0,0,0,0,1,0.13,13.5,0.13,0
0,0,0,0,0,0,0,1,0.132,13.5,0.132,0
0,0,0,0,0,0,0,1,0.134,13.5,0.134,0
0,0,0,0,0,0,0,1,0.136,13.5,0.136,0
0,0,0,0,0,0,0,1,0.138,13.5,0.138,0
0,0,0,0,0,0,0,1,0.14,13.5,0.14,0
0,0,0,0,0,0,0,1,0.142,13.5,0.142,0
0,0,0,0,0,0,0,1,0.144,13.5,0.144,0
0,0,0,0,0,0,0,1,0.146,13.5,0.146,0
0,0,0,0,0,0,0,1,0.148,13.5,0.148,0
0,0,0,0,0,0,0,1,0.15,13.5,0.15,0
0,0,0,0,0,0,0,1,0.152,13.5,0.152,0
0,0,0,0,0,0,0,1,0.154,13.5,0.154,0
0,0,0,0,0,0,0,1,0.156,13.5,0.156,0
0,0,0,0,0,0,0,1,0.158,13.5,0.158,0
0,0,0,0,0,0,0,1,0.16,13.5,0.16,0
0,0,0,0,0,0,0,1,0.162,13.5,0.162,0
0,0,0,0,0,0,0,1,0.164,13.5,0.164,0
0,0,0,0,0,0,0,1,0.166,13.5,0.166,0
0,0,0,0,0,0,0,1,0.168,13.5,0.168,0
0,0,0,0,0,0,0,1,0.17,13.5,0.17,0
0,0,0,0,0,0,0,1,0.172,13.5,0.172,0
0,0,0,0,0,0,0,1,0.174,13.5,0.174,0
0,0,0,0,0,0,0,1,0.176,13.5,0.176,0
0,0,0,0,0,0,0,1,0.178,13.5,0.178,0
0,0,0,0,0,0,0,1,0.18,13.5,0.18,0
0,0,0,0,0,0,0,1,0.182,13.5,0.182,0
0,0,0,0,0,0,0,1,0.184,13.5,0.184,0
0,0,0,0,0,0,0,1,0.186,13.5,0.186,0
0,0,0,0,0,0,0,1,0.188,13.5,0.188,0
0,0,0,0,0,0,0,1,0.19,13.5,0.19,0
0,0,0,0,0,0,0,1,0.192,13.5,0.192,0
0,0,0,0,0,0,0,1,0.194,13.5,0.194,0
0,0,0,0,0,0,0,1,0.196,13.5,0.196,0
0,0,0,0,0,0,0,1,0.198,13.5,0.198,0
0,0,0,0,0,0,0,1,0.2,13.5,0.2,0
0,0,0,0,0,0,0,1,0.202,13.5,0.202,0
0,0,0,0,0,0,0,1,0.204,13.5,0.204,0
0,0,0,0,0,0,0,1,0.206,13.5,0.206,0
0,0,0,0,0,0,0,1,0.208,13.5,0.208,0
0,0,0,0,0,0,0,1,0.21,13.5,0.21,0
0,0,0,0,0,0,0,1,0.212,13.5,0.212,0
0,0,0,0,0,0,0,1,0.214,13.5,0.214,0
0,0,0,0,0,0,0,1,0.216,13.5,0.216,0
0,0,0,0,0,0,0,1,0.218,13.5,0.218,0
0,0,0,0,0,0,0,1,0.22,13.5,0.22,0
0,0,0,0,0,0,0,1,0.222,13.5,0.222,0
0,0,0,0,0,0,0,1,0.224,13.5,0.224,0
0,0,0,0,0,0,0,1,0.226,13.5,0.226,0
0,0,0,0,0,0,0,1,0.228,13.5,0.228,0
0,0,0,0,0,0,0,1,0.23,13.5,0.23,0
0,0,0,0,0,0,0,1,0.232,13.5,0.232,0
0,0,0,0,0,0,0,1,0.234,13.5,0.234,0
0,0,0,0,0,0,0,1,0.236,13.5,0.236,0
0,0,0,0,0,0,0,1,0.238,13.5,0.238,0
