u,v,w,p,s,d,vtkvalidpointmask,arc_length,points0,points1,points2
0,0,0,0.0015513,3.1556e-14,3.1556e-18,1,0,4.5,0,0
0,0,0,0.0015513,3.1557e-14,3.1557e-18,1,0.02,4.5,0.02,0
0,0,0,0.0015513,3.1557e-14,3.1557e-18,1,0.04,4.5,0.04,0
0,0,0,0.0015513,3.1558e-14,3.1558e-18,1,0.06,4.5,0.06,0
0,0,0,0.0015513,3.1558e-14,3.1558e-18,1,0.08,4.5,0.08,0
0,0,0,0.0015513,3.1559e-14,3.1559e-18,1,0.1,4.5,0.1,0
0,0,0,0.0015513,3.1559e-14,3.1559e-18,1,0.12,4.5,0.12,0
0,0,0,0.0015513,3.156e-14,3.156e-18,1,0.14,4.5,0.14,0
0,0,0,0.0015513,3.156e-14,3.156e-18,1,0.16,4.5,0.16,0
0,0,0,0.0015513,3.1561e-14,3.1561e-18,1,0.18,4.5,0.18,0
0,0,0,0.0015513,3.1561e-14,3.1561e-18,1,0.2,4.5,0.2,0
0,0,0,0.0015513,3.1561e-14,3.1561e-18,1,0.22,4.5,0.22,0
0,0,0,0.0015513,3.1561e-14,3.1561e-18,1,0.24,4.5,0.24,0
0,0,0,0.0015513,3.156e-14,3.156e-18,1,0.26,4.5,0.26,0
0,0,0,0.0015513,3.156e-14,3.156e-18,1,0.28,4.5,0.28,0
0,0,0,0.0015513,3.156e-14,3.156e-18,1,0.3,4.5,0.3,0
0,0,0,0.0015513,3.1559e-14,3.1559e-18,1,0.32,4.5,0.32,0
0,0,0,0.0015513,3.1559e-14,3.1559e-18,1,0.34,4.5,0.34,0
0,0,0,0.0015513,3.1559e-14,3.1559e-18,1,0.36,4.5,0.36,0
0,0,0,0.0015513,3.1559e-14,3.1559e-18,1,0.38,4.5,0.38,0
0,0,0,0.0015513,3.1558e-14,3.1558e-18,1,0.4,4.5,0.4,0
2.2553e-05,0,-2.8622e-05,0.068231,0.1,2.8402e-18,1,0.42,4.5,0.42,0
4.5106e-05,0,-5.7245e-05,0.13491,0.2,2.5247e-18,1,0.44,4.5,0.44,0
6.7659e-05,0,-8.5867e-05,0.20159,0.3,2.2091e-18,1,0.46,4.5,0.46,0
9.0212e-05,0,-0.00011449,0.26827,0.4,1.8935e-18,1,0.48,4.5,0.48,0
0.00011277,0,-0.00014311,0.33495,0.5,1.5779e-18,1,0.5,4.5,0.5,0
0.00013532,0,-0.00017173,0.40163,0.6,1.2623e-18,1,0.52,4.5,0.52,0
0.00015787,0,-0.00020036,0.46831,0.7,9.4675e-19,1,0.54,4.5,0.54,0
0.00018042,0,-0.00022898,0.53499,0.8,6.3117e-19,1,0.56,4.5,0.56,0
0.00020298,0,-0.0002576,0.60167,0.9,3.1558e-19,1,0.58,4.5,0.58,0
0,0,0,0,0,0,1,0.6,4.5,0.6,0
0,0,0,0,0,0,1,0.62,4.5,0.62,0
0,0,0,0,0,0,1,0.64,4.5,0.64,0
0,0,0,0,0,0,1,0.66,4.5,0.66,0
0,0,0,0,0,0,1,0.68,4.5,0.68,0
0,0,0,0,0,0,1,0.7,4.5,0.7,0
0,0,0,0,0,0,1,0.72,4.5,0.72,0
0,0,0,0,0,0,1,0.74,4.5,0.74,0
0,0,0,0,0,0,1,0.76,4.5,0.76,0
0,0,0,0,0,0,1,0.78,4.5,0.78,0
0,0,0,0,0,0,1,0.8,4.5,0.8,0
0,0,0,0,0,0,1,0.82,4.5,0.82,0
0,0,0,0,0,0,1,0.84,4.5,0.84,0
0,0,0,0,0,0,1,0.86,4.5,0.86,0
0,0,0,0,0,0,1,0.88,4.5,0.88,0
0,0,0,0,0,0,1,0.9,4.5,0.9,0
0,0,0,0,0,0,1,0.92,4.5,0.92,0
0,0,0,0,0,0,1,0.94,4.5,0.94,0
0,0,0,0,0,0,1,0.96,4.5,0.96,0
0,0,0,0,0,0,1,0.98,4.5,0.98,0
3.7642e-09,-3.0546e-12,4.5462e-09,1.232e-06,1.27e-26,0,1,1,4.5,1,0
3.3877e-09,-2.7491e-12,4.0916e-09,1.1088e-06,1.143e-26,0,1,1.02,4.5,1.02,0
3.0113e-09,-2.4437e-12,3.637e-09,9.8557e-07,1.016e-26,0,1,1.04,4.5,1.04,0
2.6349e-09,-2.1382e-12,3.1824e-09,8.6237e-07,8.8897e-27,0,1,1.06,4.5,1.06,0
2.2585e-09,-1.8327e-12,2.7277e-09,7.3918e-07,7.6197e-27,0,1,1.08,4.5,1.08,0
1.8821e-09,-1.5273e-12,2.2731e-09,6.1598e-07,6.3498e-27,0,1,1.1,4.5,1.1,0
1.5057e-09,-1.2218e-12,1.8185e-09,4.9278e-07,5.0798e-27,0,1,1.12,4.5,1.12,0
1.1292e-09,-9.1637e-13,1.3639e-09,3.6959e-07,3.8099e-27,0,1,1.14,4.5,1.14,0
7.5283e-10,-6.1092e-13,9.0925e-10,2.4639e-07,2.5399e-27,0,1,1.16,4.5,1.16,0
3.7642e-10,-3.0546e-13,4.5462e-10,1.232e-07,1.27e-27,0,1,1.18,4.5,1.18,0
-8.9744e-16,7.2827e-19,-1.0839e-15,-2.9372e-13,-3.0278e-33,0,1,1.2,4.5,1.2,0
0,0,0,0,0,0,1,1.22,4.5,1.22,0
0,0,0,0,0,0,1,1.24,4.5,1.24,0
0,0,0,0,0,0,1,1.26,4.5,1.26,0
0,0,0,0,0,0,1,1.28,4.5,1.28,0
0,0,0,0,0,0,1,1.3,4.5,1.3,0
0,0,0,0,0,0,1,1.32,4.5,1.32,0
0,0,0,0,0,0,1,1.34,4.5,1.34,0
0,0,0,0,0,0,1,1.36,4.5,1.36,0
0,0,0,0,0,0,1,1.38,4.5,1.38,0
0,0,0,0,0,0,1,1.4,4.5,1.4,0
0,0,0,0,0,0,1,1.42,4.5,1.42,0
0,0,0,0,0,0,1,1.44,4.5,1.44,0
0,0,0,0,0,0,1,1.46,4.5,1.46,0
0,0,0,0,0,0,1,1.48,4.5,1.48,0
0,0,0,0,0,0,1,1.5,4.5,1.5,0
0,0,0,0,0,0,1,1.52,4.5,1.52,0
0,0,0,0,0,0,1,1.54,4.5,1.54,0
0,0,0,0,0,0,1,1.56,4.5,1.56,0
