u,v,w,p,s,d,vtkvalidpointmask,arc_length,points0,points1,points2
-0.00044918,-1.0882e-12,0.0019245,-0.077284,4.2706e-05,0,1,0,9,0,0
-0.00040426,-1.272e-12,0.0017423,-0.069555,3.8435e-05,0,1,0.02,9,0.02,0
-0.00035934,-1.4558e-12,0.0015601,-0.061827,3.4165e-05,0,1,0.04,9,0.04,0
-0.00031443,-1.6396e-12,0.0013779,-0.054098,2.9894e-05,0,1,0.06,9,0.06,0
-0.00026951,-1.8234e-12,0.0011957,-0.04637,2.5624e-05,0,1,0.08,9,0.08,0
-0.00022459,-2.0072e-12,0.0010135,-0.038641,2.1353e-05,0,1,0.1,9,0.1,0
-0.00017967,-2.1909e-12,0.00083136,-0.030912,1.7082e-05,0,1,0.12,9,0.12,0
-0.00013475,-2.3747e-12,0.00064918,-0.023184,1.2812e-05,0,1,0.14,9,0.14,0
-8.9836e-05,-2.5585e-12,0.00046699,-0.015455,8.5413e-06,0,1,0.16,9,0.16,0
-4.4918e-05,-2.7423e-12,0.00028481,-0.0077267,4.2708e-06,0,1,0.18,9,0.18,0
7.161e-11,-2.9261e-12,0.00010262,1.8621e-06,2.3253e-10,0,1,0.2,9,0.2,0
1.5671e-09,-6.4777e-12,3.701e-09,1.5608e-06,-4.0243e-28,0,1,0.22,9,0.22,0
1.3929e-09,-5.758e-12,3.2898e-09,1.3874e-06,-3.5771e-28,0,1,0.24,9,0.24,0
1.2188e-09,-5.0382e-12,2.8786e-09,1.2139e-06,-3.13e-28,0,1,0.26,9,0.26,0
1.0447e-09,-4.3185e-12,2.4674e-09,1.0405e-06,-2.6828e-28,0,1,0.28,9,0.28,0
8.7059e-10,-3.5987e-12,2.0561e-09,8.671e-07,-2.2357e-28,0,1,0.3,9,0.3,0
6.9647e-10,-2.879e-12,1.6449e-09,6.9368e-07,-1.7886e-28,0,1,0.32,9,0.32,0
5.2235e-10,-2.1592e-12,1.2337e-09,5.2026e-07,-1.3414e-28,0,1,0.34,9,0.34,0
3.4823e-10,-1.4395e-12,8.2245e-10,3.4684e-07,-8.9428e-29,0,1,0.36,9,0.36,0
1.7412e-10,-7.1975e-13,4.1123e-10,1.7342e-07,-4.4714e-29,0,1,0.38,9,0.38,0
-5.1891e-17,2.145e-19,-1.2255e-16,-5.1683e-14,1.3326e-35,0,1,0.4,9,0.4,0
0,0,0,0,0,0,1,0.42,9,0.42,0
0,0,0,0,0,0,1,0.44,9,0.44,0
0,0,0,0,0,0,1,0.46,9,0.46,0
0,0,0,0,0,0,1,0.48,9,0.48,0
0,0,0,0,0,0,1,0.5,9,0.5,0
0,0,0,0,0,0,1,0.52,9,0.52,0
0,0,0,0,0,0,1,0.54,9,0.54,0
0,0,0,0,0,0,1,0.56,9,0.56,0
0,0,0,0,0,0,1,0.58,9,0.58,0
0,0,0,0,0,0,1,0.6,9,0.6,0
0,0,0,0,0,0,1,0.62,9,0.62,0
0,0,0,0,0,0,1,0.64,9,0.64,0
0,0,0,0,0,0,1,0.66,9,0.66,0
0,0,0,0,0,0,1,0.68,9,0.68,0
0,0,0,0,0,0,1,0.7,9,0.7,0
0,0,0,0,0,0,1,0.72,9,0.72,0
0,0,0,0,0,0,1,0.74,9,0.74,0
0,0,0,0,0,0,1,0.76,9,0.76,0
0,0,0,0,0,0,1,0.78,9,0.78,0
0,0,0,0,0,0,1,0.8,9,0.8,0
4.7186e-10,-2.4195e-12,8.6561e-12,1.0805e-06,-1.6987e-39,0,1,0.82,9,0.82,0
4.1943e-10,-2.1507e-12,7.6943e-12,9.6049e-07,-1.51e-39,0,1,0.84,9,0.84,0
