u,v,p,s,d,points0,points1,points2
0,0,-0.36993,-4.8467e-05,0,0,0,0
0,0,0.85185,1,0.0004,0.1,0,0
0.00099337,-0.00051804,0.75201,1,0,0.1,0.1,0
0,-0.00050962,0.75398,1,0,0,0.1,0
0,0,0.84588,1,0.0004,0.2,0,0
0.0020244,-0.0005447,0.74606,1,0,0.2,0.1,0
0,0,0.8357,1,0.0004,0.3,0,0
0.0031159,-0.00059135,0.73588,1,0,0.3,0.1,0
0,0,0.82094,1,0.0004,0.4,0,0
0.0043426,-0.00066463,0.72117,1,0,0.4,0.1,0
0,0,0.801,1,0.0004,0.5,0,0
0.0057016,-0.00077221,0.70122,1,0,0.5,0.1,0
0,0,0.7751,1,0.0004,0.6,0,0
0.0073981,-0.0009375,0.67545,1,0,0.6,0.1,0
0,0,0.74168,1,0.00040001,0.7,0,0
0.0093393,-0.0011996,0.64198,1,0,0.7,0.1,0
0,0,0.69952,0.99994,0.00039997,0.8,0,0
0.012264,-0.0016287,0.59949,0.99999,0,0.8,0.1,0
0,0,0.63489,1.0002,0.00040009,0.9,0,0
0.015642,-0.003216,0.54515,1,0,0.9,0.1,0
0,0,0.55864,0.99778,0.00039936,1,0,0
0.018197,-0.0065397,0.4769,0.99939,0,1,0.1,0
0,0,0.41453,0.0025512,7.0595e-07,1.1,0,0
0.01829,0.0064187,0.3963,0.0040096,0,1.1,0.1,0
0,0,0.3376,-0.00017597,-8.751e-08,1.2,0,0
0.015932,0.0031388,0.32732,-0.00031144,0,1.2,0.1,0
0,0,0.27151,4.6758e-05,2.3337e-08,1.3,0,0
0.012723,0.0015297,0.27158,8.2243e-05,0,1.3,0.1,0
0,0,0.22718,-1.2421e-05,-6.2228e-09,1.4,0,0
0.0099979,0.0010948,0.2269,-2.1742e-05,0,1.4,0.1,0
0,0,0.19076,3.299e-06,1.6592e-09,1.5,0,0
0.0082684,0.00082146,0.19045,5.7521e-06,0,1.5,0.1,0
0,0,0.16097,-8.7611e-07,-4.424e-10,1.6,0,0
0.0068101,0.00064283,0.16079,-1.5226e-06,0,1.6,0.1,0
0,0,0.13614,2.3264e-07,1.1795e-10,1.7,0,0
0.0057178,0.00051817,0.13596,4.0324e-07,0,1.7,0.1,0
0,0,0.11538,-6.1766e-08,-3.1447e-11,1.8,0,0
0.004795,0.00042391,0.11525,-1.0683e-07,0,1.8,0.1,0
0,0,0.097889,1.6398e-08,8.3839e-12,1.9,0,0
0.0040527,0.00035146,0.097772,2.8308e-08,0,1.9,0.1,0
0,0,0.083129,-4.3529e-09,-2.2351e-12,2,0,0
