u,v,w,p,s,d,vtkvalidpointmask,arc_length,points0,points1,points2
0,0,0,0.84975,1,0.0002,1,0,0,1,0
0,0,0,0.84297,1,0.0002,1,0.18,0.18,1,0
0,0,0,0.82264,1,0.0002,1,0.36,0.36,1,0
0,0,0,0.78634,1,0.0002,1,0.54,0.54,1,0
0,0,0,0.72893,1,0.0002,1,0.72,0.72,1,0
0,0,0,0.63927,1.0003,0.00020005,1,0.9,0.9,1,0
0,0,0,0.44491,0.20059,4.0117e-05,1,1.08,1.08,1,0
0,0,0,0.2977,-6.2674e-05,-1.2535e-08,1,1.26,1.26,1,0
0,0,0,0.21548,-9.2169e-06,-1.8434e-09,1,1.44,1.44,1,0
0,0,0,0.15872,-9.9728e-07,-1.9946e-10,1,1.62,1.62,1,0
0,0,0,0.11779,-9.5467e-08,-1.9093e-11,1,1.8,1.8,1,0
0,0,0,0.088164,-3.538e-10,-7.076e-14,1,1.98,1.98,1,0
0,0,0,0.066045,4.37e-10,8.74e-14,1,2.16,2.16,1,0
0,0,0,0.04948,6.4267e-11,1.2853e-14,1,2.34,2.34,1,0
0,0,0,0.037057,6.9538e-12,1.3908e-15,1,2.52,2.52,1,0
0,0,0,0.027738,6.6568e-13,1.3314e-16,1,2.7,2.7,1,0
0,0,0,0.020851,2.4673e-15,4.9345e-19,1,2.88,2.88,1,0
0,0,0,0.015658,-3.0472e-15,-6.0943e-19,1,3.06,3.06,1,0
0,0,0,0.011747,-4.4813e-16,-8.9626e-20,1,3.24,3.24,1,0
0,0,0,0.0088042,-4.8488e-17,-9.6976e-21,1,3.42,3.42,1,0
0,0,0,0.0065926,-4.6417e-18,-9.2834e-22,1,3.6,3.6,1,0
0,0,0,0.0049566,-1.7202e-20,-3.4404e-24,1,3.78,3.78,1,0
0,0,0,0.0037224,2.1247e-20,4.2495e-24,1,3.96,3.96,1,0
0,0,0,0.0027925,3.1248e-21,6.2495e-25,1,4.14,4.14,1,0
0,0,0,0.0020927,3.381e-22,6.7621e-26,1,4.32,4.32,1,0
0,0,0,0.0015668,3.2366e-23,6.4733e-27,1,4.5,4.5,1,0
0,0,0,0.0011777,1.1993e-25,2.3986e-29,1,4.68,4.68,1,0
0,0,0,0.00088415,-1.4816e-25,-2.9631e-29,1,4.86,4.86,1,0
0,0,0,0.00066298,-2.1789e-26,-4.3577e-30,1,5.04,5.04,1,0
0,0,0,0.00049655,-2.3576e-27,-4.7152e-31,1,5.22,5.22,1,0
0,0,0,0.00037146,-2.2569e-28,-4.5138e-32,1,5.4,5.4,1,0
0,0,0,0.00027893,-8.3634e-31,-1.6727e-34,1,5.58,5.58,1,0
0,0,0,0.00020911,1.0331e-30,2.0661e-34,1,5.76,5.76,1,0
0,0,0,0.00015651,1.5193e-31,3.0386e-35,1,5.94,5.94,1,0
0,0,0,0.00011693,1.6439e-32,3.2878e-36,1,6.12,6.12,1,0
0,0,0,8.7188e-05,1.5737e-33,3.1474e-37,1,6.3,6.3,1,0
0,0,0,6.5185e-05,5.8323e-36,1.1665e-39,1,6.48,6.48,1,0
0,0,0,4.8586e-05,-7.2037e-36,-1.4407e-39,1,6.66,6.66,1,0
0,0,0,3.6082e-05,-1.0594e-36,-2.1188e-40,1,6.84,6.84,1,0
0,0,0,2.6675e-05,-1.1463e-37,-2.2926e-41,1,7.02,7.02,1,0
0,0,0,1.9606e-05,-1.0973e-38,-2.1946e-42,1,7.2,7.2,1,0
0,0,0,1.438e-05,-4.0671e-41,-8.1343e-45,1,7.38,7.38,1,0
0,0,0,1.0439e-05,5.023e-41,1.0046e-44,1,7.56,7.56,1,0
0,0,0,7.4722e-06,7.3871e-42,1.4774e-45,1,7.74,7.74,1,0
0,0,0,5.2421e-06,7.9929e-43,1.5986e-46,1,7.92,7.92,1,0
0,0,0,3.5685e-06,7.6515e-44,1.5303e-47,1,8.1,8.1,1,0
0,0,0,2.3331e-06,2.835e-46,5.67e-50,1,8.28,8.28,1,0
0,0,0,1.4036e-06,-3.5025e-46,-7.005e-50,1,8.46,8.46,1,0
0,0,0,7.0599e-07,-5.1509e-47,-1.0302e-50,1,8.64,8.64,1,0
0,0,0,1.8375e-07,-5.5734e-48,-1.1147e-51,1,8.82,8.82,1,0
0,0,0,-2.06e-07,-5.3353e-49,-1.0671e-52,1,9,9,1,0
0,0,0,-4.9137e-07,-1.9778e-51,-3.9557e-55,1,9.18,9.18,1,0
0,0,0,-7.0381e-07,2.4423e-51,4.8846e-55,1,9.36,9.36,1,0
0,0,0,-8.6093e-07,3.5917e-52,7.1834e-56,1,9.54,9.54,1,0
0,0,0,-9.7617e-07,3.8863e-53,7.7725e-57,1,9.72,9.72,1,0
0,0,0,-1.0597e-06,3.7202e-54,7.4404e-58,1,9.9,9.9,1,0
0,0,0,-1.1184e-06,1.3787e-56,2.7573e-60,1,10.08,10.08,1,0
0,0,0,-1.1595e-06,-1.7029e-56,-3.4059e-60,1,10.26,10.26,1,0
0,0,0,-1.1873e-06,-2.5045e-57,-5.009e-61,1,10.44,10.44,1,0
0,0,0,-1.205e-06,-2.7099e-58,-5.4198e-62,1,10.62,10.62,1,0
0,0,0,-1.2149e-06,-2.5941e-59,-5.1882e-63,1,10.8,10.8,1,0
0,0,0,-1.2188e-06,-9.6099e-62,-1.922e-65,1,10.98,10.98,1,0
0,0,0,-1.2184e-06,1.1875e-61,2.3749e-65,1,11.16,11.16,1,0
0,0,0,-1.2147e-06,1.7463e-62,3.4927e-66,1,11.34,11.34,1,0
0,0,0,-1.2084e-06,1.8896e-63,3.7791e-67,1,11.52,11.52,1,0
0,0,0,-1.2002e-06,1.8088e-64,3.6177e-68,1,11.7,11.7,1,0
0,0,0,-1.1903e-06,6.7044e-67,1.3409e-70,1,11.88,11.88,1,0
0,0,0,-1.1793e-06,-8.2799e-67,-1.656e-70,1,12.06,12.06,1,0
0,0,0,-1.1673e-06,-1.2177e-67,-2.4354e-71,1,12.24,12.24,1,0
0,0,0,-1.1545e-06,-1.3176e-68,-2.6352e-72,1,12.42,12.42,1,0
0,0,0,-1.1411e-06,-1.2613e-69,-2.5226e-73,1,12.6,12.6,1,0
0,0,0,-1.1272e-06,-4.6733e-72,-9.3466e-76,1,12.78,12.78,1,0
0,0,0,-1.113e-06,5.7736e-72,1.1547e-75,1,12.96,12.96,1,0
0,0,0,-1.0984e-06,8.4909e-73,1.6982e-76,1,13.14,13.14,1,0
0,0,0,-1.0836e-06,9.1874e-74,1.8375e-77,1,13.32,13.32,1,0
0,0,0,-1.0685e-06,8.7949e-75,1.759e-78,1,13.5,13.5,1,0
0,0,0,-1.0533e-06,3.2603e-77,6.5207e-81,1,13.68,13.68,1,0
0,0,0,-1.0379e-06,-4.026e-77,-8.0519e-81,1,13.86,13.86,1,0
