u,v,w,p,s,d,vtkvalidpointmask,arc_length,points0,points1,points2
0,0,0,0.87721,1,0.0004,1,0,0,1,0
0,0,0,0.87086,1,0.0004,1,0.18,0.18,1,0
0,0,0,0.85223,1,0.0004,1,0.36,0.36,1,0
0,0,0,0.81937,0.99999,0.0004,1,0.54,0.54,1,0
0,0,0,0.76233,1,0.00040001,1,0.72,0.72,1,0
0,0,0,0.6737,0.99975,0.00039993,1,0.9,0.9,1,0
0,0,0,0.51504,0.59992,0.00023998,1,1.08,1.08,1,0
0,0,0,0.32927,0.0004388,1.1815e-07,1,1.26,1.26,1,0
0,0,0,0.22973,-3.1244e-05,-1.6052e-08,1,1.44,1.44,1,0
0,0,0,0.16128,9.7734e-06,5.0257e-09,1,1.62,1.62,1,0
0,0,0,0.11783,-2.9924e-06,-1.5403e-09,1,1.8,1.8,1,0
0,0,0,0.087212,4.2079e-07,2.1697e-10,1,1.98,1.98,1,0
0,0,0,0.064639,-1.1098e-08,-5.8099e-12,1,2.16,2.16,1,0
0,0,0,0.047895,-2.4141e-08,-1.2429e-11,1,2.34,2.34,1,0
0,0,0,0.03547,1.37e-08,7.0686e-12,1,2.52,2.52,1,0
0,0,0,0.026247,-5.5994e-09,-2.8931e-12,1,2.7,2.7,1,0
0,0,0,0.019404,2.0146e-09,1.0422e-12,1,2.88,2.88,1,0
0,0,0,0.014332,-6.7693e-10,-3.5062e-13,1,3.06,3.06,1,0
0,0,0,0.010575,2.1795e-10,1.1302e-13,1,3.24,3.24,1,0
0,0,0,0.0077955,-6.8147e-11,-3.5381e-14,1,3.42,3.42,1,0
0,0,0,0.0057413,2.0859e-11,1.0842e-14,1,3.6,3.6,1,0
0,0,0,0.0042712,-2.9322e-12,-1.5271e-15,1,3.78,3.78,1,0
0,0,0,0.0031727,7.7158e-14,4.086e-17,1,3.96,3.96,1,0
0,0,0,0.0023533,1.6825e-13,8.7488e-17,1,4.14,4.14,1,0
0,0,0,0.0017432,-9.5458e-14,-4.975e-17,1,4.32,4.32,1,0
0,0,0,0.0012897,3.901e-14,2.0361e-17,1,4.5,4.5,1,0
