u,v,p,s,d,points0,points1,points2
7.6618e-05,5.972e-06,0.0012309,-1.5526e-24,0,4.6,0.1,0
0,0,0.0010449,1.5986e-25,7.3212e-28,4.7,0,0
6.5219e-05,5.0831e-06,0.0010471,3.8771e-25,0,4.7,0.1,0
0,0,0.00088894,-3.8389e-26,-1.9427e-28,4.8,0,0
5.5515e-05,4.3265e-06,0.00089084,-9.6357e-26,0,4.8,0.1,0
0,0,0.00075624,9.1039e-27,5.155e-29,4.9,0,0
4.7256e-05,3.6826e-06,0.00075786,2.3817e-26,0,4.9,0.1,0
0,0,0.00064336,-2.125e-27,-1.3678e-29,5,0,0
4.0225e-05,3.1345e-06,0.00064474,-5.8498e-27,0,5,0.1,0
0,0,0.00054732,4.8578e-28,3.6291e-30,5.1,0,0
3.4241e-05,2.668e-06,0.0005485,1.426e-27,0,5.1,0.1,0
0,0,0.00046561,-1.0793e-28,-9.6284e-31,5.2,0,0
2.9147e-05,2.2709e-06,0.00046662,-3.445e-28,0,5.2,0.1,0
0,0,0.0003961,2.3008e-29,2.5544e-31,5.3,0,0
2.481e-05,1.9329e-06,0.00039696,8.2311e-29,0,5.3,0.1,0
0,0,0.00033697,-4.593e-30,-6.7766e-32,5.4,0,0
2.1119e-05,1.6452e-06,0.0003377,-1.9397e-29,0,5.4,0.1,0
0,0,0.00028665,8.1272e-31,1.7977e-32,5.5,0,0
1.7978e-05,1.4003e-06,0.00028728,4.4909e-30,0,5.5,0.1,0
0,0,0.00024384,-1.0663e-31,-4.7686e-33,5.6,0,0
1.5303e-05,1.1919e-06,0.00024438,-1.0155e-30,0,5.6,0.1,0
0,0,0.00020742,-9.7569e-34,1.2649e-33,5.7,0,0
1.3027e-05,1.0145e-06,0.00020788,2.2216e-31,0,5.7,0.1,0
0,0,0.00017643,8.1175e-33,-3.355e-34,5.8,0,0
1.1089e-05,8.6352e-07,0.00017682,-4.6248e-32,0,5.8,0.1,0
0,0,0.00015007,-4.2638e-33,8.8984e-35,5.9,0,0
9.4394e-06,7.3499e-07,0.0001504,8.862e-33,0,5.9,0.1,0
0,0,0.00012763,1.6978e-33,-2.36e-35,6,0,0
8.0353e-06,6.256e-07,0.00012791,-1.436e-33,0,6,0.1,0
0,0,0.00010854,-6.0254e-34,6.2588e-36,6.1,0,0
6.8402e-06,5.3248e-07,0.00010878,1.3528e-34,0,6.1,0.1,0
0,0,9.2296e-05,2.007e-34,-1.6598e-36,6.2,0,0
5.8228e-06,4.5323e-07,9.2502e-05,3.0085e-35,0,6.2,0.1,0
0,0,7.8471e-05,-6.421e-35,4.4013e-37,6.3,0,0
4.9569e-06,3.8577e-07,7.8647e-05,-2.5695e-35,0,6.3,0.1,0
0,0,6.6705e-05,1.9978e-35,-1.1671e-37,6.4,0,0
4.2198e-06,3.2836e-07,6.6855e-05,1.1573e-35,0,6.4,0.1,0
0,0,5.6691e-05,-6.0905e-36,3.0945e-38,6.5,0,0
3.5923e-06,2.7949e-07,5.6819e-05,-4.3472e-36,0,6.5,0.1,0
0,0,4.8167e-05,1.8279e-36,-8.2045e-39,6.6,0,0
3.0582e-06,2.379e-07,4.8276e-05,1.4961e-36,0,6.6,0.1,0
0,0,4.0911e-05,-5.4188e-37,2.1752e-39,6.7,0,0
2.6035e-06,2.025e-07,4.1004e-05,-4.8895e-37,0,6.7,0.1,0
0,0,3.4734e-05,1.5904e-37,-5.7666e-40,6.8,0,0
2.2165e-06,1.7236e-07,3.4813e-05,1.5442e-37,0,6.8,0.1,0
0,0,2.9474e-05,-4.6296e-38,1.5287e-40,6.9,0,0
1.8871e-06,1.4671e-07,2.9542e-05,-4.7601e-38,0,6.9,0.1,0
0,0,2.4996e-05,1.3383e-38,-4.0522e-41,7,0,0
1.6066e-06,1.2488e-07,2.5053e-05,1.4409e-38,0,7,0.1,0
0,0,2.1182e-05,-3.8461e-39,1.0741e-41,7.1,0,0
1.3679e-06,1.0629e-07,2.1231e-05,-4.3005e-39,0,7.1,0.1,0
0,0,1.7933e-05,1.0997e-39,-2.8469e-42,7.2,0,0
1.1647e-06,9.0471e-08,1.7975e-05,1.2692e-39,0,7.2,0.1,0
0,0,1.5165e-05,-3.1302e-40,7.5452e-43,7.3,0,0
9.9173e-07,7.7008e-08,1.5201e-05,-3.7113e-40,0,7.3,0.1,0
0,0,1.2807e-05,8.8754e-41,-1.9996e-43,7.4,0,0
8.4449e-07,6.5551e-08,1.2837e-05,1.077e-40,0,7.4,0.1,0
0,0,1.0796e-05,-2.5079e-41,5.2991e-44,7.5,0,0
7.1915e-07,5.5801e-08,1.0822e-05,-3.1053e-41,0,7.5,0.1,0
0,0,9.0822e-06,7.0645e-42,-1.4042e-44,7.6,0,0
6.1245e-07,4.7502e-08,9.1042e-06,8.9037e-42,0,7.6,0.1,0
0,0,7.6203e-06,-1.9845e-42,3.7207e-45,7.7,0,0
5.2161e-07,4.0438e-08,7.6389e-06,-2.5407e-42,0,7.7,0.1,0
0,0,6.373e-06,5.561e-43,-9.8581e-46,7.8,0,0
4.4428e-07,3.4424e-08,6.3888e-06,7.2197e-43,0,7.8,0.1,0
0,0,5.3085e-06,-1.5548e-43,2.6118e-46,7.9,0,0
3.7844e-07,2.9304e-08,5.322e-06,-2.044e-43,0,7.9,0.1,0
0,0,4.3997e-06,4.3379e-44,-6.9192e-47,8,0,0
3.2238e-07,2.4943e-08,4.4111e-06,5.7677e-44,0,8,0.1,0
0,0,3.6233e-06,-1.208e-44,1.8329e-47,8.1,0,0
2.7466e-07,2.1231e-08,3.6331e-06,-1.6228e-44,0,8.1,0.1,0
0,0,2.9598e-06,3.3582e-45,-4.8552e-48,8.2,0,0
2.3404e-07,1.8072e-08,2.9681e-06,4.5536e-45,0,8.2,0.1,0
0,0,2.3922e-06,-9.3207e-46,1.286e-48,8.3,0,0
1.9946e-07,1.5384e-08,2.3993e-06,-1.2747e-45,0,8.3,0.1,0
0,0,1.9063e-06,2.5832e-46,-3.4059e-49,8.4,0,0
1.7002e-07,1.3098e-08,1.9123e-06,3.5606e-46,0,8.4,0.1,0
0,0,1.4899e-06,-7.1492e-47,9.02e-50,8.5,0,0
1.4497e-07,1.1154e-08,1.495e-06,-9.926e-47,0,8.5,0.1,0
0,0,1.1326e-06,1.9761e-47,-2.3886e-50,8.6,0,0
1.2363e-07,9.5003e-09,1.1369e-06,2.7621e-47,0,8.6,0.1,0
0,0,8.2575e-07,-5.4556e-48,6.325e-51,8.7,0,0
1.0547e-07,8.0935e-09,8.2928e-07,-7.673e-48,0,8.7,0.1,0
0,0,5.6187e-07,1.5045e-48,-1.6747e-51,8.8,0,0
8.9991e-08,6.8958e-09,5.6478e-07,2.1283e-48,0,8.8,0.1,0
0,0,3.3474e-07,-4.1447e-49,4.4339e-52,8.9,0,0
7.6801e-08,5.8755e-09,3.3712e-07,-5.8947e-49,0,8.9,0.1,0
0,0,1.3906e-07,1.1407e-49,-1.1738e-52,9,0,0
6.5557e-08,5.0055e-09,1.4102e-07,1.6305e-49,0,9,0.1,0
0,0,-2.9637e-08,-3.1364e-50,3.1073e-53,9.1,0,0
5.5968e-08,4.2633e-09,-2.8035e-08,-4.5045e-50,0,9.1,0.1,0
0,0,-1.7518e-07,8.6166e-51,-8.2249e-54,9.2,0,0
4.779e-08,3.6302e-09,-1.7386e-07,1.243e-50,0,9.2,0.1,0
0,0,-3.0085e-07,-2.3653e-51,2.1769e-54,9.3,0,0
4.0817e-08,3.0905e-09,-2.9976e-07,-3.4262e-51,0,9.3,0.1,0
0,0,-4.0946e-07,6.4876e-52,-5.7613e-55,9.4,0,0
3.4871e-08,2.6311e-09,-4.0855e-07,9.4345e-52,0,9.4,0.1,0
0,0,-5.0344e-07,-1.7782e-52,1.5246e-55,9.5,0,0
2.9802e-08,2.2408e-09,-5.0269e-07,-2.5955e-52,0,9.5,0.1,0
0,0,-5.8489e-07,4.8704e-53,-4.0344e-56,9.6,0,0
2.5483e-08,1.91e-09,-5.8429e-07,7.1338e-53,0,9.6,0.1,0
0,0,-6.556e-07,-1.3331e-53,1.0674e-56,9.7,0,0
2.1801e-08,1.6301e-09,-6.5514e-07,-1.9591e-53,0,9.7,0.1,0
0,0,-7.1711e-07,3.6466e-54,-2.8241e-57,9.8,0,0
1.8662e-08,1.3936e-09,-7.1679e-07,5.3759e-54,0,9.8,0.1,0
0,0,-7.7071e-07,-9.9692e-55,7.4709e-58,9.9,0,0
1.5983e-08,1.1934e-09,-7.7052e-07,-1.4741e-54,0,9.9,0.1,0
0,0,-8.1746e-07,2.7239e-55,-1.9762e-58,10,0,0
1.3692e-08,1.0235e-09,-8.1739e-07,4.039e-55,0,10,0.1,0
0,0,-8.5825e-07,-7.4382e-56,5.227e-59,10.1,0,0
1.1731e-08,8.7872e-10,-8.5829e-07,-1.1059e-55,0,10.1,0.1,0
0,0,-8.9381e-07,2.0302e-56,-1.3824e-59,10.2,0,0
1.0047e-08,7.5461e-10,-8.9394e-07,3.0263e-56,0,10.2,0.1,0
0,0,-9.2473e-07,-5.5383e-57,3.6556e-60,10.3,0,0
8.5989e-09,6.4771e-10,-9.2492e-07,-8.276e-57,0,10.3,0.1,0
0,0,-9.5152e-07,1.5101e-57,-9.6662e-61,10.4,0,0
7.3518e-09,5.5536e-10,-9.5176e-07,2.2619e-57,0,10.4,0.1,0
0,0,-9.7461e-07,-4.1158e-58,2.5557e-61,10.5,0,0
6.277e-09,4.7555e-10,-9.7487e-07,-6.1786e-58,0,10.5,0.1,0
0,0,-9.944e-07,1.1213e-58,-6.7564e-62,10.6,0,0
5.3506e-09,4.0675e-10,-9.9466e-07,1.6868e-58,0,10.6,0.1,0
0,0,-1.0112e-06,-3.0534e-59,1.786e-62,10.7,0,0
4.5526e-09,3.4773e-10,-1.0115e-06,-4.603e-59,0,10.7,0.1,0
0,0,-1.0254e-06,8.3115e-60,-4.7206e-63,10.8,0,0
3.8659e-09,2.9741e-10,-1.0257e-06,1.2554e-59,0,10.8,0.1,0
0,0,-1.0373e-06,-2.2615e-60,1.2476e-63,10.9,0,0
3.2757e-09,2.5478e-10,-1.0375e-06,-3.4225e-60,0,10.9,0.1,0
0,0,-1.0471e-06,6.1514e-61,-3.2968e-64,11,0,0
2.7686e-09,2.1885e-10,-1.0473e-06,9.3259e-61,0,11,0.1,0
0,0,-1.0551e-06,-1.6726e-61,8.7111e-65,11.1,0,0
2.3329e-09,1.8868e-10,-1.0553e-06,-2.5402e-61,0,11.1,0.1,0
0,0,-1.0615e-06,4.5461e-62,-2.3014e-65,11.2,0,0
1.9581e-09,1.6341e-10,-1.0617e-06,6.9159e-62,0,11.2,0.1,0
0,0,-1.0664e-06,-1.2353e-62,6.0797e-66,11.3,0,0
1.6346e-09,1.4229e-10,-1.0667e-06,-1.8822e-62,0,11.3,0.1,0
0,0,-1.0701e-06,3.3553e-63,-1.6059e-66,11.4,0,0
1.3542e-09,1.2468e-10,-1.0704e-06,5.1206e-63,0,11.4,0.1,0
0,0,-1.0727e-06,-9.1111e-64,4.2411e-67,11.5,0,0
1.1096e-09,1.1007e-10,-1.0729e-06,-1.3926e-63,0,11.5,0.1,0
0,0,-1.0741e-06,2.4733e-64,-1.12e-67,11.6,0,0
8.9442e-10,9.801e-11,-1.0744e-06,3.7857e-64,0,11.6,0.1,0
0,0,-1.0745e-06,-6.7122e-65,2.9571e-68,11.7,0,0
7.0316e-10,8.808e-11,-1.0748e-06,-1.0288e-64,0,11.7,0.1,0
0,0,-1.074e-06,1.8211e-65,-7.8069e-69,11.8,0,0
5.3105e-10,7.9846e-11,-1.0743e-06,2.7951e-65,0,11.8,0.1,0
0,0,-1.0724e-06,-4.9394e-66,2.0608e-69,11.9,0,0
3.7414e-10,7.2846e-11,-1.0728e-06,-7.5911e-66,0,11.9,0.1,0
0,0,-1.0699e-06,1.3394e-66,-5.4391e-70,12,0,0
2.2929e-10,6.6594e-11,-1.0703e-06,2.061e-66,0,12,0.1,0
0,0,-1.0664e-06,-3.631e-67,1.4354e-70,12.1,0,0
9.4273e-11,6.0631e-11,-1.0668e-06,-5.5941e-67,0,12.1,0.1,0
0,0,-1.062e-06,9.841e-68,-3.7874e-71,12.2,0,0
-3.2165e-11,5.4577e-11,-1.0624e-06,1.518e-67,0,12.2,0.1,0
0,0,-1.0566e-06,-2.6665e-68,9.9919e-72,12.3,0,0
-1.503e-10,4.8207e-11,-1.0569e-06,-4.1178e-68,0,12.3,0.1,0
0,0,-1.0502e-06,7.2236e-69,-2.6357e-72,12.4,0,0
-2.5956e-10,4.1497e-11,-1.0505e-06,1.1167e-68,0,12.4,0.1,0
0,0,-1.0429e-06,-1.9564e-69,6.9515e-73,12.5,0,0
-3.5874e-10,3.4654e-11,-1.0431e-06,-3.0278e-69,0,12.5,0.1,0
0,0,-1.0347e-06,5.2976e-70,-1.8331e-73,12.6,0,0
-4.4642e-10,2.8082e-11,-1.035e-06,8.2073e-70,0,12.6,0.1,0
0,0,-1.0258e-06,-1.4342e-70,4.8332e-74,12.7,0,0
-5.2137e-10,2.2314e-11,-1.026e-06,-2.2241e-70,0,12.7,0.1,0
0,0,-1.0163e-06,3.8818e-71,-1.2741e-74,12.8,0,0
-5.8306e-10,1.7901e-11,-1.0164e-06,6.0259e-71,0,12.8,0.1,0
0,0,-1.0063e-06,-1.0505e-71,3.3582e-75,12.9,0,0
-6.32e-10,1.5284e-11,-1.0064e-06,-1.6322e-71,0,12.9,0.1,0
0,0,-9.9586e-07,2.8421e-72,-8.8499e-76,13,0,0
-6.6996e-10,1.4676e-11,-9.9595e-07,4.4202e-72,0,13,0.1,0
0,0,-9.8513e-07,-7.688e-73,2.3318e-76,13.1,0,0
-6.999e-10,1.5996e-11,-9.8523e-07,-1.1968e-72,0,13.1,0.1,0
0,0,-9.7416e-07,2.0793e-73,-6.1427e-77,13.2,0,0
-7.2566e-10,1.8847e-11,-9.7429e-07,3.2396e-73,0,13.2,0.1,0
0,0,-9.6295e-07,-5.6225e-74,1.6179e-77,13.3,0,0
-7.5147e-10,2.2572e-11,-9.6314e-07,-8.7675e-74,0,13.3,0.1,0
0,0,-9.5148e-07,1.5201e-74,-4.2605e-78,13.4,0,0
-7.8129e-10,2.6366e-11,-9.5172e-07,2.3723e-74,0,13.4,0.1,0
0,0,-9.3968e-07,-4.109e-75,1.1217e-78,13.5,0,0
-8.1817e-10,2.9423e-11,-9.3997e-07,-6.4179e-75,0,13.5,0.1,0
0,0,-9.2744e-07,1.1105e-75,-2.9527e-79,13.6,0,0
-8.6377e-10,3.1079e-11,-9.2777e-07,1.7359e-75,0,13.6,0.1,0
0,0,-9.1465e-07,-3.0009e-76,7.7707e-80,13.7,0,0
-9.1808e-10,3.0932e-11,-9.1501e-07,-4.6945e-76,0,13.7,0.1,0
0,0,-9.0123e-07,8.1078e-77,-2.0446e-80,13.8,0,0
-9.7942e-10,2.8906e-11,-9.0158e-07,1.2693e-76,0,13.8,0.1,0
0,0,-8.8709e-07,-2.1902e-77,5.3786e-81,13.9,0,0
-1.0448e-09,2.5246e-11,-8.8741e-07,-3.4314e-77,0,13.9,0.1,0
0,0,-8.722e-07,5.9157e-78,-1.4146e-81,14,0,0
-1.1105e-09,2.0454e-11,-8.7248e-07,9.2746e-78,0,14,0.1,0
0,0,-8.5657e-07,-1.5976e-78,3.7195e-82,14.1,0,0
-1.1725e-09,1.5182e-11,-8.5679e-07,-2.5064e-78,0,14.1,0.1,0
0,0,-8.4027e-07,4.3138e-79,-9.7777e-83,14.2,0,0
-1.2274e-09,1.0112e-11,-8.4043e-07,6.7724e-79,0,14.2,0.1,0
0,0,-8.234e-07,-1.1646e-79,2.5697e-83,14.3,0,0
-1.2727e-09,5.8442e-12,-8.2349e-07,-1.8296e-79,0,14.3,0.1,0
0,0,-8.0608e-07,3.1438e-80,-6.7517e-84,14.4,0,0
-1.3072e-09,2.8087e-12,-8.0612e-07,4.9421e-80,0,14.4,0.1,0
0,0,-7.8844e-07,-8.4854e-81,1.7735e-84,14.5,0,0
-1.3313e-09,1.2227e-12,-7.8844e-07,-1.3347e-80,0,14.5,0.1,0
0,0,-7.706e-07,2.29e-81,-4.6572e-85,14.6,0,0
-1.3463e-09,1.08e-12,-7.7059e-07,3.6043e-81,0,14.6,0.1,0
0,0,-7.5268e-07,-6.1791e-82,1.2227e-85,14.7,0,0
-1.3546e-09,2.1727e-12,-7.5266e-07,-9.7314e-82,0,14.7,0.1,0
0,0,-7.3474e-07,1.6671e-82,-3.2089e-86,14.8,0,0
-1.359e-09,4.1322e-12,-7.3474e-07,2.6271e-82,0,14.8,0.1,0
0,0,-7.1682e-07,-4.4974e-83,8.4192e-87,14.9,0,0
-1.3624e-09,6.4828e-12,-7.1684e-07,-7.0911e-83,0,14.9,0.1,0
0,0,-6.9891e-07,1.2131e-83,-2.2083e-87,15,0,0
-1.3673e-09,8.6994e-12,-6.9896e-07,1.9138e-83,0,15,0.1,0
0,0,-6.8099e-07,-3.2717e-84,5.7902e-88,15.1,0,0
-1.3754e-09,1.0268e-11,-6.8108e-07,-5.1644e-84,0,15.1,0.1,0
0,0,-6.6302e-07,8.8229e-85,-1.5177e-88,15.2,0,0
-1.3875e-09,1.0745e-11,-6.6312e-07,1.3934e-84,0,15.2,0.1,0
0,0,-6.4494e-07,-2.379e-85,3.9768e-89,15.3,0,0
-1.4033e-09,9.8059e-12,-6.4505e-07,-3.7593e-85,0,15.3,0.1,0
0,0,-6.2671e-07,6.4141e-86,-1.0416e-89,15.4,0,0
-1.4214e-09,7.2885e-12,-6.268e-07,1.0141e-85,0,15.4,0.1,0
0,0,-6.083e-07,-1.7291e-86,2.7274e-90,15.5,0,0
-1.4395e-09,3.2123e-12,-6.0836e-07,-2.7351e-86,0,15.5,0.1,0
0,0,-5.8973e-07,4.6608e-87,-7.1383e-91,15.6,0,0
-1.4549e-09,-2.2249e-12,-5.8973e-07,7.3761e-87,0,15.6,0.1,0
0,0,-5.7104e-07,-1.2562e-87,1.8675e-91,15.7,0,0
-1.4642e-09,-8.6765e-12,-5.7097e-07,-1.989e-87,0,15.7,0.1,0
0,0,-5.523e-07,3.3854e-88,-4.8838e-92,15.8,0,0
-1.4646e-09,-1.5698e-11,-5.5215e-07,5.3628e-88,0,15.8,0.1,0
0,0,-5.3364e-07,-9.1226e-89,1.2766e-92,15.9,0,0
-1.4534e-09,-2.281e-11,-5.3341e-07,-1.4458e-88,0,15.9,0.1,0
0,0,-5.152e-07,2.458e-89,-3.3355e-93,16,0,0
-1.4289e-09,-2.9564e-11,-5.1488e-07,3.8973e-89,0,16,0.1,0
0,0,-4.9715e-07,-6.6222e-90,8.7106e-94,16.1,0,0
-1.3903e-09,-3.5596e-11,-4.9675e-07,-1.0505e-89,0,16.1,0.1,0
0,0,-4.7966e-07,1.784e-90,-2.2736e-94,16.2,0,0
