u,v,p,s,d,points0,points1,points2
0,0,-0.30323,9.001e-05,0,0,0,0
0,0,0.86452,1,0.0002,0.2,0,0
0.00090336,-0.00052487,0.66767,1,0,0.2,0.2,0
0,-0.00049298,0.67445,1,0,0,0.2,0
0,0,0.84213,1,0.0002,0.4,0,0
0.0018801,-0.00063184,0.6457,1,0,0.4,0.2,0
0,0,0.80141,0.99998,0.0002,0.6,0,0
0.0032543,-0.00085663,0.60668,1,0,0.6,0.2,0
0,0,0.73626,1.0001,0.00020001,0.8,0,0
0.0049687,-0.0012874,0.54155,0.99999,0,0.8,0.2,0
0,0,0.61217,0.99976,0.00019995,1,0,0
0.008269,-0.0032255,0.44793,1,0,1,0.2,0
0,0,0.36645,0.00024522,4.9044e-08,1.2,0,0
0.0083425,0.0031437,0.33114,0.00048322,0,1.2,0.2,0
0,0,0.24002,-6.5666e-05,-1.3133e-08,1.4,0,0
0.0051894,0.0011989,0.23526,-0.0001294,0,1.4,0.2,0
0,0,0.16998,1.7585e-05,3.517e-09,1.6,0,0
0.0036497,0.0007484,0.16535,3.4654e-05,0,1.6,0.2,0
0,0,0.12125,-4.7091e-06,-9.4183e-10,1.8,0,0
0.0024899,0.00049336,0.1185,-9.28e-06,0,1.8,0.2,0
0,0,0.086878,1.2611e-06,2.5221e-10,2,0,0
0.0018017,0.00034005,0.08483,2.4851e-06,0,2,0.2,0
0,0,0.06246,-3.3771e-07,-6.7541e-11,2.2,0,0
0.0012738,0.00023994,0.061074,-6.655e-07,0,2.2,0.2,0
0,0,0.044935,9.0436e-08,1.8087e-11,2.4,0,0
0.00092199,0.00017099,0.043916,1.7822e-07,0,2.4,0.2,0
0,0,0.032361,-2.4218e-08,-4.8436e-12,2.6,0,0
0.00065962,0.00012253,0.031644,-4.7725e-08,0,2.6,0.2,0
0,0,0.023306,6.4855e-09,1.2971e-12,2.8,0,0
0.00047653,8.8057e-05,0.022785,1.2781e-08,0,2.8,0.2,0
0,0,0.016791,-1.7368e-09,-3.4735e-13,3,0,0
0.00034239,6.3351e-05,0.016419,-3.4226e-09,0,3,0.2,0
0,0,0.012097,4.6509e-10,9.3019e-14,3.2,0,0
0.00024702,4.5623e-05,0.011827,9.1654e-10,0,3.2,0.2,0
0,0,0.0087159,-1.2455e-10,-2.491e-14,3.4,0,0
0.00017778,3.2858e-05,0.0085224,-2.4544e-10,0,3.4,0.2,0
0,0,0.0062798,3.3354e-11,6.6707e-15,3.6,0,0
0.00012817,2.3675e-05,0.0061399,6.5728e-11,0,3.6,0.2,0
0,0,0.0045248,-8.9319e-12,-1.7864e-15,3.8,0,0
9.2306e-05,1.7056e-05,0.0044242,-1.7602e-11,0,3.8,0.2,0
0,0,0.0032602,2.3919e-12,4.7838e-16,4,0,0
6.6527e-05,1.2291e-05,0.0031876,4.7136e-12,0,4,0.2,0
0,0,0.0023491,-6.4054e-13,-1.2811e-16,4.2,0,0
4.7924e-05,8.8558e-06,0.0022968,-1.2623e-12,0,4.2,0.2,0
0,0,0.0016926,1.7153e-13,3.4306e-17,4.4,0,0
3.4535e-05,6.3815e-06,0.0016549,3.3803e-13,0,4.4,0.2,0
0,0,0.0012196,-4.5935e-14,-9.187e-18,4.6,0,0
2.4881e-05,4.5982e-06,0.0011924,-9.0521e-14,0,4.6,0.2,0
