u,v,p,s,d,points0,points1,points2
0,0,-0.37104,-0.0011787,0,0,0,0
0,0,0.85357,1,0.001,0.1,0,0
0.002477,-0.0011294,0.7526,1,0,0.1,0.1,0
0,-0.0011129,0.75463,1,0,0,0.1,0
0,0,0.84766,1,0.001,0.2,0,0
0.0050673,-0.0011912,0.74668,1,0,0.2,0.1,0
0,0,0.8375,1,0.001,0.3,0,0
0.007772,-0.0012905,0.73637,1,0,0.3,0.1,0
0,0,0.82288,1,0.001,0.4,0,0
0.010886,-0.0014601,0.7217,1,0,0.4,0.1,0
0,0,0.80299,1,0.001,0.5,0,0
0.014237,-0.0016906,0.70145,1,0,0.5,0.1,0
0,0,0.77743,1,0.001,0.6,0,0
0.018596,-0.0020757,0.67571,1,0,0.6,0.1,0
0,0,0.74386,1,0.001,0.7,0,0
0.023409,-0.0026879,0.64163,1,0,0.7,0.1,0
0,0,0.70495,0.99997,0.00099995,0.8,0,0
0.03097,-0.0032359,0.59847,0.99997,0,0.8,0.1,0
0,0,0.62853,1.0001,0.0010002,0.9,0,0
0.039514,-0.010031,0.54594,1.0001,0,0.9,0.1,0
0,0,0.56156,0.99422,0.00099659,1,0,0
0.040339,-0.017255,0.47699,1.0002,0,1,0.1,0
0,0,0.41312,0.0072691,4.1228e-06,1.1,0,0
0.040676,0.016773,0.39661,0.013265,0,1.1,0.1,0
0,0,0.34506,0.00011291,-7.9293e-08,1.2,0,0
0.040348,0.010022,0.32702,0.00011339,0,1.2,0.1,0
0,0,0.26656,-3.0661e-05,2.085e-08,1.3,0,0
0.032194,0.0030332,0.27307,-3.2959e-05,0,1.3,0.1,0
0,0,0.22566,8.3361e-06,-5.475e-09,1.4,0,0
0.025083,0.0024645,0.22769,9.42e-06,0,1.4,0.1,0
0,0,0.18907,-2.2671e-06,1.4365e-09,1.5,0,0
0.020786,0.00183,0.19059,-2.6619e-06,0,1.5,0.1,0
0,0,0.15965,6.1659e-07,-3.7663e-10,1.6,0,0
0.017008,0.0014125,0.16096,7.4635e-07,0,1.6,0.1,0
0,0,0.13491,-1.6768e-07,9.8686e-11,1.7,0,0
0.014315,0.0011436,0.13582,-2.0803e-07,0,1.7,0.1,0
0,0,0.11432,4.5593e-08,-2.5843e-11,1.8,0,0
0.011952,0.00092786,0.11514,5.772e-08,0,1.8,0.1,0
0,0,0.09692,-1.2394e-08,6.7641e-12,1.9,0,0
0.010117,0.00077115,0.097547,-1.5958e-08,0,1.9,0.1,0
0,0,0.082281,3.3681e-09,-1.7695e-12,2,0,0
0.0085289,0.00064084,0.082831,4.3989e-09,0,2,0.1,0
0,0,0.069868,-9.1501e-10,4.6266e-13,2.1,0,0
0.0072374,0.00053887,0.070312,-1.2097e-09,0,2.1,0.1,0
0,0,0.059368,2.485e-10,-1.2091e-13,2.2,0,0
0.00613,0.00045307,0.059752,3.3198e-10,0,2.2,0.1,0
0,0,0.050453,-6.7464e-11,3.1582e-14,2.3,0,0
0.0052083,0.00038315,0.050771,-9.0954e-11,0,2.3,0.1,0
0,0,0.042891,1.8309e-11,-8.2454e-15,2.4,0,0
0.0044217,0.00032404,0.043164,2.4883e-11,0,2.4,0.1,0
0,0,0.036466,-4.9674e-12,2.1516e-15,2.5,0,0
0.0037594,0.00027483,0.036695,-6.7985e-12,0,2.5,0.1,0
0,0,0.031008,1.3472e-12,-5.6115e-16,2.6,0,0
0.0031954,0.00023313,0.031203,1.8555e-12,0,2.6,0.1,0
0,0,0.026368,-3.6525e-13,1.4627e-16,2.7,0,0
0.0027178,0.00019803,0.026533,-5.059e-13,0,2.7,0.1,0
0,0,0.022424,9.8992e-14,-3.8108e-17,2.8,0,0
0.0023114,0.00016824,0.022565,1.3781e-13,0,2.8,0.1,0
0,0,0.019071,-2.6821e-14,9.9227e-18,2.9,0,0
0.0019664,0.00014302,0.019191,-3.7513e-14,0,2.9,0.1,0
0,0,0.01622,7.2644e-15,-2.5822e-18,3,0,0
0.0016729,0.0001216,0.016322,1.0204e-14,0,3,0.1,0
0,0,0.013795,-1.967e-15,6.7156e-19,3.1,0,0
0.0014233,0.00010342,0.013882,-2.7738e-15,0,3.1,0.1,0
0,0,0.011733,5.3242e-16,-1.7454e-19,3.2,0,0
0.001211,8.7965e-05,0.011807,7.5355e-16,0,3.2,0.1,0
0,0,0.0099794,-1.4407e-16,4.5336e-20,3.3,0,0
0.0010305,7.4831e-05,0.010042,-2.0461e-16,0,3.3,0.1,0
0,0,0.0084879,3.8975e-17,-1.1767e-20,3.4,0,0
0.00087682,6.3662e-05,0.0085412,5.5527e-17,0,3.4,0.1,0
0,0,0.0072193,-1.0541e-17,3.0521e-21,3.5,0,0
0.00074611,5.4163e-05,0.0072647,-1.5062e-17,0,3.5,0.1,0
0,0,0.0061404,2.8499e-18,-7.9104e-22,3.6,0,0
0.00063489,4.6084e-05,0.006179,4.0838e-18,0,3.6,0.1,0
0,0,0.0052227,-7.7031e-19,2.0486e-22,3.7,0,0
0.00054026,3.9211e-05,0.0052556,-1.1068e-18,0,3.7,0.1,0
0,0,0.0044421,2.0816e-19,-5.3006e-23,3.8,0,0
0.00045973,3.3363e-05,0.0044701,2.9984e-19,0,3.8,0.1,0
0,0,0.0037782,-5.6235e-20,1.3703e-23,3.9,0,0
0.00039121,2.8388e-05,0.0038021,-8.1201e-20,0,3.9,0.1,0
0,0,0.0032136,1.5188e-20,-3.5392e-24,4,0,0
0.0003329,2.4156e-05,0.0032339,2.1982e-20,0,4,0.1,0
0,0,0.0027333,-4.1012e-21,9.1317e-25,4.1,0,0
0.00028329,2.0554e-05,0.0027506,-5.9489e-21,0,4.1,0.1,0
0,0,0.0023248,1.1072e-21,-2.3536e-25,4.2,0,0
0.00024107,1.749e-05,0.0023395,1.6094e-21,0,4.2,0.1,0
0,0,0.0019773,-2.9882e-22,6.0593e-26,4.3,0,0
0.00020514,1.4882e-05,0.0019899,-4.3526e-22,0,4.3,0.1,0
0,0,0.0016818,8.0634e-23,-1.558e-26,4.4,0,0
0.00017457,1.2664e-05,0.0016925,1.1768e-22,0,4.4,0.1,0
0,0,0.0014304,-2.1753e-23,4.0009e-27,4.5,0,0
0.00014855,1.0776e-05,0.0014395,-3.1808e-23,0,4.5,0.1,0
0,0,0.0012166,5.8673e-24,-1.026e-27,4.6,0,0
0.00012641,9.1693e-06,0.0012244,8.5948e-24,0,4.6,0.1,0
0,0,0.0010348,-1.5822e-24,2.6269e-28,4.7,0,0
0.00010757,7.8024e-06,0.0010414,-2.3218e-24,0,4.7,0.1,0
