u,v,p,s,d,points0,points1,points2
0,0,0.036555,-1.4501e-12,3.1451e-15,2.5,0,0
0.0030126,0.00022716,0.036712,-1.4932e-12,0,2.5,0.1,0
0,0,0.031086,4.0866e-13,-8.3059e-16,2.6,0,0
0.0025612,0.00019275,0.03122,4.3961e-13,0,2.6,0.1,0
0,0,0.026436,-1.1484e-13,2.1932e-16,2.7,0,0
0.0021786,0.00016373,0.02655,-1.2808e-13,0,2.7,0.1,0
0,0,0.022484,3.2191e-14,-5.7907e-17,2.8,0,0
0.0018531,0.00013913,0.022581,3.7007e-14,0,2.8,0.1,0
0,0,0.019123,-9.0018e-15,1.5287e-17,2.9,0,0
0.0015767,0.00011828,0.019205,-1.0619e-14,0,2.9,0.1,0
0,0,0.016265,2.5118e-15,-4.0351e-18,3,0,0
0.0013415,0.00010058,0.016335,3.0297e-15,0,3,0.1,0
0,0,0.013834,-6.995e-16,1.065e-18,3.1,0,0
0.0011415,8.5554e-05,0.013894,-8.6016e-16,0,3.1,0.1,0
0,0,0.011767,1.9444e-16,-2.8103e-19,3.2,0,0
0.00097136,7.2779e-05,0.011818,2.4319e-16,0,3.2,0.1,0
0,0,0.010009,-5.396e-17,7.4151e-20,3.3,0,0
0.00082662,6.1919e-05,0.010052,-6.8506e-17,0,3.3,0.1,0
0,0,0.0085136,1.4951e-17,-1.9562e-20,3.4,0,0
0.00070346,5.2683e-05,0.0085503,1.9237e-17,0,3.4,0.1,0
0,0,0.0072416,-4.1365e-18,5.1603e-21,3.5,0,0
0.00059866,4.4828e-05,0.0072729,-5.3864e-18,0,3.5,0.1,0
0,0,0.0061597,1.1429e-18,-1.361e-21,3.6,0,0
0.00050949,3.8145e-05,0.0061863,1.5045e-18,0,3.6,0.1,0
0,0,0.0052394,-3.154e-19,3.5892e-22,3.7,0,0
0.0004336,3.246e-05,0.0052621,-4.1925e-19,0,3.7,0.1,0
0,0,0.0044566,8.6932e-20,-9.4638e-23,3.8,0,0
0.00036901,2.7623e-05,0.0044759,1.166e-19,0,3.8,0.1,0
0,0,0.0037907,-2.3935e-20,2.495e-23,3.9,0,0
0.00031405,2.3506e-05,0.0038072,-3.2367e-20,0,3.9,0.1,0
0,0,0.0032244,6.5831e-21,-6.5769e-24,4,0,0
0.00026728,2.0004e-05,0.0032384,8.9697e-21,0,4,0.1,0
0,0,0.0027426,-1.8089e-21,1.7334e-24,4.1,0,0
0.00022747,1.7023e-05,0.0027545,-2.4819e-21,0,4.1,0.1,0
0,0,0.0023328,4.9657e-22,-4.5679e-25,4.2,0,0
0.00019359,1.4487e-05,0.002343,6.8575e-22,0,4.2,0.1,0
0,0,0.0019843,-1.362e-22,1.2036e-25,4.3,0,0
0.00016476,1.2329e-05,0.0019929,-1.8923e-22,0,4.3,0.1,0
0,0,0.0016878,3.7328e-23,-3.1707e-26,4.4,0,0
0.00014022,1.0492e-05,0.0016951,5.2151e-23,0,4.4,0.1,0
0,0,0.0014356,-1.0222e-23,8.3516e-27,4.5,0,0
0.00011933,8.9286e-06,0.0014419,-1.4357e-23,0,4.5,0.1,0
0,0,0.0012211,2.7973e-24,-2.1994e-27,4.6,0,0
0.00010156,7.5984e-06,0.0012264,3.9481e-24,0,4.6,0.1,0
0,0,0.0010386,-7.6495e-25,5.7913e-28,4.7,0,0
8.6433e-05,6.4664e-06,0.0010432,-1.0847e-24,0,4.7,0.1,0
0,0,0.00088345,2.0904e-25,-1.5247e-28,4.8,0,0
7.356e-05,5.503e-06,0.00088733,2.9771e-25,0,4.8,0.1,0
0,0,0.00075145,-5.7091e-26,4.0132e-29,4.9,0,0
6.2603e-05,4.6832e-06,0.00075476,-8.1641e-26,0,4.9,0.1,0
0,0,0.00063919,1.5582e-26,-1.0561e-29,5,0,0
5.3279e-05,3.9855e-06,0.000642,2.237e-26,0,5,0.1,0
0,0,0.0005437,-4.2507e-27,2.779e-30,5.1,0,0
4.5343e-05,3.3917e-06,0.0005461,-6.1248e-27,0,5.1,0.1,0
0,0,0.00046249,1.1589e-27,-7.3107e-31,5.2,0,0
3.8589e-05,2.8864e-06,0.00046453,1.6757e-27,0,5.2,0.1,0
0,0,0.00039342,-3.1579e-28,1.9228e-31,5.3,0,0
3.2841e-05,2.4563e-06,0.00039516,-4.5815e-28,0,5.3,0.1,0
0,0,0.00033468,8.6008e-29,-5.0565e-32,5.4,0,0
2.7949e-05,2.0903e-06,0.00033616,1.2518e-28,0,5.4,0.1,0
0,0,0.00028473,-2.3414e-29,1.3294e-32,5.5,0,0
2.3785e-05,1.7789e-06,0.00028599,-3.418e-29,0,5.5,0.1,0
0,0,0.00024225,6.371e-30,-3.4944e-33,5.6,0,0
2.0242e-05,1.5139e-06,0.00024332,9.3272e-30,0,5.6,0.1,0
0,0,0.00020612,-1.7328e-30,9.1833e-34,5.7,0,0
1.7227e-05,1.2884e-06,0.00020704,-2.5438e-30,0,5.7,0.1,0
0,0,0.0001754,4.7109e-31,-2.4128e-34,5.8,0,0
1.466e-05,1.0964e-06,0.00017618,6.9341e-31,0,5.8,0.1,0
0,0,0.00014928,-1.2802e-31,6.338e-35,5.9,0,0
1.2476e-05,9.3311e-07,0.00014995,-1.8892e-31,0,5.9,0.1,0
0,0,0.00012707,3.4778e-32,-1.6644e-35,6,0,0
1.0617e-05,7.941e-07,0.00012764,5.1444e-32,0,6,0.1,0
0,0,0.00010819,-9.4438e-33,4.37e-36,6.1,0,0
9.0352e-06,6.7578e-07,0.00010867,-1.4002e-32,0,6.1,0.1,0
0,0,9.2137e-05,2.5635e-33,-1.1471e-36,6.2,0,0
7.6887e-06,5.7506e-07,9.2547e-05,3.8093e-33,0,6.2,0.1,0
0,0,7.8492e-05,-6.9563e-34,3.01e-37,6.3,0,0
6.5428e-06,4.8934e-07,7.8842e-05,-1.0359e-33,0,6.3,0.1,0
0,0,6.6895e-05,1.887e-34,-7.8966e-38,6.4,0,0
5.5676e-06,4.164e-07,6.7193e-05,2.8158e-34,0,6.4,0.1,0
0,0,5.704e-05,-5.117e-35,2.071e-38,6.5,0,0
4.7377e-06,3.5434e-07,5.7294e-05,-7.651e-35,0,6.5,0.1,0
0,0,4.8665e-05,1.3872e-35,-5.4301e-39,6.6,0,0
4.0314e-06,3.0154e-07,4.8882e-05,2.0781e-35,0,6.6,0.1,0
0,0,4.1549e-05,-3.7594e-36,1.4233e-39,6.7,0,0
3.4304e-06,2.5663e-07,4.1734e-05,-5.6421e-36,0,6.7,0.1,0
0,0,3.5504e-05,1.0185e-36,-3.7296e-40,6.8,0,0
2.9189e-06,2.1842e-07,3.5661e-05,1.5313e-36,0,6.8,0.1,0
0,0,3.037e-05,-2.7587e-37,9.7696e-41,6.9,0,0
2.4837e-06,1.8589e-07,3.0503e-05,-4.1547e-37,0,6.9,0.1,0
0,0,2.6009e-05,7.4698e-38,-2.5583e-41,7,0,0
2.1132e-06,1.582e-07,2.6123e-05,1.1269e-37,0,7,0.1,0
0,0,2.2307e-05,-2.0221e-38,6.6968e-42,7.1,0,0
1.7979e-06,1.3462e-07,2.2404e-05,-3.0554e-38,0,7.1,0.1,0
0,0,1.9166e-05,5.4724e-39,-1.7524e-42,7.2,0,0
1.5295e-06,1.1454e-07,1.9248e-05,8.2817e-39,0,7.2,0.1,0
0,0,1.6501e-05,-1.4806e-39,4.5839e-43,7.3,0,0
1.3011e-06,9.7446e-08,1.6571e-05,-2.2441e-39,0,7.3,0.1,0
0,0,1.4241e-05,4.0051e-40,-1.1986e-43,7.4,0,0
1.1067e-06,8.29e-08,1.4301e-05,6.0791e-40,0,7.4,0.1,0
0,0,1.2326e-05,-1.0831e-40,3.1328e-44,7.5,0,0
9.4134e-07,7.053e-08,1.2378e-05,-1.6463e-40,0,7.5,0.1,0
0,0,1.0704e-05,2.9285e-41,-8.1849e-45,7.6,0,0
8.0066e-07,6.0013e-08,1.0748e-05,4.4572e-41,0,7.6,0.1,0
0,0,9.3298e-06,-7.916e-42,2.1375e-45,7.7,0,0
6.8097e-07,5.1074e-08,9.3675e-06,-1.2064e-41,0,7.7,0.1,0
0,0,8.1669e-06,2.1393e-42,-5.5795e-46,7.8,0,0
5.7914e-07,4.3472e-08,8.199e-06,3.2646e-42,0,7.8,0.1,0
0,0,7.183e-06,-5.7803e-43,1.4557e-46,7.9,0,0
4.9249e-07,3.7004e-08,7.2103e-06,-8.8318e-43,0,7.9,0.1,0
0,0,6.3513e-06,1.5615e-43,-3.7962e-47,8,0,0
4.1875e-07,3.1496e-08,6.3745e-06,2.3887e-43,0,8,0.1,0
0,0,5.6489e-06,-4.2174e-44,9.8944e-48,8.1,0,0
3.5598e-07,2.6801e-08,5.6687e-06,-6.4592e-44,0,8.1,0.1,0
0,0,5.0566e-06,1.1388e-44,-2.5775e-48,8.2,0,0
3.0254e-07,2.2799e-08,5.0735e-06,1.7462e-44,0,8.2,0.1,0
0,0,4.558e-06,-3.0746e-45,6.7105e-49,8.3,0,0
2.5706e-07,1.9387e-08,4.5725e-06,-4.7196e-45,0,8.3,0.1,0
0,0,4.139e-06,8.2994e-46,-1.7461e-49,8.4,0,0
2.1837e-07,1.6481e-08,4.1516e-06,1.2753e-45,0,8.4,0.1,0
0,0,3.7878e-06,-2.2399e-46,4.5403e-50,8.5,0,0
1.8546e-07,1.4008e-08,3.7986e-06,-3.4456e-46,0,8.5,0.1,0
0,0,3.4938e-06,6.0439e-47,-1.1799e-50,8.6,0,0
1.5749e-07,1.1906e-08,3.5032e-06,9.3068e-47,0,8.6,0.1,0
0,0,3.2482e-06,-1.6306e-47,3.0639e-51,8.7,0,0
1.3373e-07,1.0123e-08,3.2564e-06,-2.5134e-47,0,8.7,0.1,0
0,0,3.0434e-06,4.3983e-48,-7.9504e-52,8.8,0,0
1.1355e-07,8.6107e-09,3.0505e-06,6.7862e-48,0,8.8,0.1,0
0,0,2.8727e-06,-1.1862e-48,2.0615e-52,8.9,0,0
9.6427e-08,7.3291e-09,2.8788e-06,-1.832e-48,0,8.9,0.1,0
0,0,2.7305e-06,3.1987e-49,-5.3408e-53,9,0,0
8.1887e-08,6.2416e-09,2.7358e-06,4.9445e-49,0,9,0.1,0
0,0,2.6124e-06,-8.6241e-50,1.3825e-53,9.1,0,0
6.9537e-08,5.3165e-09,2.6169e-06,-1.3343e-49,0,9.1,0.1,0
0,0,2.5143e-06,2.3248e-50,-3.5753e-54,9.2,0,0
5.9039e-08,4.5269e-09,2.5182e-06,3.6001e-50,0,9.2,0.1,0
0,0,2.4331e-06,-6.266e-51,9.2372e-55,9.3,0,0
5.011e-08,3.85e-09,2.4364e-06,-9.7116e-51,0,9.3,0.1,0
0,0,2.3661e-06,1.6886e-51,-2.3841e-55,9.4,0,0
4.2514e-08,3.2677e-09,2.369e-06,2.6194e-51,0,9.4,0.1,0
0,0,2.3111e-06,-4.5501e-52,6.1462e-56,9.5,0,0
3.6054e-08,2.7656e-09,2.3137e-06,-7.0637e-52,0,9.5,0.1,0
0,0,2.2662e-06,1.2259e-52,-1.5827e-56,9.6,0,0
3.0567e-08,2.3334e-09,2.2686e-06,1.9046e-52,0,9.6,0.1,0
0,0,2.2298e-06,-3.3022e-53,4.0701e-57,9.7,0,0
2.5918e-08,1.9632e-09,2.2319e-06,-5.1345e-53,0,9.7,0.1,0
0,0,2.2002e-06,8.8941e-54,-1.0453e-57,9.8,0,0
2.1992e-08,1.6488e-09,2.2023e-06,1.384e-53,0,9.8,0.1,0
0,0,2.1763e-06,-2.3952e-54,2.6805e-58,9.9,0,0
1.8689e-08,1.3848e-09,2.1783e-06,-3.7299e-54,0,9.9,0.1,0
0,0,2.1567e-06,6.4496e-55,-6.8628e-59,10,0,0
1.5922e-08,1.1658e-09,2.1586e-06,1.0051e-54,0,10,0.1,0
0,0,2.1405e-06,-1.7365e-55,1.754e-59,10.1,0,0
1.361e-08,9.8573e-10,2.1422e-06,-2.708e-55,0,10.1,0.1,0
0,0,2.1266e-06,4.6746e-56,-4.4745e-60,10.2,0,0
1.168e-08,8.3815e-10,2.1282e-06,7.295e-56,0,10.2,0.1,0
0,0,2.1144e-06,-1.2583e-56,1.1391e-60,10.3,0,0
1.0068e-08,7.1647e-10,2.1158e-06,-1.9649e-56,0,10.3,0.1,0
0,0,2.1033e-06,3.3864e-57,-2.8933e-61,10.4,0,0
8.7153e-09,6.1452e-10,2.1045e-06,5.2919e-57,0,10.4,0.1,0
0,0,2.0928e-06,-9.1131e-58,7.3306e-62,10.5,0,0
7.5742e-09,5.2705e-10,2.0938e-06,-1.425e-57,0,10.5,0.1,0
0,0,2.0828e-06,2.4521e-58,-1.8522e-62,10.6,0,0
6.6058e-09,4.5019e-10,2.0836e-06,3.8368e-58,0,10.6,0.1,0
0,0,2.073e-06,-6.5972e-59,4.6654e-63,10.7,0,0
5.7801e-09,3.8144e-10,2.0737e-06,-1.0329e-58,0,10.7,0.1,0
0,0,2.0633e-06,1.7748e-59,-1.1711e-63,10.8,0,0
5.0752e-09,3.1956e-10,2.064e-06,2.7804e-59,0,10.8,0.1,0
0,0,2.0538e-06,-4.7738e-60,2.9282e-64,10.9,0,0
4.4756e-09,2.6414e-10,2.0544e-06,-7.4833e-60,0,10.9,0.1,0
0,0,2.0443e-06,1.2839e-60,-7.2893e-65,11,0,0
3.9702e-09,2.1514e-10,2.0449e-06,2.0139e-60,0,11,0.1,0
0,0,2.0347e-06,-3.4529e-61,1.8053e-65,11.1,0,0
3.5503e-09,1.7253e-10,2.0353e-06,-5.4189e-61,0,11.1,0.1,0
0,0,2.0249e-06,9.2848e-62,-4.4449e-66,11.2,0,0
3.2086e-09,1.36e-10,2.0256e-06,1.458e-61,0,11.2,0.1,0
0,0,2.0148e-06,-2.4964e-62,1.0868e-66,11.3,0,0
2.9383e-09,1.0497e-10,2.0155e-06,-3.9223e-62,0,11.3,0.1,0
0,0,2.0042e-06,6.7115e-63,-2.6356e-67,11.4,0,0
2.7323e-09,7.8686e-11,2.0049e-06,1.0551e-62,0,11.4,0.1,0
0,0,1.9929e-06,-1.8042e-63,6.3277e-68,11.5,0,0
2.584e-09,5.645e-11,1.9936e-06,-2.8377e-63,0,11.5,0.1,0
0,0,1.9807e-06,4.8495e-64,-1.5006e-68,11.6,0,0
2.4867e-09,3.7814e-11,1.9815e-06,7.6315e-64,0,11.6,0.1,0
0,0,1.9676e-06,-1.3034e-64,3.5035e-69,11.7,0,0
2.434e-09,2.2659e-11,1.9683e-06,-2.0522e-64,0,11.7,0.1,0
0,0,1.9533e-06,3.5027e-65,-8.0145e-70,11.8,0,0
2.4194e-09,1.1141e-11,1.954e-06,5.5178e-65,0,11.8,0.1,0
0,0,1.9377e-06,-9.4124e-66,1.783e-70,11.9,0,0
2.4361e-09,3.5019e-12,1.9384e-06,-1.4835e-65,0,11.9,0.1,0
0,0,1.9207e-06,2.529e-66,-3.8101e-71,12,0,0
2.4768e-09,-1.826e-13,1.9214e-06,3.9879e-66,0,12,0.1,0
0,0,1.9022e-06,-6.7947e-67,7.6418e-72,12.1,0,0
2.5332e-09,-2.354e-13,1.9029e-06,-1.0719e-66,0,12.1,0.1,0
0,0,1.8822e-06,1.8254e-67,-1.3662e-72,12.2,0,0
2.5966e-09,2.4942e-12,1.8828e-06,2.881e-67,0,12.2,0.1,0
0,0,1.8608e-06,-4.9033e-68,1.8524e-73,12.3,0,0
2.6582e-09,6.6599e-12,1.8613e-06,-7.7426e-68,0,12.3,0.1,0
0,0,1.8381e-06,1.317e-68,-1.6457e-75,12.4,0,0
2.7105e-09,1.061e-11,1.8385e-06,2.0806e-68,0,12.4,0.1,0
0,0,1.8141e-06,-3.5372e-69,-1.2294e-74,12.5,0,0
2.7481e-09,1.2699e-11,1.8144e-06,-5.5905e-69,0,12.5,0.1,0
0,0,1.7892e-06,9.4992e-70,6.6735e-75,12.6,0,0
2.7686e-09,1.1642e-11,1.7894e-06,1.502e-69,0,12.6,0.1,0
0,0,1.7635e-06,-2.5508e-70,-2.6849e-75,12.7,0,0
2.7734e-09,6.8168e-12,1.7637e-06,-4.0351e-70,0,12.7,0.1,0
0,0,1.7372e-06,6.8492e-71,9.5735e-76,12.8,0,0
2.7673e-09,-1.5616e-12,1.7374e-06,1.0839e-70,0,12.8,0.1,0
0,0,1.7106e-06,-1.8389e-71,-3.1965e-76,12.9,0,0
2.758e-09,-1.2448e-11,1.7108e-06,-2.9114e-71,0,12.9,0.1,0
0,0,1.6836e-06,4.9369e-72,1.024e-76,13,0,0
2.7547e-09,-2.4156e-11,1.6839e-06,7.8193e-72,0,13,0.1,0
0,0,1.6563e-06,-1.3253e-72,-3.1882e-77,13.1,0,0
2.7659e-09,-3.4689e-11,1.6567e-06,-2.0999e-72,0,13.1,0.1,0
0,0,1.6287e-06,3.5574e-73,9.7218e-78,13.2,0,0
2.7985e-09,-4.2136e-11,1.6291e-06,5.6389e-73,0,13.2,0.1,0
0,0,1.6005e-06,-9.5483e-74,-2.9177e-78,13.3,0,0
2.8555e-09,-4.5062e-11,1.601e-06,-1.5141e-73,0,13.3,0.1,0
0,0,1.5715e-06,2.5626e-74,8.6478e-79,13.4,0,0
2.936e-09,-4.2781e-11,1.5721e-06,4.0652e-74,0,13.4,0.1,0
0,0,1.5416e-06,-6.8772e-75,-2.5373e-79,13.5,0,0
3.0347e-09,-3.55e-11,1.5422e-06,-1.0914e-74,0,13.5,0.1,0
0,0,1.5106e-06,1.8455e-75,7.3825e-80,13.6,0,0
3.1431e-09,-2.4273e-11,1.5112e-06,2.9297e-75,0,13.6,0.1,0
0,0,1.4784e-06,-4.9518e-76,-2.133e-80,13.7,0,0
3.2503e-09,-1.0811e-11,1.4789e-06,-7.8641e-76,0,13.7,0.1,0
0,0,1.445e-06,1.3286e-76,6.1261e-81,13.8,0,0
3.3457e-09,2.8291e-12,1.4453e-06,2.1107e-76,0,13.8,0.1,0
0,0,1.4103e-06,-3.5645e-77,-1.7504e-81,13.9,0,0
3.4199e-09,1.4592e-11,1.4105e-06,-5.6649e-77,0,13.9,0.1,0
0,0,1.3747e-06,9.5625e-78,4.9792e-82,14,0,0
3.4668e-09,2.2764e-11,1.3748e-06,1.5203e-77,0,14,0.1,0
0,0,1.3383e-06,-2.5651e-78,-1.4108e-82,14.1,0,0
3.4842e-09,2.6231e-11,1.3383e-06,-4.0795e-78,0,14.1,0.1,0
0,0,1.3013e-06,6.8806e-79,3.9835e-83,14.2,0,0
3.4744e-09,2.4626e-11,1.3013e-06,1.0946e-78,0,14.2,0.1,0
0,0,1.2641e-06,-1.8455e-79,-1.1213e-83,14.3,0,0
3.4434e-09,1.8341e-11,1.264e-06,-2.9369e-79,0,14.3,0.1,0
0,0,1.2269e-06,4.9495e-80,3.1473e-84,14.4,0,0
3.4001e-09,8.4282e-12,1.2268e-06,7.8794e-80,0,14.4,0.1,0
0,0,1.1897e-06,-1.3274e-80,-8.8121e-85,14.5,0,0
3.3549e-09,-3.5919e-12,1.1897e-06,-2.1138e-80,0,14.5,0.1,0
0,0,1.1528e-06,3.5595e-81,2.4617e-85,14.6,0,0
3.3178e-09,-1.5974e-11,1.1528e-06,5.6702e-81,0,14.6,0.1,0
0,0,1.1159e-06,-9.5445e-82,-6.8624e-86,14.7,0,0
3.2973e-09,-2.6992e-11,1.1161e-06,-1.5209e-81,0,14.7,0.1,0
0,0,1.0791e-06,2.5591e-82,1.9094e-86,14.8,0,0
3.2991e-09,-3.516e-11,1.0793e-06,4.0793e-82,0,14.8,0.1,0
0,0,1.0422e-06,-6.8614e-83,-5.3035e-87,14.9,0,0
3.3253e-09,-3.9392e-11,1.0425e-06,-1.094e-82,0,14.9,0.1,0
0,0,1.0049e-06,1.8395e-83,1.4707e-87,15,0,0
3.3742e-09,-3.9096e-11,1.0053e-06,2.9339e-83,0,15,0.1,0
0,0,9.6718e-07,-4.9313e-84,-4.0723e-88,15.1,0,0
3.4409e-09,-3.4205e-11,9.6753e-07,-7.8676e-84,0,15.1,0.1,0
0,0,9.2883e-07,1.3219e-84,1.126e-88,15.2,0,0
3.5174e-09,-2.5143e-11,9.2914e-07,2.1096e-84,0,15.2,0.1,0
0,0,8.8979e-07,-3.5432e-85,-3.1097e-89,15.3,0,0
3.5943e-09,-1.2743e-11,8.9001e-07,-5.6564e-85,0,15.3,0.1,0
0,0,8.5007e-07,9.4969e-86,8.5774e-90,15.4,0,0
3.6615e-09,1.8678e-12,8.5017e-07,1.5165e-85,0,15.4,0.1,0
0,0,8.0976e-07,-2.5453e-86,-2.3633e-90,15.5,0,0
3.7095e-09,1.7409e-11,8.0972e-07,-4.0656e-86,0,15.5,0.1,0
0,0,7.6906e-07,6.8214e-87,6.5044e-91,15.6,0,0
3.7302e-09,3.2597e-11,7.6885e-07,1.0899e-86,0,15.6,0.1,0
0,0,7.2822e-07,-1.828e-87,-1.7885e-91,15.7,0,0
3.7179e-09,4.6292e-11,7.2785e-07,-2.9215e-87,0,15.7,0.1,0
0,0,6.8757e-07,4.8984e-88,4.913e-92,15.8,0,0
3.6699e-09,5.7616e-11,6.8705e-07,7.8307e-88,0,15.8,0.1,0
0,0,6.4748e-07,-1.3125e-88,-1.3485e-92,15.9,0,0
3.5861e-09,6.6036e-11,6.4681e-07,-2.0988e-88,0,15.9,0.1,0
0,0,6.083e-07,3.5168e-89,3.6981e-93,16,0,0
3.4691e-09,7.1398e-11,6.0751e-07,5.625e-89,0,16,0.1,0
0,0,5.7038e-07,-9.4222e-90,-1.0134e-93,16.1,0,0
3.3237e-09,7.3901e-11,5.6951e-07,-1.5075e-89,0,16.1,0.1,0
0,0,5.3405e-07,2.5243e-90,2.7749e-94,16.2,0,0
3.1563e-09,7.4034e-11,5.3312e-07,4.0396e-90,0,16.2,0.1,0
0,0,4.9954e-07,-6.7623e-91,-7.5931e-95,16.3,0,0
2.9736e-09,7.2465e-11,4.9858e-07,-1.0825e-90,0,16.3,0.1,0
0,0,4.6707e-07,1.8115e-91,2.0764e-95,16.4,0,0
2.7824e-09,6.9936e-11,4.6609e-07,2.9004e-91,0,16.4,0.1,0
0,0,4.3675e-07,-4.8522e-92,-5.6744e-96,16.5,0,0
2.5887e-09,6.7158e-11,4.3577e-07,-7.771e-92,0,16.5,0.1,0
0,0,4.0864e-07,1.2997e-92,1.5498e-96,16.6,0,0
2.397e-09,6.4742e-11,4.0768e-07,2.082e-92,0,16.6,0.1,0
0,0,3.8276e-07,-3.4809e-93,-4.2303e-97,16.7,0,0
2.2107e-09,6.3148e-11,3.8182e-07,-5.5776e-93,0,16.7,0.1,0
0,0,3.5908e-07,9.3226e-94,1.1541e-97,16.8,0,0
2.0311e-09,6.2694e-11,3.5815e-07,1.4941e-93,0,16.8,0.1,0
0,0,3.3755e-07,-2.4966e-94,-3.1468e-98,16.9,0,0
1.8587e-09,6.3518e-11,3.3663e-07,-4.0023e-94,0,16.9,0.1,0
0,0,3.1809e-07,6.6858e-95,8.5761e-99,17,0,0
1.6922e-09,6.5657e-11,3.1717e-07,1.072e-94,0,17,0.1,0
0,0,3.0064e-07,-1.7903e-95,-2.3362e-99,17.1,0,0
1.5299e-09,6.8934e-11,2.997e-07,-2.8714e-95,0,17.1,0.1,0
0,0,2.8512e-07,4.7938e-96,6.3609e-100,17.2,0,0
1.3692e-09,7.3148e-11,2.8417e-07,7.6903e-96,0,17.2,0.1,0
0,0,2.715e-07,-1.2835e-96,-1.7312e-100,17.3,0,0
1.2078e-09,7.7796e-11,2.7053e-07,-2.0595e-96,0,17.3,0.1,0
0,0,2.5974e-07,3.4365e-97,4.7096e-101,17.4,0,0
1.0433e-09,8.2384e-11,2.5873e-07,5.5154e-97,0,17.4,0.1,0
0,0,2.4982e-07,-9.2003e-98,-1.2807e-101,17.5,0,0
8.7331e-10,8.6385e-11,2.4879e-07,-1.4769e-97,0,17.5,0.1,0
0,0,2.4174e-07,2.4631e-98,3.4814e-102,17.6,0,0
6.994e-10,8.7927e-11,2.4069e-07,3.9548e-98,0,17.6,0.1,0
0,0,2.3551e-07,-6.5958e-99,-9.4634e-103,17.7,0,0
5.1615e-10,8.8569e-11,2.3445e-07,-1.0593e-98,0,17.7,0.1,0
0,0,2.3107e-07,1.774e-99,2.5834e-103,17.8,0,0
3.377e-10,7.4191e-11,2.3012e-07,2.8497e-99,0,17.8,0.1,0
0,0,2.2821e-07,-5.0626e-100,-7.491e-104,17.9,0,0
1.7841e-10,2.8107e-11,2.2756e-07,-8.1344e-100,0,17.9,0.1,0
0,0,2.2717e-07,2.5289e-100,3.7877e-104,18,0,0
0,2.962e-12,2.2666e-07,4.0641e-100,0,18,0.1,0
