u,v,p,s,d,points0,points1,points2
0,0,-0.37162,-0.00081841,0,0,0,0
0,0,0.85321,1,0.0008,0.1,0,0
0.0019841,-0.00093371,0.75255,1,0,0.1,0.1,0
0,-0.00091936,0.75455,1,0,0,0.1,0
0,0,0.84727,1,0.0008,0.2,0,0
0.0040538,-0.00098365,0.74661,1,0,0.2,0.1,0
0,0,0.83711,1,0.0008,0.3,0,0
0.0062251,-0.0010669,0.73634,1,0,0.3,0.1,0
0,0,0.82244,1,0.0008,0.4,0,0
0.0087065,-0.0012045,0.72164,1,0,0.4,0.1,0
0,0,0.80253,1,0.0008,0.5,0,0
0.011401,-0.0013973,0.70147,1,0,0.5,0.1,0
0,0,0.77684,1,0.0008,0.6,0,0
0.014867,-0.0017108,0.6757,1,0,0.6,0.1,0
0,0,0.74334,1,0.00080001,0.7,0,0
0.018732,-0.002207,0.64174,1,0,0.7,0.1,0
0,0,0.70336,0.99996,0.00079996,0.8,0,0
0.024764,-0.0027907,0.59871,0.99998,0,0.8,0.1,0
0,0,0.62955,1.0001,0.00080016,0.9,0,0
0.031549,-0.0076776,0.54556,1.0001,0,0.9,0.1,0
0,0,0.56044,0.99536,0.00079774,1,0,0
0.032853,-0.013626,0.47675,0.99961,0,1,0.1,0
0,0,0.41365,0.0056932,2.6689e-06,1.1,0,0
0.033083,0.013301,0.39677,0.009813,0,1.1,0.1,0
0,0,0.34367,1.2433e-05,-1.0188e-07,1.2,0,0
0.032182,0.0076128,0.32727,-3.5793e-05,0,1.2,0.1,0
0,0,0.26808,-3.842e-06,2.6982e-08,1.3,0,0
0.025715,0.0026192,0.27272,7.0487e-06,0,1.3,0.1,0
0,0,0.22602,1.1748e-06,-7.1422e-09,1.4,0,0
0.020061,0.0020212,0.22748,-1.296e-06,0,1.4,0.1,0
0,0,0.18952,-3.547e-07,1.8899e-09,1.5,0,0
0.016612,0.0015052,0.19052,2.0584e-07,0,1.5,0.1,0
0,0,0.15996,1.0589e-07,-4.9995e-10,1.6,0,0
0.013616,0.0011663,0.16086,-2.0681e-08,0,1.6,0.1,0
0,0,0.13519,-3.1302e-08,1.3222e-10,1.7,0,0
0.01145,0.00094208,0.13581,-2.9658e-09,0,1.7,0.1,0
0,0,0.11455,9.1751e-09,-3.4962e-11,1.8,0,0
0.0095723,0.00076651,0.11511,2.9175e-09,0,1.8,0.1,0
0,0,0.097127,-2.6696e-09,9.2429e-12,1.9,0,0
0.0080974,0.00063619,0.097555,-1.3156e-09,0,1.9,0.1,0
0,0,0.082453,7.7181e-10,-2.4431e-12,2,0,0
0.006832,0.00052952,0.082829,4.8777e-10,0,2,0.1,0
0,0,0.070023,-2.2189e-10,6.4566e-13,2.1,0,0
0.0057954,0.00044495,0.070327,-1.6516e-10,0,2.1,0.1,0
0,0,0.059501,6.3474e-11,-1.7061e-13,2.2,0,0
0.0049113,0.00037444,0.059763,5.308e-11,0,2.2,0.1,0
0,0,0.050571,-1.8079e-11,4.5075e-14,2.3,0,0
0.0041723,0.00031656,0.050789,-1.6493e-11,0,2.3,0.1,0
0,0,0.042993,5.129e-12,-1.1907e-14,2.4,0,0
0.0035434,0.00026786,0.04318,5.0058e-12,0,2.4,0.1,0
